,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 10:49:20
,     Stop Time: ~1/9/2018 11:49:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,75.00,73.00,707.00,11.00,0.00,0.00,10.00,38.00,428.00,85.00,16.00,117.00,

 11:01:21
Interval Count,0.00,2.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,75.00,75.00,796.00,11.00,0.00,0.00,10.00,38.00,428.00,85.00,16.00,117.00,

 11:01:51
Interval Count,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,
Total Counts,75.00,75.00,796.00,37.00,0.00,0.00,10.00,38.00,428.00,85.00,16.00,169.00,

 11:02:21
Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,4.00,43.00,0.00,0.00,
Total Counts,75.00,75.00,796.00,40.00,0.00,0.00,10.00,38.00,432.00,128.00,16.00,169.00,

 11:02:51
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,
Total Counts,75.00,75.00,797.00,40.00,0.00,0.00,10.00,38.00,432.00,128.00,16.00,175.00,

 11:03:21
Interval Count,0.00,0.00,100.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,67.00,0.00,
Total Counts,75.00,75.00,897.00,40.00,0.00,0.00,11.00,38.00,432.00,128.00,83.00,175.00,

 11:03:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,4.00,
Total Counts,75.00,75.00,897.00,40.00,0.00,0.00,12.00,38.00,432.00,128.00,85.00,179.00,

 11:04:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,75.00,75.00,897.00,40.00,0.00,0.00,12.00,38.00,432.00,128.00,85.00,179.00,

 11:04:51
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,75.00,75.00,897.00,41.00,0.00,0.00,12.00,38.00,432.00,128.00,85.00,179.00,

 11:05:21
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,75.00,76.00,897.00,41.00,0.00,0.00,12.00,38.00,432.00,128.00,86.00,179.00,

 11:05:51
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,75.00,76.00,898.00,41.00,0.00,0.00,12.00,38.00,432.00,128.00,86.00,179.00,

 11:06:21
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,75.00,76.00,900.00,41.00,0.00,0.00,12.00,38.00,432.00,128.00,86.00,179.00,

 11:06:51
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,
Total Counts,75.00,76.00,900.00,42.00,0.00,0.00,12.00,38.00,437.00,128.00,86.00,179.00,

 11:07:21
Interval Count,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,75.00,76.00,904.00,42.00,0.00,0.00,12.00,38.00,437.00,128.00,86.00,179.00,

 11:07:51
Interval Count,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,173.00,76.00,904.00,42.00,0.00,0.00,12.00,38.00,437.00,128.00,86.00,179.00,

 11:08:21
Interval Count,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,42.00,0.00,0.00,12.00,38.00,437.00,128.00,86.00,179.00,

 11:08:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,42.00,0.00,0.00,12.00,40.00,437.00,128.00,86.00,179.00,

 11:09:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,
Total Counts,323.00,76.00,904.00,42.00,0.00,0.00,12.00,40.00,437.00,130.00,87.00,179.00,

 11:09:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,24.00,0.00,
Total Counts,323.00,76.00,904.00,42.00,0.00,0.00,12.00,40.00,437.00,132.00,111.00,179.00,

 11:10:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,
Total Counts,323.00,76.00,904.00,42.00,0.00,0.00,12.00,40.00,437.00,132.00,124.00,179.00,

 11:10:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,42.00,0.00,0.00,12.00,40.00,437.00,132.00,124.00,179.00,

 11:11:21
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,437.00,136.00,124.00,179.00,

 11:11:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,437.00,136.00,124.00,182.00,

 11:12:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,5.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,437.00,136.00,135.00,187.00,

 11:12:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,437.00,136.00,135.00,190.00,

 11:13:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,437.00,136.00,135.00,190.00,

 11:13:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,437.00,136.00,135.00,190.00,

 11:14:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,447.00,136.00,135.00,190.00,

 11:14:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,1.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,510.00,136.00,135.00,191.00,

 11:15:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,12.00,40.00,510.00,136.00,135.00,191.00,

 11:15:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,36.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,904.00,44.00,0.00,0.00,13.00,40.00,546.00,136.00,135.00,191.00,

 11:16:21
Interval Count,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:16:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:17:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:17:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:18:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:18:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:19:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,191.00,

 11:19:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,194.00,

 11:20:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,194.00,

 11:20:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,44.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,194.00,

 11:21:21
Interval Count,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,83.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,194.00,

 11:21:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,323.00,76.00,907.00,83.00,0.00,0.00,13.00,40.00,546.00,137.00,135.00,194.00,

 11:22:22
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
