,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 12:49:21
,     Stop Time: ~10/24/2017 13:49:21


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,34.00,0.00,95.00,0.00,0.00,0.00,0.00,2.00,7.00,0.00,0.00,
Total Counts,189.00,1184.00,88.00,883.00,75.00,1300.00,132.00,1022.00,37.00,1977.00,303.00,591.00,

 13:01:22
Interval Count,0.00,59.00,3.00,101.00,0.00,0.00,0.00,3.00,0.00,53.00,0.00,98.00,
Total Counts,189.00,1243.00,91.00,984.00,75.00,1300.00,132.00,1025.00,37.00,2030.00,303.00,689.00,

 13:01:52
Interval Count,3.00,14.00,0.00,113.00,0.00,0.00,0.00,72.00,0.00,51.00,2.00,37.00,
Total Counts,192.00,1257.00,91.00,1097.00,75.00,1300.00,132.00,1097.00,37.00,2081.00,305.00,726.00,

 13:02:22
Interval Count,0.00,55.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,0.00,
Total Counts,192.00,1312.00,101.00,1100.00,75.00,1300.00,132.00,1097.00,37.00,2081.00,406.00,726.00,

 13:02:52
Interval Count,0.00,32.00,0.00,219.00,0.00,0.00,0.00,0.00,0.00,7.00,63.00,24.00,
Total Counts,192.00,1344.00,101.00,1319.00,75.00,1300.00,132.00,1097.00,37.00,2088.00,469.00,750.00,

 13:03:22
Interval Count,7.00,0.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,116.00,241.00,123.00,
Total Counts,199.00,1344.00,101.00,1386.00,75.00,1300.00,132.00,1097.00,37.00,2204.00,710.00,873.00,

 13:03:52
Interval Count,2.00,56.00,0.00,0.00,0.00,0.00,13.00,8.00,0.00,0.00,241.00,33.00,
Total Counts,201.00,1400.00,101.00,1386.00,75.00,1300.00,145.00,1105.00,37.00,2204.00,951.00,906.00,

 13:04:22
Interval Count,0.00,35.00,3.00,77.00,1.00,0.00,0.00,0.00,0.00,72.00,239.00,28.00,
Total Counts,201.00,1435.00,104.00,1463.00,76.00,1300.00,145.00,1105.00,37.00,2276.00,1190.00,934.00,

 13:04:52
Interval Count,0.00,21.00,0.00,70.00,0.00,0.00,0.00,0.00,1.00,76.00,240.00,117.00,
Total Counts,201.00,1456.00,104.00,1533.00,76.00,1300.00,145.00,1105.00,38.00,2352.00,1430.00,1051.00,

 13:05:22
Interval Count,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,0.00,
Total Counts,201.00,1487.00,104.00,1533.00,76.00,1300.00,145.00,1105.00,38.00,2352.00,1655.00,1051.00,

 13:05:52
Interval Count,0.00,39.00,1.00,50.00,0.00,3.00,0.00,0.00,0.00,88.00,49.00,0.00,
Total Counts,201.00,1526.00,105.00,1583.00,76.00,1303.00,145.00,1105.00,38.00,2440.00,1704.00,1051.00,

 13:06:22
Interval Count,0.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,201.00,1526.00,105.00,1654.00,76.00,1303.00,145.00,1105.00,38.00,2440.00,1705.00,1051.00,

 13:06:52
Interval Count,0.00,14.00,4.00,139.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,
Total Counts,201.00,1540.00,109.00,1793.00,76.00,1303.00,145.00,1105.00,38.00,2476.00,1705.00,1051.00,

 13:07:22
Interval Count,0.00,20.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,1.00,0.00,
Total Counts,201.00,1560.00,230.00,1793.00,76.00,1303.00,145.00,1105.00,38.00,2534.00,1706.00,1051.00,

 13:07:52
Interval Count,2.00,64.00,4.00,51.00,0.00,7.00,0.00,3.00,0.00,106.00,240.00,74.00,
Total Counts,203.00,1624.00,234.00,1844.00,76.00,1310.00,145.00,1108.00,38.00,2640.00,1946.00,1125.00,

 13:08:22
Interval Count,0.00,27.00,83.00,159.00,41.00,0.00,0.00,1.00,0.00,0.00,149.00,0.00,
Total Counts,203.00,1651.00,317.00,2003.00,117.00,1310.00,145.00,1109.00,38.00,2640.00,2095.00,1125.00,

 13:08:52
Interval Count,0.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,203.00,41.00,
Total Counts,203.00,1651.00,446.00,2003.00,117.00,1310.00,145.00,1109.00,38.00,2657.00,2298.00,1166.00,

 13:09:22
Interval Count,1.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,240.00,55.00,
Total Counts,204.00,1696.00,446.00,2003.00,117.00,1310.00,145.00,1109.00,38.00,2658.00,2538.00,1221.00,

 13:09:52
Interval Count,0.00,0.00,0.00,122.00,0.00,0.00,15.00,0.00,3.00,104.00,241.00,0.00,
Total Counts,204.00,1696.00,446.00,2125.00,117.00,1310.00,160.00,1109.00,41.00,2762.00,2779.00,1221.00,

 13:10:22
Interval Count,0.00,49.00,0.00,47.00,0.00,0.00,0.00,0.00,16.00,0.00,218.00,0.00,
Total Counts,204.00,1745.00,446.00,2172.00,117.00,1310.00,160.00,1109.00,57.00,2762.00,2997.00,1221.00,

 13:10:52
