,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2018 13:42:44
,     Stop Time: ~1/3/2018 14:42:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,732.00,15.00,1053.00,11.00,387.00,56.00,70.00,260.00,79.00,539.00,9.00,350.00,

 13:54:45
Interval Count,95.00,0.00,171.00,0.00,129.00,0.00,0.00,0.00,0.00,34.00,0.00,80.00,
Total Counts,827.00,15.00,1224.00,11.00,516.00,56.00,70.00,260.00,79.00,573.00,9.00,430.00,

 13:55:15
Interval Count,0.00,0.00,0.00,0.00,1.00,5.00,3.00,0.00,3.00,49.00,0.00,167.00,
Total Counts,827.00,15.00,1224.00,11.00,517.00,61.00,73.00,260.00,82.00,622.00,9.00,597.00,

 13:55:45
Interval Count,0.00,0.00,127.00,0.00,0.00,0.00,6.00,0.00,0.00,80.00,0.00,179.00,
Total Counts,827.00,15.00,1351.00,11.00,517.00,61.00,79.00,260.00,82.00,702.00,9.00,776.00,

 13:56:15
Interval Count,48.00,1.00,73.00,0.00,56.00,0.00,1.00,0.00,0.00,0.00,0.00,154.00,
Total Counts,875.00,16.00,1424.00,11.00,573.00,61.00,80.00,260.00,82.00,702.00,9.00,930.00,

 13:56:45
Interval Count,234.00,0.00,142.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,
Total Counts,1109.00,16.00,1566.00,11.00,578.00,61.00,80.00,260.00,82.00,702.00,9.00,955.00,

 13:57:15
Interval Count,136.00,0.00,70.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,1245.00,16.00,1636.00,11.00,578.00,61.00,80.00,263.00,82.00,702.00,9.00,955.00,

 13:57:45
Interval Count,0.00,0.00,25.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,
Total Counts,1245.00,16.00,1661.00,11.00,578.00,63.00,80.00,263.00,85.00,702.00,9.00,955.00,

 13:58:15
Interval Count,0.00,0.00,0.00,1.00,99.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,1245.00,16.00,1661.00,12.00,677.00,63.00,80.00,267.00,85.00,702.00,9.00,955.00,

 13:58:45
Interval Count,0.00,0.00,167.00,0.00,11.00,3.00,0.00,0.00,0.00,0.00,0.00,85.00,
Total Counts,1245.00,16.00,1828.00,12.00,688.00,66.00,80.00,267.00,85.00,702.00,9.00,1040.00,

 13:59:15
Interval Count,0.00,0.00,142.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,
Total Counts,1245.00,16.00,1970.00,12.00,688.00,66.00,80.00,268.00,85.00,702.00,9.00,1049.00,

 13:59:45
Interval Count,0.00,0.00,0.00,0.00,14.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1245.00,16.00,1970.00,12.00,702.00,66.00,81.00,268.00,85.00,702.00,9.00,1049.00,

 14:00:15
Interval Count,163.00,0.00,10.00,0.00,113.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,1408.00,16.00,1980.00,12.00,815.00,66.00,81.00,269.00,85.00,702.00,9.00,1049.00,

 14:00:45
Interval Count,58.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1466.00,16.00,2107.00,12.00,815.00,66.00,81.00,269.00,85.00,702.00,9.00,1049.00,

 14:01:15
Interval Count,0.00,0.00,0.00,0.00,36.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,
Total Counts,1466.00,16.00,2107.00,12.00,851.00,66.00,81.00,316.00,85.00,702.00,9.00,1049.00,

 14:01:45
Interval Count,0.00,0.00,0.00,0.00,27.00,0.00,0.00,37.00,4.00,0.00,0.00,0.00,
Total Counts,1466.00,16.00,2107.00,12.00,878.00,66.00,81.00,353.00,89.00,702.00,9.00,1049.00,

 14:02:15
Interval Count,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1545.00,16.00,2107.00,12.00,878.00,66.00,81.00,353.00,89.00,702.00,9.00,1049.00,

 14:02:45
Interval Count,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1545.00,16.00,2107.00,12.00,906.00,66.00,81.00,353.00,89.00,702.00,9.00,1049.00,

 14:03:15
Interval Count,0.00,0.00,132.00,0.00,105.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,1545.00,16.00,2239.00,12.00,1011.00,66.00,82.00,356.00,89.00,702.00,9.00,1049.00,

 14:03:45
Interval Count,11.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,1556.00,16.00,2274.00,12.00,1011.00,66.00,82.00,356.00,89.00,702.00,10.00,1049.00,

 14:04:15
Interval Count,0.00,0.00,152.00,0.00,85.00,0.00,51.00,7.00,0.00,0.00,0.00,1.00,
