,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 19:54:26
,     Stop Time: ~1/8/2006 20:54:26


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,35.00,1522.00,5.00,2410.00,26.00,1324.00,1368.00,32.00,0.00,0.00,0.00,0.00,

 20:06:27
Interval Count,2.00,92.00,8.00,4.00,0.00,137.00,117.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1614.00,13.00,2414.00,26.00,1461.00,1485.00,32.00,0.00,0.00,0.00,0.00,

 20:06:57
Interval Count,0.00,82.00,0.00,0.00,0.00,40.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1696.00,13.00,2414.00,26.00,1501.00,1485.00,33.00,0.00,0.00,0.00,0.00,

 20:07:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1696.00,13.00,2414.00,26.00,1501.00,1574.00,33.00,0.00,0.00,0.00,0.00,

 20:07:57
Interval Count,0.00,0.00,0.00,0.00,0.00,5.00,58.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1696.00,13.00,2414.00,26.00,1506.00,1632.00,33.00,0.00,0.00,0.00,0.00,

 20:08:27
Interval Count,0.00,0.00,0.00,180.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1696.00,13.00,2594.00,26.00,1506.00,1698.00,33.00,0.00,0.00,0.00,0.00,

 20:08:57
Interval Count,0.00,6.00,0.00,135.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1702.00,13.00,2729.00,26.00,1506.00,1771.00,33.00,0.00,0.00,0.00,0.00,

 20:09:27
Interval Count,0.00,210.00,0.00,118.00,0.00,1.00,81.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,13.00,2847.00,26.00,1507.00,1852.00,33.00,0.00,0.00,0.00,0.00,

 20:09:57
Interval Count,0.00,0.00,0.00,153.00,0.00,1.00,99.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,13.00,3000.00,26.00,1508.00,1951.00,33.00,0.00,0.00,0.00,0.00,

 20:10:27
Interval Count,0.00,0.00,0.00,210.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,13.00,3210.00,26.00,1508.00,2001.00,33.00,0.00,0.00,0.00,0.00,

 20:10:57
Interval Count,0.00,0.00,0.00,157.00,0.00,0.00,177.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,13.00,3367.00,26.00,1508.00,2178.00,33.00,0.00,0.00,0.00,0.00,

 20:11:27
Interval Count,0.00,0.00,1.00,0.00,1.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3367.00,27.00,1508.00,2272.00,33.00,0.00,0.00,0.00,0.00,

 20:11:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3367.00,27.00,1508.00,2272.00,33.00,0.00,0.00,0.00,0.00,

 20:12:27
Interval Count,0.00,0.00,0.00,156.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3523.00,27.00,1508.00,2272.00,33.00,0.00,0.00,0.00,0.00,

 20:12:57
Interval Count,0.00,0.00,0.00,87.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3610.00,27.00,1508.00,2297.00,33.00,0.00,0.00,0.00,0.00,

 20:13:27
Interval Count,0.00,0.00,0.00,27.00,0.00,0.00,91.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3637.00,27.00,1508.00,2388.00,33.00,0.00,0.00,0.00,0.00,

 20:13:57
Interval Count,0.00,0.00,0.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3804.00,27.00,1508.00,2388.00,33.00,0.00,0.00,0.00,0.00,

 20:14:27
Interval Count,0.00,0.00,0.00,88.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3892.00,27.00,1508.00,2448.00,33.00,0.00,0.00,0.00,0.00,

 20:14:57
Interval Count,0.00,0.00,0.00,94.00,1.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,3986.00,28.00,1508.00,2502.00,33.00,0.00,0.00,0.00,0.00,

 20:15:27
Interval Count,0.00,0.00,0.00,94.00,3.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4080.00,31.00,1523.00,2502.00,33.00,0.00,0.00,0.00,0.00,

 20:15:57
Interval Count,0.00,0.00,0.00,127.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4207.00,31.00,1523.00,2601.00,33.00,0.00,0.00,0.00,0.00,

 20:16:27
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,2730.00,33.00,0.00,0.00,0.00,0.00,

 20:16:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,2730.00,33.00,0.00,0.00,0.00,0.00,

 20:17:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,2807.00,33.00,0.00,0.00,0.00,0.00,

 20:17:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,2893.00,33.00,0.00,0.00,0.00,0.00,

 20:18:27
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,101.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,2994.00,33.00,0.00,0.00,0.00,0.00,

 20:18:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,37.00,1912.00,14.00,4209.00,31.00,1523.00,3083.00,33.00,0.00,0.00,0.00,0.00,

 20:19:27
