,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 15:26:26
,     Stop Time: ~10/24/2017 16:26:26


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/24/2017 15:26:26
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 15:26:56
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,0.00,1.00,2.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,0.00,1.00,2.00,

 15:27:26
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,13.00,0.00,4.00,14.00,1.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1.00,0.00,13.00,0.00,143.00,14.00,2.00,2.00,

 15:27:56
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,124.00,0.00,8.00,0.00,0.00,5.00,
Total Counts,0.00,0.00,0.00,0.00,1.00,0.00,137.00,0.00,151.00,14.00,2.00,7.00,

 15:28:26
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,170.00,0.00,68.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1.00,0.00,307.00,0.00,219.00,14.00,2.00,7.00,

 15:28:56
Interval Count,0.00,0.00,0.00,0.00,2.00,0.00,0.00,15.00,199.00,0.00,5.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,3.00,0.00,307.00,15.00,418.00,14.00,7.00,7.00,

 15:29:26
