,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 14:42:58
,     Stop Time: ~10/29/2017 15:42:58


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,0.00,0.00,0.00,0.00,967.00,26.00,1523.00,53.00,1542.00,13.00,2213.00,12.00,

 14:54:59
Interval Count,0.00,0.00,0.00,0.00,27.00,0.00,0.00,7.00,97.00,0.00,0.00,2.00,
Total Counts,0.00,0.00,0.00,0.00,994.00,26.00,1523.00,60.00,1639.00,13.00,2213.00,14.00,

 14:55:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.00,67.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,994.00,26.00,1523.00,60.00,1706.00,13.00,2280.00,14.00,

 14:55:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,994.00,26.00,1523.00,60.00,1821.00,13.00,2280.00,14.00,

 14:56:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,126.00,3.00,23.00,14.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,994.00,26.00,1649.00,63.00,1844.00,27.00,2280.00,14.00,

 14:56:59
Interval Count,0.00,0.00,0.00,0.00,151.00,0.00,98.00,0.00,116.00,0.00,136.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1145.00,26.00,1747.00,63.00,1960.00,27.00,2416.00,14.00,

 14:57:29
Interval Count,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,8.00,0.00,38.00,1.00,
Total Counts,0.00,0.00,0.00,0.00,1175.00,26.00,1747.00,63.00,1968.00,27.00,2454.00,15.00,

 14:57:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00,0.00,137.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1175.00,26.00,1747.00,63.00,2055.00,27.00,2591.00,15.00,

 14:58:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1175.00,26.00,1787.00,63.00,2055.00,27.00,2591.00,15.00,

 14:58:59
Interval Count,0.00,0.00,0.00,0.00,6.00,1.00,156.00,0.00,95.00,0.00,63.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1181.00,27.00,1943.00,63.00,2150.00,27.00,2654.00,15.00,

 14:59:29
Interval Count,0.00,0.00,0.00,0.00,144.00,0.00,0.00,0.00,5.00,0.00,73.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1325.00,27.00,1943.00,63.00,2155.00,27.00,2727.00,15.00,

 14:59:59
Interval Count,0.00,0.00,0.00,0.00,46.00,1.00,0.00,0.00,98.00,0.00,42.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1371.00,28.00,1943.00,63.00,2253.00,27.00,2769.00,15.00,

 15:00:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1371.00,28.00,1943.00,63.00,2280.00,27.00,2769.00,15.00,

 15:00:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1371.00,28.00,1943.00,63.00,2338.00,27.00,2769.00,15.00,

 15:01:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1371.00,28.00,1943.00,63.00,2467.00,27.00,2769.00,15.00,

 15:01:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1371.00,28.00,1943.00,63.00,2542.00,27.00,2769.00,15.00,

 15:02:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1371.00,28.00,1943.00,63.00,2628.00,27.00,2769.00,15.00,

 15:02:59
Interval Count,0.00,0.00,0.00,0.00,63.00,1.00,81.00,0.00,32.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1434.00,29.00,2024.00,63.00,2660.00,27.00,2769.00,15.00,

 15:03:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1434.00,29.00,2108.00,63.00,2660.00,27.00,2769.00,15.00,

 15:03:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,169.00,0.00,2.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1434.00,29.00,2277.00,63.00,2662.00,27.00,2769.00,15.00,

 15:04:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1434.00,29.00,2277.00,63.00,2805.00,27.00,2769.00,15.00,

 15:04:59
Interval Count,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,108.00,0.00,174.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1447.00,29.00,2277.00,63.00,2913.00,27.00,2943.00,15.00,

 15:05:29
Interval Count,0.00,0.00,0.00,0.00,65.00,0.00,136.00,4.00,57.00,0.00,155.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1512.00,29.00,2413.00,67.00,2970.00,27.00,3098.00,15.00,

 15:05:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,63.00,0.00,48.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1512.00,29.00,2413.00,75.00,3033.00,27.00,3146.00,15.00,

 15:06:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,82.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,1512.00,29.00,2413.00,75.00,3089.00,27.00,3228.00,15.00,

 15:06:59
Interval Count,0.00,0.00,0.00,0.00,11.00,0.00,0.00,20.00,15.00,0.00,0.00,0.00,
