,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2018 12:20:03
,     Stop Time: ~1/3/2018 13:20:03


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/3/2018 12:20:04
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:20:34
Interval Count,79.00,0.00,0.00,0.00,22.00,5.00,0.00,0.00,0.00,0.00,1.00,22.00,
Total Counts,79.00,0.00,0.00,0.00,22.00,5.00,0.00,0.00,0.00,0.00,1.00,22.00,

 12:21:04
Interval Count,55.00,6.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,39.00,0.00,54.00,
Total Counts,134.00,6.00,0.00,0.00,39.00,5.00,0.00,0.00,0.00,39.00,1.00,76.00,

 12:21:34
Interval Count,83.00,4.00,0.00,0.00,47.00,4.00,0.00,0.00,1.00,0.00,10.00,15.00,
Total Counts,217.00,10.00,0.00,0.00,86.00,9.00,0.00,0.00,1.00,39.00,11.00,91.00,

 12:22:04
Interval Count,41.00,2.00,157.00,0.00,49.00,3.00,0.00,0.00,0.00,0.00,0.00,23.00,
Total Counts,258.00,12.00,157.00,0.00,135.00,12.00,0.00,0.00,1.00,39.00,11.00,114.00,

 12:22:34
Interval Count,74.00,5.00,126.00,0.00,39.00,0.00,10.00,0.00,0.00,0.00,1.00,55.00,
Total Counts,332.00,17.00,283.00,0.00,174.00,12.00,10.00,0.00,1.00,39.00,12.00,169.00,

 12:23:04
Interval Count,164.00,1.00,135.00,0.00,1.00,0.00,1.00,11.00,2.00,1.00,0.00,4.00,
Total Counts,496.00,18.00,418.00,0.00,175.00,12.00,11.00,11.00,3.00,40.00,12.00,173.00,

 12:23:34
Interval Count,71.00,3.00,85.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,69.00,
Total Counts,567.00,21.00,503.00,0.00,175.00,12.00,11.00,11.00,5.00,42.00,12.00,242.00,

 12:24:04
Interval Count,55.00,6.00,115.00,0.00,72.00,0.00,0.00,1.00,2.00,0.00,0.00,33.00,
Total Counts,622.00,27.00,618.00,0.00,247.00,12.00,11.00,12.00,7.00,42.00,12.00,275.00,

 12:24:34
Interval Count,89.00,0.00,54.00,0.00,16.00,84.00,0.00,0.00,0.00,0.00,1.00,19.00,
Total Counts,711.00,27.00,672.00,0.00,263.00,96.00,11.00,12.00,7.00,42.00,13.00,294.00,

 12:25:04
Interval Count,0.00,0.00,65.00,0.00,48.00,5.00,0.00,0.00,0.00,0.00,6.00,34.00,
Total Counts,711.00,27.00,737.00,0.00,311.00,101.00,11.00,12.00,7.00,42.00,19.00,328.00,

 12:25:34
Interval Count,83.00,0.00,99.00,0.00,21.00,40.00,0.00,0.00,0.00,89.00,5.00,23.00,
Total Counts,794.00,27.00,836.00,0.00,332.00,141.00,11.00,12.00,7.00,131.00,24.00,351.00,

 12:26:04
Interval Count,52.00,6.00,0.00,0.00,55.00,0.00,0.00,116.00,1.00,64.00,2.00,35.00,
Total Counts,846.00,33.00,836.00,0.00,387.00,141.00,11.00,128.00,8.00,195.00,26.00,386.00,

 12:26:34
Interval Count,57.00,0.00,106.00,5.00,79.00,0.00,0.00,2.00,0.00,0.00,0.00,32.00,
Total Counts,903.00,33.00,942.00,5.00,466.00,141.00,11.00,130.00,8.00,195.00,26.00,418.00,

 12:27:04
Interval Count,2.00,0.00,79.00,0.00,6.00,0.00,0.00,0.00,10.00,0.00,0.00,39.00,
Total Counts,905.00,33.00,1021.00,5.00,472.00,141.00,11.00,130.00,18.00,195.00,26.00,457.00,

 12:27:34
Interval Count,0.00,1.00,106.00,0.00,84.00,0.00,31.00,40.00,0.00,0.00,0.00,32.00,
Total Counts,905.00,34.00,1127.00,5.00,556.00,141.00,42.00,170.00,18.00,195.00,26.00,489.00,

 12:28:04
Interval Count,4.00,0.00,0.00,10.00,79.00,2.00,0.00,0.00,1.00,0.00,3.00,13.00,
