,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2006 17:48:57
,     Stop Time: ~1/3/2006 18:48:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/3/2006 17:48:57
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 17:49:27
Interval Count,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 17:49:57
Interval Count,0.00,0.00,0.00,3.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,2.00,0.00,2.00,3.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,

 17:50:27
Interval Count,0.00,94.00,0.00,0.00,3.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2.00,94.00,2.00,3.00,3.00,1.00,42.00,2.00,0.00,0.00,0.00,0.00,

 17:50:57
Interval Count,5.00,41.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,135.00,3.00,3.00,3.00,1.00,42.00,2.00,0.00,0.00,0.00,0.00,

 17:51:27
Interval Count,0.00,30.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,165.00,3.00,6.00,3.00,2.00,42.00,2.00,0.00,0.00,0.00,0.00,

 17:51:57
Interval Count,0.00,89.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,254.00,3.00,6.00,3.00,2.00,84.00,2.00,0.00,0.00,0.00,0.00,

 17:52:27
Interval Count,0.00,49.00,2.00,3.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,303.00,5.00,9.00,3.00,2.00,114.00,2.00,0.00,0.00,0.00,0.00,

 17:52:57
Interval Count,2.00,36.00,1.00,4.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,339.00,6.00,13.00,3.00,2.00,155.00,2.00,0.00,0.00,0.00,0.00,

 17:53:27
Interval Count,0.00,13.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,352.00,6.00,66.00,3.00,2.00,155.00,2.00,0.00,0.00,0.00,0.00,

 17:53:57
Interval Count,0.00,140.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,492.00,6.00,66.00,3.00,2.00,156.00,2.00,0.00,0.00,0.00,0.00,

 17:54:27
Interval Count,0.00,16.00,0.00,0.00,1.00,0.00,141.00,6.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,508.00,6.00,66.00,4.00,2.00,297.00,8.00,0.00,0.00,0.00,0.00,

 17:54:58
Interval Count,0.00,105.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,613.00,8.00,66.00,4.00,2.00,297.00,8.00,0.00,0.00,0.00,0.00,

 17:55:27
Interval Count,1.00,0.00,1.00,0.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,10.00,613.00,9.00,66.00,4.00,2.00,389.00,8.00,0.00,0.00,0.00,0.00,

 17:55:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,0.00,0.00,0.00,0.00,
