,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 12:10:56
,     Stop Time: ~10/29/2017 13:10:56


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/29/2017 12:10:56
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:11:27
Interval Count,0.00,56.00,0.00,0.00,5.00,58.00,0.00,0.00,0.00,42.00,1.00,55.00,
Total Counts,0.00,56.00,0.00,0.00,5.00,58.00,0.00,0.00,0.00,42.00,1.00,55.00,

 12:11:57
Interval Count,0.00,75.00,1.00,103.00,2.00,41.00,3.00,0.00,0.00,29.00,0.00,89.00,
Total Counts,0.00,131.00,1.00,103.00,7.00,99.00,3.00,0.00,0.00,71.00,1.00,144.00,

 12:12:27
Interval Count,3.00,15.00,5.00,58.00,0.00,137.00,0.00,61.00,0.00,6.00,0.00,106.00,
Total Counts,3.00,146.00,6.00,161.00,7.00,236.00,3.00,61.00,0.00,77.00,1.00,250.00,

 12:12:57
Interval Count,0.00,85.00,0.00,52.00,4.00,42.00,1.00,0.00,5.00,41.00,0.00,112.00,
Total Counts,3.00,231.00,6.00,213.00,11.00,278.00,4.00,61.00,5.00,118.00,1.00,362.00,

 12:13:27
Interval Count,0.00,58.00,0.00,44.00,58.00,52.00,0.00,74.00,0.00,10.00,0.00,102.00,
Total Counts,3.00,289.00,6.00,257.00,69.00,330.00,4.00,135.00,5.00,128.00,1.00,464.00,

 12:13:57
Interval Count,0.00,83.00,0.00,49.00,1.00,139.00,0.00,11.00,4.00,104.00,0.00,75.00,
Total Counts,3.00,372.00,6.00,306.00,70.00,469.00,4.00,146.00,9.00,232.00,1.00,539.00,

 12:14:27
Interval Count,0.00,107.00,14.00,51.00,8.00,123.00,0.00,102.00,0.00,31.00,0.00,57.00,
Total Counts,3.00,479.00,20.00,357.00,78.00,592.00,4.00,248.00,9.00,263.00,1.00,596.00,

 12:14:57
Interval Count,0.00,0.00,0.00,0.00,5.00,22.00,1.00,0.00,4.00,20.00,0.00,67.00,
