,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 14:07:59
,     Stop Time: ~10/24/2017 15:07:59


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,187.00,20.00,4.00,0.00,61.00,1.00,0.00,0.00,0.00,0.00,119.00,
Total Counts,53.00,1830.00,51.00,1165.00,19.00,1363.00,46.00,467.00,58.00,329.00,62.00,1786.00,

 14:20:00
Interval Count,0.00,47.00,0.00,5.00,0.00,117.00,0.00,0.00,0.00,9.00,0.00,92.00,
Total Counts,53.00,1877.00,51.00,1170.00,19.00,1480.00,46.00,467.00,58.00,338.00,62.00,1878.00,

 14:20:30
Interval Count,1.00,13.00,0.00,1.00,0.00,36.00,2.00,0.00,6.00,0.00,0.00,122.00,
Total Counts,54.00,1890.00,51.00,1171.00,19.00,1516.00,48.00,467.00,64.00,338.00,62.00,2000.00,

 14:21:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,94.00,
Total Counts,54.00,1890.00,51.00,1171.00,19.00,1516.00,48.00,474.00,64.00,338.00,63.00,2094.00,

 14:21:30
Interval Count,0.00,135.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,36.00,
Total Counts,54.00,2025.00,51.00,1171.00,19.00,1516.00,51.00,474.00,64.00,338.00,63.00,2130.00,

 14:22:00
Interval Count,0.00,141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,79.00,
Total Counts,54.00,2166.00,51.00,1171.00,19.00,1516.00,51.00,474.00,64.00,338.00,64.00,2209.00,

 14:22:30
Interval Count,0.00,23.00,22.00,17.00,0.00,50.00,0.00,164.00,0.00,0.00,2.00,43.00,
Total Counts,54.00,2189.00,73.00,1188.00,19.00,1566.00,51.00,638.00,64.00,338.00,66.00,2252.00,

 14:23:00
Interval Count,0.00,52.00,0.00,15.00,0.00,39.00,0.00,202.00,0.00,153.00,0.00,113.00,
Total Counts,54.00,2241.00,73.00,1203.00,19.00,1605.00,51.00,840.00,64.00,491.00,66.00,2365.00,

 14:23:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,0.00,195.00,0.00,42.00,
Total Counts,54.00,2241.00,73.00,1203.00,19.00,1605.00,51.00,996.00,64.00,686.00,66.00,2407.00,

 14:24:00
Interval Count,0.00,78.00,0.00,8.00,0.00,115.00,0.00,195.00,0.00,96.00,0.00,69.00,
Total Counts,54.00,2319.00,73.00,1211.00,19.00,1720.00,51.00,1191.00,64.00,782.00,66.00,2476.00,

 14:24:30
Interval Count,0.00,158.00,0.00,0.00,0.00,160.00,0.00,182.00,0.00,164.00,0.00,0.00,
Total Counts,54.00,2477.00,73.00,1211.00,19.00,1880.00,51.00,1373.00,64.00,946.00,66.00,2476.00,

 14:25:00
Interval Count,0.00,195.00,3.00,0.00,0.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,54.00,2672.00,76.00,1211.00,19.00,2022.00,51.00,1373.00,64.00,946.00,66.00,2476.00,

 14:25:30
Interval Count,0.00,54.00,0.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,157.00,
Total Counts,54.00,2726.00,76.00,1211.00,19.00,2118.00,51.00,1373.00,64.00,946.00,66.00,2633.00,

 14:26:00
Interval Count,0.00,35.00,0.00,0.00,0.00,108.00,0.00,0.00,0.00,9.00,0.00,46.00,
Total Counts,54.00,2761.00,76.00,1211.00,19.00,2226.00,51.00,1373.00,64.00,955.00,66.00,2679.00,

 14:26:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,
Total Counts,54.00,2761.00,76.00,1211.00,19.00,2226.00,51.00,1373.00,64.00,955.00,66.00,2832.00,

 14:27:00
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,18.00,103.00,
Total Counts,54.00,2762.00,76.00,1211.00,19.00,2226.00,51.00,1375.00,64.00,955.00,84.00,2935.00,

 14:27:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,54.00,2762.00,76.00,1211.00,19.00,2226.00,51.00,1375.00,64.00,955.00,84.00,2935.00,

 14:28:00
Interval Count,0.00,48.00,0.00,127.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,31.00,
Total Counts,54.00,2810.00,76.00,1338.00,19.00,2226.00,51.00,1376.00,65.00,955.00,84.00,2966.00,

 14:28:30
Interval Count,0.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,
Total Counts,54.00,2810.00,76.00,1415.00,19.00,2226.00,51.00,1376.00,65.00,955.00,84.00,3140.00,

 14:29:00
Interval Count,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,
Total Counts,54.00,2829.00,76.00,1415.00,19.00,2226.00,51.00,1376.00,65.00,955.00,84.00,3226.00,

 14:29:30
