,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/2/2018 10:20:10
,     Stop Time: ~1/2/2018 11:20:10


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/2/2018 10:20:10
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 10:20:40
Interval Count,0.00,0.00,9.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,
Total Counts,0.00,0.00,9.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,

 10:21:10
Interval Count,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,7.00,140.00,0.00,9.00,
Total Counts,0.00,1.00,10.00,0.00,0.00,0.00,2.00,0.00,7.00,140.00,2.00,9.00,

 10:21:40
Interval Count,0.00,1.00,38.00,0.00,0.00,0.00,1.00,0.00,0.00,101.00,3.00,73.00,
Total Counts,0.00,2.00,48.00,0.00,0.00,0.00,3.00,0.00,7.00,241.00,5.00,82.00,

 10:22:10
Interval Count,98.00,2.00,21.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,102.00,
Total Counts,98.00,4.00,69.00,1.00,0.00,0.00,3.00,0.00,12.00,241.00,5.00,184.00,

 10:22:40
Interval Count,70.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,92.00,
Total Counts,168.00,4.00,69.00,16.00,0.00,0.00,3.00,0.00,12.00,361.00,5.00,276.00,

 10:23:10
Interval Count,0.00,0.00,109.00,0.00,0.00,0.00,0.00,163.00,0.00,67.00,0.00,20.00,
Total Counts,168.00,4.00,178.00,16.00,0.00,0.00,3.00,163.00,12.00,428.00,5.00,296.00,

 10:23:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.00,2.00,65.00,21.00,98.00,
Total Counts,168.00,4.00,178.00,16.00,0.00,0.00,3.00,344.00,14.00,493.00,26.00,394.00,

 10:24:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.00,14.00,10.00,0.00,33.00,
Total Counts,168.00,4.00,178.00,16.00,0.00,0.00,3.00,498.00,28.00,503.00,26.00,427.00,

 10:24:40
Interval Count,0.00,0.00,17.00,0.00,0.00,0.00,0.00,95.00,1.00,0.00,0.00,49.00,
Total Counts,168.00,4.00,195.00,16.00,0.00,0.00,3.00,593.00,29.00,503.00,26.00,476.00,

 10:25:11
Interval Count,0.00,0.00,133.00,0.00,0.00,0.00,15.00,56.00,4.00,82.00,0.00,25.00,
Total Counts,168.00,4.00,328.00,16.00,0.00,0.00,18.00,649.00,33.00,585.00,26.00,501.00,

 10:25:40
Interval Count,1.00,0.00,94.00,4.00,0.00,0.00,3.00,89.00,0.00,194.00,22.00,57.00,
Total Counts,169.00,4.00,422.00,20.00,0.00,0.00,21.00,738.00,33.00,779.00,48.00,558.00,

 10:26:10
Interval Count,0.00,0.00,86.00,0.00,0.00,0.00,0.00,103.00,0.00,3.00,1.00,87.00,
Total Counts,169.00,4.00,508.00,20.00,0.00,0.00,21.00,841.00,33.00,782.00,49.00,645.00,

 10:26:40
Interval Count,0.00,0.00,79.00,0.00,0.00,0.00,28.00,34.00,1.00,104.00,0.00,134.00,
Total Counts,169.00,4.00,587.00,20.00,0.00,0.00,49.00,875.00,34.00,886.00,49.00,779.00,

 10:27:10
Interval Count,0.00,36.00,100.00,0.00,0.00,0.00,0.00,1.00,0.00,17.00,12.00,21.00,
Total Counts,169.00,40.00,687.00,20.00,0.00,0.00,49.00,876.00,34.00,903.00,61.00,800.00,

 10:27:41
Interval Count,0.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,13.00,0.00,62.00,
Total Counts,169.00,43.00,687.00,21.00,0.00,0.00,50.00,876.00,34.00,916.00,61.00,862.00,

 10:28:10
Interval Count,0.00,0.00,52.00,0.00,0.00,0.00,20.00,0.00,0.00,8.00,9.00,19.00,
Total Counts,169.00,43.00,739.00,21.00,0.00,0.00,70.00,876.00,34.00,924.00,70.00,881.00,

 10:28:40
Interval Count,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,120.00,
Total Counts,169.00,43.00,764.00,21.00,0.00,0.00,70.00,876.00,41.00,924.00,70.00,1001.00,

 10:29:11
