,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/18/2017 10:07:37
,     Stop Time: ~10/18/2017 11:07:37


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/18/2017 10:07:37
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 10:08:07
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,5.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,5.00,0.00,0.00,0.00,

 10:08:37
Interval Count,7.00,1.00,14.00,0.00,0.00,9.00,7.00,0.00,2.00,0.00,0.00,0.00,
Total Counts,7.00,1.00,15.00,0.00,0.00,9.00,8.00,1.00,7.00,0.00,0.00,0.00,

 10:09:07
Interval Count,0.00,25.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,26.00,16.00,0.00,0.00,9.00,13.00,1.00,7.00,0.00,0.00,0.00,

 10:09:37
Interval Count,2.00,23.00,1.00,0.00,0.00,0.00,126.00,0.00,46.00,0.00,0.00,0.00,
Total Counts,9.00,49.00,17.00,0.00,0.00,9.00,139.00,1.00,53.00,0.00,0.00,0.00,

 10:10:07
Interval Count,18.00,19.00,1.00,0.00,0.00,0.00,9.00,0.00,42.00,1.00,0.00,0.00,
Total Counts,27.00,68.00,18.00,0.00,0.00,9.00,148.00,1.00,95.00,1.00,0.00,0.00,

 10:10:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,13.00,
Total Counts,27.00,68.00,18.00,0.00,0.00,9.00,208.00,1.00,95.00,1.00,0.00,13.00,

 10:11:07
Interval Count,17.00,3.00,39.00,0.00,4.00,0.00,98.00,0.00,0.00,0.00,5.00,0.00,
Total Counts,44.00,71.00,57.00,0.00,4.00,9.00,306.00,1.00,95.00,1.00,5.00,13.00,

 10:11:37
Interval Count,0.00,2.00,27.00,0.00,0.00,0.00,65.00,52.00,32.00,0.00,1.00,0.00,
Total Counts,44.00,73.00,84.00,0.00,4.00,9.00,371.00,53.00,127.00,1.00,6.00,13.00,

 10:12:07
Interval Count,0.00,0.00,21.00,10.00,0.00,0.00,0.00,0.00,56.00,0.00,0.00,0.00,
Total Counts,44.00,73.00,105.00,10.00,4.00,9.00,371.00,53.00,183.00,1.00,6.00,13.00,

 10:12:37
Interval Count,19.00,12.00,130.00,0.00,1.00,0.00,58.00,9.00,41.00,1.00,0.00,0.00,
Total Counts,63.00,85.00,235.00,10.00,5.00,9.00,429.00,62.00,224.00,2.00,6.00,13.00,

 10:13:07
Interval Count,13.00,0.00,110.00,0.00,0.00,0.00,0.00,1.00,80.00,0.00,0.00,0.00,
Total Counts,76.00,85.00,345.00,10.00,5.00,9.00,429.00,63.00,304.00,2.00,6.00,13.00,

 10:13:37
Interval Count,23.00,9.00,0.00,1.00,0.00,2.00,104.00,3.00,98.00,1.00,0.00,0.00,
Total Counts,99.00,94.00,345.00,11.00,5.00,11.00,533.00,66.00,402.00,3.00,6.00,13.00,

 10:14:07
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,115.00,0.00,11.00,0.00,0.00,1.00,
Total Counts,99.00,94.00,345.00,13.00,5.00,11.00,648.00,66.00,413.00,3.00,6.00,14.00,

 10:14:37
Interval Count,28.00,0.00,39.00,0.00,0.00,0.00,63.00,1.00,77.00,0.00,0.00,0.00,
Total Counts,127.00,94.00,384.00,13.00,5.00,11.00,711.00,67.00,490.00,3.00,6.00,14.00,

 10:15:07
Interval Count,25.00,5.00,72.00,0.00,0.00,1.00,103.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,152.00,99.00,456.00,13.00,5.00,12.00,814.00,67.00,491.00,3.00,6.00,14.00,

 10:15:37
Interval Count,29.00,4.00,0.00,0.00,0.00,2.00,86.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,181.00,103.00,456.00,13.00,5.00,14.00,900.00,67.00,491.00,3.00,6.00,14.00,

 10:16:07
Interval Count,16.00,0.00,0.00,0.00,1.00,4.00,82.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,197.00,103.00,456.00,13.00,6.00,18.00,982.00,67.00,492.00,3.00,6.00,14.00,

 10:16:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,44.00,1.00,6.00,1.00,0.00,2.00,
Total Counts,197.00,103.00,456.00,13.00,6.00,18.00,1026.00,68.00,498.00,4.00,6.00,16.00,

 10:17:07
Interval Count,20.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,7.00,125.00,1.00,
Total Counts,217.00,103.00,456.00,16.00,6.00,18.00,1026.00,68.00,498.00,11.00,131.00,17.00,

 10:17:37
Interval Count,47.00,0.00,0.00,0.00,0.00,0.00,111.00,0.00,0.00,2.00,168.00,0.00,
Total Counts,264.00,103.00,456.00,16.00,6.00,18.00,1137.00,68.00,498.00,13.00,299.00,17.00,

 10:18:07
Interval Count,13.00,0.00,23.00,1.00,0.00,0.00,0.00,0.00,63.00,0.00,37.00,0.00,
Total Counts,277.00,103.00,479.00,17.00,6.00,18.00,1137.00,68.00,561.00,13.00,336.00,17.00,

 10:18:37
Interval Count,0.00,1.00,59.00,0.00,0.00,0.00,112.00,0.00,175.00,0.00,0.00,0.00,
Total Counts,277.00,104.00,538.00,17.00,6.00,18.00,1249.00,68.00,736.00,13.00,336.00,17.00,

 10:19:07
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,43.00,0.00,124.00,0.00,0.00,0.00,
Total Counts,277.00,105.00,538.00,17.00,6.00,18.00,1292.00,68.00,860.00,13.00,336.00,17.00,

 10:19:38
Interval Count,26.00,1.00,1.00,57.00,0.00,0.00,0.00,0.00,67.00,0.00,0.00,0.00,
Total Counts,303.00,106.00,539.00,74.00,6.00,18.00,1292.00,68.00,927.00,13.00,336.00,17.00,

 10:20:07
Interval Count,12.00,0.00,3.00,0.00,1.00,0.00,22.00,0.00,121.00,0.00,0.00,15.00,
Total Counts,315.00,106.00,542.00,74.00,7.00,18.00,1314.00,68.00,1048.00,13.00,336.00,32.00,

 10:20:37
Interval Count,18.00,1.00,84.00,0.00,0.00,0.00,0.00,0.00,202.00,0.00,0.00,0.00,
Total Counts,333.00,107.00,626.00,74.00,7.00,18.00,1314.00,68.00,1250.00,13.00,336.00,32.00,

 10:21:08
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,67.00,0.00,134.00,0.00,0.00,0.00,
Total Counts,333.00,107.00,627.00,74.00,7.00,18.00,1381.00,68.00,1384.00,13.00,336.00,32.00,

 10:21:38
Interval Count,3.00,0.00,0.00,0.00,0.00,0.00,12.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,336.00,107.00,627.00,74.00,7.00,18.00,1393.00,71.00,1384.00,13.00,336.00,32.00,

 10:22:08
Interval Count,32.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,101.00,0.00,30.00,0.00,
Total Counts,368.00,107.00,627.00,74.00,7.00,18.00,1394.00,71.00,1485.00,13.00,366.00,32.00,

 10:22:37
Interval Count,13.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,74.00,0.00,145.00,0.00,
Total Counts,381.00,107.00,627.00,76.00,7.00,18.00,1394.00,71.00,1559.00,13.00,511.00,32.00,

 10:23:08
Interval Count,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,60.00,1.00,0.00,0.00,
Total Counts,384.00,109.00,627.00,77.00,7.00,18.00,1394.00,71.00,1619.00,14.00,511.00,32.00,

 10:23:38
Interval Count,26.00,0.00,0.00,0.00,0.00,1.00,96.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,410.00,109.00,627.00,77.00,7.00,19.00,1490.00,71.00,1619.00,14.00,512.00,32.00,

 10:24:08
Interval Count,16.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,426.00,109.00,627.00,77.00,20.00,19.00,1490.00,71.00,1619.00,14.00,512.00,32.00,

 10:24:38
Interval Count,14.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,440.00,109.00,627.00,77.00,20.00,19.00,1491.00,71.00,1619.00,14.00,512.00,32.00,

 10:25:08
Interval Count,21.00,0.00,0.00,0.00,0.00,0.00,12.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,461.00,109.00,627.00,77.00,20.00,19.00,1503.00,73.00,1619.00,14.00,512.00,32.00,

 10:25:38
Interval Count,28.00,0.00,24.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,
Total Counts,489.00,109.00,651.00,77.00,34.00,19.00,1503.00,73.00,1619.00,14.00,512.00,40.00,

 10:26:08
Interval Count,3.00,0.00,59.00,0.00,37.00,0.00,48.00,0.00,4.00,0.00,0.00,0.00,
Total Counts,492.00,109.00,710.00,77.00,71.00,19.00,1551.00,73.00,1623.00,14.00,512.00,40.00,

 10:26:38
Interval Count,25.00,0.00,35.00,0.00,0.00,0.00,46.00,0.00,103.00,0.00,0.00,0.00,
Total Counts,517.00,109.00,745.00,77.00,71.00,19.00,1597.00,73.00,1726.00,14.00,512.00,40.00,

 10:27:08
Interval Count,0.00,0.00,118.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,517.00,109.00,863.00,77.00,71.00,19.00,1652.00,73.00,1726.00,14.00,512.00,40.00,

 10:27:38
Interval Count,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
