,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 11:01:08
,     Stop Time: ~10/29/2017 12:01:08


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/29/2017 11:01:08
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 11:01:38
Interval Count,21.00,0.00,48.00,3.00,2.00,0.00,41.00,0.00,0.00,1.00,79.00,0.00,
Total Counts,21.00,0.00,48.00,4.00,2.00,0.00,41.00,0.00,0.00,1.00,79.00,0.00,

 11:02:08
Interval Count,20.00,1.00,43.00,2.00,0.00,10.00,0.00,0.00,42.00,0.00,1.00,4.00,
Total Counts,41.00,1.00,91.00,6.00,2.00,10.00,41.00,0.00,42.00,1.00,80.00,4.00,

 11:02:39
Interval Count,31.00,1.00,1.00,0.00,0.00,32.00,63.00,8.00,63.00,0.00,122.00,0.00,
Total Counts,72.00,2.00,92.00,6.00,2.00,42.00,104.00,8.00,105.00,1.00,202.00,4.00,

 11:03:09
Interval Count,27.00,2.00,35.00,0.00,0.00,0.00,65.00,0.00,0.00,6.00,74.00,9.00,
Total Counts,99.00,4.00,127.00,6.00,2.00,42.00,169.00,8.00,105.00,7.00,276.00,13.00,

 11:03:38
Interval Count,35.00,0.00,121.00,0.00,1.00,4.00,80.00,0.00,4.00,0.00,13.00,0.00,
Total Counts,134.00,4.00,248.00,6.00,3.00,46.00,249.00,8.00,109.00,7.00,289.00,13.00,

 11:04:08
Interval Count,29.00,4.00,41.00,0.00,3.00,0.00,65.00,4.00,0.00,1.00,46.00,1.00,
Total Counts,163.00,8.00,289.00,6.00,6.00,46.00,314.00,12.00,109.00,8.00,335.00,14.00,

 11:04:39
Interval Count,21.00,3.00,0.00,1.00,13.00,29.00,73.00,1.00,169.00,0.00,40.00,1.00,
Total Counts,184.00,11.00,289.00,7.00,19.00,75.00,387.00,13.00,278.00,8.00,375.00,15.00,

 11:05:09
Interval Count,40.00,0.00,54.00,1.00,94.00,0.00,68.00,0.00,136.00,0.00,87.00,0.00,
Total Counts,224.00,11.00,343.00,8.00,113.00,75.00,455.00,13.00,414.00,8.00,462.00,15.00,

 11:05:39
Interval Count,30.00,3.00,0.00,2.00,20.00,11.00,0.00,0.00,44.00,3.00,0.00,0.00,
Total Counts,254.00,14.00,343.00,10.00,133.00,86.00,455.00,13.00,458.00,11.00,462.00,15.00,

 11:06:09
Interval Count,21.00,13.00,0.00,0.00,15.00,0.00,160.00,0.00,153.00,0.00,42.00,4.00,
Total Counts,275.00,27.00,343.00,10.00,148.00,86.00,615.00,13.00,611.00,11.00,504.00,19.00,

 11:06:39
Interval Count,40.00,0.00,119.00,0.00,3.00,23.00,109.00,0.00,112.00,1.00,122.00,0.00,
Total Counts,315.00,27.00,462.00,10.00,151.00,109.00,724.00,13.00,723.00,12.00,626.00,19.00,

 11:07:09
Interval Count,18.00,1.00,1.00,0.00,0.00,0.00,105.00,3.00,91.00,0.00,56.00,5.00,
Total Counts,333.00,28.00,463.00,10.00,151.00,109.00,829.00,16.00,814.00,12.00,682.00,24.00,

 11:07:39
Interval Count,34.00,3.00,0.00,0.00,10.00,0.00,113.00,1.00,95.00,0.00,99.00,0.00,
Total Counts,367.00,31.00,463.00,10.00,161.00,109.00,942.00,17.00,909.00,12.00,781.00,24.00,

 11:08:09
Interval Count,59.00,0.00,5.00,0.00,1.00,4.00,161.00,11.00,106.00,0.00,133.00,0.00,
Total Counts,426.00,31.00,468.00,10.00,162.00,113.00,1103.00,28.00,1015.00,12.00,914.00,24.00,

 11:08:39
Interval Count,56.00,0.00,0.00,0.00,100.00,0.00,73.00,2.00,83.00,0.00,65.00,0.00,
Total Counts,482.00,31.00,468.00,10.00,262.00,113.00,1176.00,30.00,1098.00,12.00,979.00,24.00,

 11:09:09
Interval Count,11.00,0.00,0.00,0.00,0.00,0.00,10.00,2.00,22.00,0.00,0.00,1.00,
Total Counts,493.00,31.00,468.00,10.00,262.00,113.00,1186.00,32.00,1120.00,12.00,979.00,25.00,

 11:09:39
Interval Count,50.00,0.00,80.00,1.00,0.00,4.00,45.00,0.00,0.00,0.00,4.00,0.00,
Total Counts,543.00,31.00,548.00,11.00,262.00,117.00,1231.00,32.00,1120.00,12.00,983.00,25.00,

 11:10:09
Interval Count,32.00,0.00,0.00,6.00,0.00,0.00,116.00,0.00,3.00,1.00,122.00,1.00,
Total Counts,575.00,31.00,548.00,17.00,262.00,117.00,1347.00,32.00,1123.00,13.00,1105.00,26.00,

 11:10:39
Interval Count,36.00,3.00,38.00,0.00,0.00,1.00,130.00,0.00,110.00,0.00,64.00,0.00,
Total Counts,611.00,34.00,586.00,17.00,262.00,118.00,1477.00,32.00,1233.00,13.00,1169.00,26.00,

 11:11:09
Interval Count,37.00,0.00,71.00,0.00,60.00,0.00,49.00,6.00,23.00,0.00,0.00,0.00,
Total Counts,648.00,34.00,657.00,17.00,322.00,118.00,1526.00,38.00,1256.00,13.00,1169.00,26.00,

 11:11:39
Interval Count,14.00,0.00,44.00,0.00,80.00,0.00,95.00,2.00,180.00,0.00,0.00,0.00,
Total Counts,662.00,34.00,701.00,17.00,402.00,118.00,1621.00,40.00,1436.00,13.00,1169.00,26.00,

 11:12:09
Interval Count,59.00,1.00,78.00,0.00,57.00,3.00,49.00,1.00,178.00,0.00,123.00,0.00,
Total Counts,721.00,35.00,779.00,17.00,459.00,121.00,1670.00,41.00,1614.00,13.00,1292.00,26.00,

 11:12:39
Interval Count,28.00,58.00,7.00,0.00,2.00,0.00,0.00,0.00,136.00,0.00,34.00,0.00,
Total Counts,749.00,93.00,786.00,17.00,461.00,121.00,1670.00,41.00,1750.00,13.00,1326.00,26.00,

 11:13:09
Interval Count,57.00,1.00,16.00,0.00,0.00,5.00,74.00,1.00,31.00,0.00,65.00,0.00,
Total Counts,806.00,94.00,802.00,17.00,461.00,126.00,1744.00,42.00,1781.00,13.00,1391.00,26.00,

 11:13:39
Interval Count,155.00,0.00,110.00,1.00,5.00,0.00,103.00,2.00,101.00,0.00,48.00,9.00,
Total Counts,961.00,94.00,912.00,18.00,466.00,126.00,1847.00,44.00,1882.00,13.00,1439.00,35.00,

 11:14:09
Interval Count,68.00,0.00,0.00,1.00,0.00,0.00,108.00,0.00,62.00,4.00,53.00,0.00,
Total Counts,1029.00,94.00,912.00,19.00,466.00,126.00,1955.00,44.00,1944.00,17.00,1492.00,35.00,

 11:14:39
Interval Count,30.00,5.00,54.00,0.00,63.00,0.00,120.00,0.00,47.00,0.00,77.00,0.00,
Total Counts,1059.00,99.00,966.00,19.00,529.00,126.00,2075.00,44.00,1991.00,17.00,1569.00,35.00,

 11:15:09
Interval Count,39.00,0.00,114.00,0.00,0.00,0.00,0.00,8.00,17.00,0.00,14.00,0.00,
Total Counts,1098.00,99.00,1080.00,19.00,529.00,126.00,2075.00,52.00,2008.00,17.00,1583.00,35.00,

 11:15:39
Interval Count,52.00,2.00,56.00,21.00,0.00,0.00,97.00,0.00,0.00,1.00,38.00,0.00,
Total Counts,1150.00,101.00,1136.00,40.00,529.00,126.00,2172.00,52.00,2008.00,18.00,1621.00,35.00,

 11:16:09
Interval Count,28.00,0.00,199.00,0.00,0.00,0.00,91.00,0.00,0.00,0.00,87.00,1.00,
Total Counts,1178.00,101.00,1335.00,40.00,529.00,126.00,2263.00,52.00,2008.00,18.00,1708.00,36.00,

 11:16:39
Interval Count,11.00,0.00,193.00,0.00,1.00,0.00,89.00,0.00,6.00,0.00,6.00,0.00,
Total Counts,1189.00,101.00,1528.00,40.00,530.00,126.00,2352.00,52.00,2014.00,18.00,1714.00,36.00,

 11:17:09
Interval Count,34.00,2.00,126.00,0.00,70.00,0.00,70.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,1223.00,103.00,1654.00,40.00,600.00,126.00,2422.00,52.00,2014.00,19.00,1714.00,36.00,

 11:17:39
Interval Count,30.00,0.00,127.00,0.00,13.00,30.00,66.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1253.00,103.00,1781.00,40.00,613.00,156.00,2488.00,52.00,2014.00,19.00,1714.00,36.00,

 11:18:09
Interval Count,18.00,0.00,0.00,0.00,0.00,6.00,81.00,0.00,0.00,0.00,58.00,0.00,
Total Counts,1271.00,103.00,1781.00,40.00,613.00,162.00,2569.00,52.00,2014.00,19.00,1772.00,36.00,

 11:18:39
Interval Count,35.00,11.00,0.00,0.00,65.00,0.00,147.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1306.00,114.00,1781.00,40.00,678.00,162.00,2716.00,52.00,2014.00,19.00,1772.00,36.00,

 11:19:09
Interval Count,16.00,0.00,87.00,0.00,107.00,0.00,93.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1322.00,114.00,1868.00,40.00,785.00,162.00,2809.00,52.00,2014.00,19.00,1772.00,36.00,

 11:19:39
Interval Count,49.00,0.00,27.00,0.00,13.00,3.00,58.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,1371.00,114.00,1895.00,40.00,798.00,165.00,2867.00,52.00,2014.00,21.00,1772.00,36.00,

 11:20:09
Interval Count,35.00,0.00,1.00,0.00,26.00,70.00,11.00,0.00,0.00,64.00,115.00,0.00,
Total Counts,1406.00,114.00,1896.00,40.00,824.00,235.00,2878.00,52.00,2014.00,85.00,1887.00,36.00,

 11:20:39
Interval Count,12.00,0.00,5.00,0.00,13.00,0.00,49.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,1418.00,114.00,1901.00,40.00,837.00,235.00,2927.00,52.00,2014.00,87.00,1887.00,36.00,

 11:21:09
