,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2018 15:02:30
,     Stop Time: ~1/8/2018 16:02:30


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/8/2018 15:02:30
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 15:03:00
Interval Count,0.00,0.00,2.00,0.00,59.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,2.00,0.00,59.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,

 15:03:30
Interval Count,72.00,0.00,69.00,0.00,32.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,72.00,0.00,71.00,0.00,91.00,9.00,0.00,14.00,0.00,0.00,0.00,0.00,

 15:04:00
Interval Count,239.00,0.00,113.00,0.00,55.00,0.00,0.00,47.00,0.00,0.00,0.00,59.00,
Total Counts,311.00,0.00,184.00,0.00,146.00,9.00,0.00,61.00,0.00,0.00,0.00,59.00,

 15:04:30
Interval Count,221.00,0.00,109.00,2.00,10.00,0.00,2.00,0.00,0.00,115.00,0.00,171.00,
Total Counts,532.00,0.00,293.00,2.00,156.00,9.00,2.00,61.00,0.00,115.00,0.00,230.00,

 15:05:00
Interval Count,228.00,0.00,176.00,4.00,109.00,0.00,0.00,12.00,0.00,65.00,0.00,103.00,
Total Counts,760.00,0.00,469.00,6.00,265.00,9.00,2.00,73.00,0.00,180.00,0.00,333.00,

 15:05:30
Interval Count,142.00,1.00,225.00,0.00,88.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,
Total Counts,902.00,1.00,694.00,6.00,353.00,9.00,2.00,73.00,0.00,238.00,0.00,333.00,

 15:06:00
Interval Count,118.00,1.00,199.00,0.00,103.00,1.00,0.00,6.00,2.00,73.00,0.00,4.00,
Total Counts,1020.00,2.00,893.00,6.00,456.00,10.00,2.00,79.00,2.00,311.00,0.00,337.00,

 15:06:30
Interval Count,63.00,0.00,90.00,0.00,44.00,0.00,2.00,0.00,13.00,8.00,0.00,56.00,
Total Counts,1083.00,2.00,983.00,6.00,500.00,10.00,4.00,79.00,15.00,319.00,0.00,393.00,

 15:07:00
Interval Count,90.00,0.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,20.00,
Total Counts,1173.00,2.00,1128.00,6.00,500.00,10.00,4.00,79.00,15.00,371.00,0.00,413.00,

 15:07:31
Interval Count,1.00,0.00,1.00,0.00,83.00,0.00,0.00,0.00,0.00,45.00,0.00,123.00,
Total Counts,1174.00,2.00,1129.00,6.00,583.00,10.00,4.00,79.00,15.00,416.00,0.00,536.00,

 15:08:00
Interval Count,0.00,2.00,81.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,
Total Counts,1174.00,4.00,1210.00,8.00,583.00,10.00,4.00,80.00,16.00,416.00,0.00,536.00,

 15:08:30
Interval Count,51.00,0.00,141.00,0.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,1225.00,4.00,1351.00,8.00,594.00,10.00,4.00,80.00,16.00,417.00,0.00,536.00,

 15:09:00
Interval Count,148.00,0.00,119.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1373.00,4.00,1470.00,8.00,716.00,10.00,4.00,80.00,16.00,417.00,0.00,536.00,

 15:09:30
Interval Count,68.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,1441.00,4.00,1538.00,8.00,716.00,10.00,4.00,80.00,16.00,417.00,1.00,536.00,

 15:10:00
Interval Count,100.00,0.00,153.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,
Total Counts,1541.00,4.00,1691.00,8.00,756.00,10.00,4.00,80.00,16.00,417.00,1.00,602.00,

 15:10:30
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.00,
Total Counts,1541.00,4.00,1692.00,8.00,756.00,10.00,4.00,80.00,16.00,417.00,1.00,797.00,

 15:11:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,
Total Counts,1541.00,4.00,1692.00,8.00,756.00,10.00,4.00,80.00,16.00,417.00,1.00,809.00,

 15:11:30
Interval Count,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00,
Total Counts,1541.00,4.00,1787.00,8.00,756.00,10.00,4.00,80.00,16.00,417.00,1.00,961.00,

 15:12:00
Interval Count,52.00,0.00,32.00,2.00,11.00,0.00,0.00,102.00,0.00,0.00,0.00,134.00,
Total Counts,1593.00,4.00,1819.00,10.00,767.00,10.00,4.00,182.00,16.00,417.00,1.00,1095.00,

 15:12:30
Interval Count,179.00,0.00,111.00,0.00,95.00,13.00,0.00,66.00,0.00,138.00,0.00,0.00,
Total Counts,1772.00,4.00,1930.00,10.00,862.00,23.00,4.00,248.00,16.00,555.00,1.00,1095.00,

 15:13:00
Interval Count,0.00,19.00,80.00,0.00,16.00,0.00,1.00,0.00,0.00,122.00,0.00,0.00,
