,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 14:32:55
,     Stop Time: ~1/7/2018 15:32:55


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/7/2018 14:32:55
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 14:33:26
Interval Count,81.00,6.00,19.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,2.00,
Total Counts,81.00,6.00,19.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,2.00,

 14:33:55
Interval Count,3.00,1.00,19.00,0.00,66.00,0.00,0.00,16.00,0.00,45.00,0.00,4.00,
Total Counts,84.00,7.00,38.00,0.00,66.00,0.00,0.00,28.00,0.00,45.00,0.00,6.00,

 14:34:25
Interval Count,136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,39.00,3.00,157.00,
Total Counts,220.00,7.00,38.00,0.00,66.00,0.00,0.00,28.00,8.00,84.00,3.00,163.00,

 14:34:55
Interval Count,99.00,0.00,51.00,0.00,40.00,43.00,6.00,27.00,0.00,0.00,0.00,0.00,
Total Counts,319.00,7.00,89.00,0.00,106.00,43.00,6.00,55.00,8.00,84.00,3.00,163.00,

 14:35:26
Interval Count,0.00,0.00,100.00,0.00,54.00,0.00,5.00,26.00,0.00,0.00,0.00,164.00,
Total Counts,319.00,7.00,189.00,0.00,160.00,43.00,11.00,81.00,8.00,84.00,3.00,327.00,

 14:35:55
Interval Count,15.00,4.00,112.00,1.00,13.00,1.00,0.00,62.00,7.00,76.00,0.00,0.00,
Total Counts,334.00,11.00,301.00,1.00,173.00,44.00,11.00,143.00,15.00,160.00,3.00,327.00,

 14:36:25
Interval Count,162.00,0.00,157.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,1.00,82.00,
Total Counts,496.00,11.00,458.00,1.00,173.00,44.00,11.00,157.00,15.00,160.00,4.00,409.00,

 14:36:56
Interval Count,170.00,0.00,109.00,0.00,62.00,6.00,5.00,10.00,8.00,0.00,0.00,0.00,
Total Counts,666.00,11.00,567.00,1.00,235.00,50.00,16.00,167.00,23.00,160.00,4.00,409.00,

 14:37:26
Interval Count,120.00,0.00,109.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,
Total Counts,786.00,11.00,676.00,1.00,276.00,50.00,16.00,167.00,23.00,160.00,9.00,409.00,

 14:37:56
Interval Count,118.00,0.00,30.00,1.00,71.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,
Total Counts,904.00,11.00,706.00,2.00,347.00,50.00,16.00,224.00,23.00,160.00,9.00,409.00,

 14:38:25
Interval Count,0.00,0.00,51.00,0.00,32.00,0.00,2.00,23.00,0.00,0.00,0.00,0.00,
Total Counts,904.00,11.00,757.00,2.00,379.00,50.00,18.00,247.00,23.00,160.00,9.00,409.00,

 14:38:56
Interval Count,0.00,0.00,44.00,0.00,34.00,0.00,0.00,45.00,0.00,0.00,0.00,125.00,
Total Counts,904.00,11.00,801.00,2.00,413.00,50.00,18.00,292.00,23.00,160.00,9.00,534.00,

 14:39:26
Interval Count,0.00,0.00,1.00,0.00,13.00,0.00,7.00,31.00,0.00,0.00,0.00,63.00,
Total Counts,904.00,11.00,802.00,2.00,426.00,50.00,25.00,323.00,23.00,160.00,9.00,597.00,

 14:39:56
Interval Count,80.00,0.00,0.00,0.00,70.00,0.00,0.00,1.00,0.00,55.00,0.00,0.00,
Total Counts,984.00,11.00,802.00,2.00,496.00,50.00,25.00,324.00,23.00,215.00,9.00,597.00,

 14:40:26
Interval Count,205.00,0.00,34.00,0.00,36.00,0.00,1.00,46.00,0.00,188.00,0.00,148.00,
Total Counts,1189.00,11.00,836.00,2.00,532.00,50.00,26.00,370.00,23.00,403.00,9.00,745.00,

 14:40:56
Interval Count,1.00,0.00,78.00,0.00,71.00,0.00,0.00,0.00,7.00,32.00,0.00,89.00,
Total Counts,1190.00,11.00,914.00,2.00,603.00,50.00,26.00,370.00,30.00,435.00,9.00,834.00,

 14:41:26
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,176.00,0.00,27.00,
Total Counts,1190.00,11.00,914.00,2.00,603.00,50.00,26.00,461.00,30.00,611.00,9.00,861.00,

 14:41:56
Interval Count,0.00,0.00,155.00,0.00,58.00,0.00,0.00,36.00,1.00,0.00,0.00,0.00,
Total Counts,1190.00,11.00,1069.00,2.00,661.00,50.00,26.00,497.00,31.00,611.00,9.00,861.00,

 14:42:26
Interval Count,203.00,0.00,166.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,
Total Counts,1393.00,11.00,1235.00,2.00,661.00,50.00,26.00,547.00,31.00,611.00,9.00,861.00,

 14:42:56
Interval Count,45.00,0.00,3.00,0.00,12.00,0.00,0.00,31.00,0.00,0.00,0.00,62.00,
Total Counts,1438.00,11.00,1238.00,2.00,673.00,50.00,26.00,578.00,31.00,611.00,9.00,923.00,

 14:43:26
Interval Count,190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.00,0.00,0.00,
Total Counts,1628.00,11.00,1238.00,2.00,673.00,50.00,26.00,578.00,31.00,742.00,9.00,923.00,

 14:43:56
