,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/22/2017 12:27:23,,,,,,,,,,,
,     Stop Time: ~10/22/2017 13:27:23,,,,,,,,,,,


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi8_H, Vi8_S, Vi7_H, Vi7_S, Di5_H, Di5_S, Di6_H, Di6_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat


Interval Count,0,20,0,74,0,0,0,50,0,0,0,0
Total Counts,11,1532,51,1498,66,218,29,1612,30,589,41,1640

 12:41:24,,,,,,,,,,,,
Interval Count,0,17,5,85,0,0,0,0,0,0,0,17
Total Counts,11,1549,56,1583,66,218,29,1612,30,589,41,1657

 12:41:54,,,,,,,,,,,,
Interval Count,0,85,0,84,0,10,1,1,0,0,0,40
Total Counts,11,1634,56,1667,66,228,30,1613,30,589,41,1697

 12:42:24,,,,,,,,,,,,
Interval Count,0,21,0,79,1,0,0,7,0,0,0,0
Total Counts,11,1655,56,1746,67,228,30,1620,30,589,41,1697

 12:42:54,,,,,,,,,,,,
Interval Count,0,11,0,16,0,0,0,97,0,0,0,1
Total Counts,11,1666,56,1762,67,228,30,1717,30,589,41,1698

 12:43:24,,,,,,,,,,,,
Interval Count,1,31,0,0,0,0,1,0,0,0,0,0
Total Counts,12,1697,56,1762,67,228,31,1717,30,589,41,1698

 12:43:54,,,,,,,,,,,,
Interval Count,1,19,1,105,2,0,0,0,0,65,0,0
Total Counts,13,1716,57,1867,69,228,31,1717,30,654,41,1698

 12:44:24,,,,,,,,,,,,
Interval Count,0,0,0,190,0,0,0,0,0,0,0,78
Total Counts,13,1716,57,2057,69,228,31,1717,30,654,41,1776

 12:44:54,,,,,,,,,,,,
Interval Count,0,28,3,26,0,0,0,0,0,3,0,34
Total Counts,13,1744,60,2083,69,228,31,1717,30,657,41,1810

 12:45:24,,,,,,,,,,,,
Interval Count,0,36,0,134,0,121,0,0,0,0,0,0
Total Counts,13,1780,60,2217,69,349,31,1717,30,657,41,1810

 12:45:54,,,,,,,,,,,,
Interval Count,0,12,0,0,0,175,0,0,0,0,0,0
Total Counts,13,1792,60,2217,69,524,31,1717,30,657,41,1810

 12:46:24,,,,,,,,,,,,
Interval Count,0,48,0,64,0,81,0,0,0,0,0,40
Total Counts,13,1840,60,2281,69,605,31,1717,30,657,41,1850

 12:46:54,,,,,,,,,,,,
Interval Count,0,0,0,52,0,97,0,0,0,10,0,64
Total Counts,13,1840,60,2333,69,702,31,1717,30,667,41,1914

 12:47:24,,,,,,,,,,,,
Interval Count,0,0,1,36,0,198,0,0,0,0,0,11
Total Counts,13,1840,61,2369,69,900,31,1717,30,667,41,1925

 12:47:54,,,,,,,,,,,,
Interval Count,0,0,0,0,0,193,0,0,0,44,0,58
Total Counts,13,1840,61,2369,69,1093,31,1717,30,711,41,1983

 12:48:24,,,,,,,,,,,,
Interval Count,4,46,0,0,0,12,0,12,0,11,0,24
Total Counts,17,1886,61,2369,69,1105,31,1729,30,722,41,2007

 12:48:54,,,,,,,,,,,,
Interval Count,0,17,0,0,0,0,0,5,0,0,0,49
Total Counts,17,1903,61,2369,69,1105,31,1734,30,722,41,2056

 12:49:24,,,,,,,,,,,,
Interval Count,0,0,0,6,2,0,0,0,0,0,0,38
Total Counts,17,1903,61,2375,71,1105,31,1734,30,722,41,2094

 12:49:54,,,,,,,,,,,,
Interval Count,0,27,0,162,0,0,0,0,2,25,0,42
Total Counts,17,1930,61,2537,71,1105,31,1734,32,747,41,2136

 12:50:24,,,,,,,,,,,,
Interval Count,0,24,0,83,0,0,0,0,0,15,0,50
Total Counts,17,1954,61,2620,71,1105,31,1734,32,762,41,2186

 12:50:54,,,,,,,,,,,,
Interval Count,0,14,0,83,0,0,0,0,0,6,4,92
Total Counts,17,1968,61,2703,71,1105,31,1734,32,768,45,2278

 12:51:24,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,17,1968,61,2703,71,1105,31,1734,32,768,45,2278

 12:51:54,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,46,0,0,41,0,82
Total Counts,17,1968,61,2703,71,1105,77,1734,32,809,45,2360

 12:52:24,,,,,,,,,,,,
Interval Count,0,4,1,15,0,0,14,0,0,0,0,70
Total Counts,17,1972,62,2718,71,1105,91,1734,32,809,45,2430

 12:52:54,,,,,,,,,,,,
Interval Count,0,109,0,99,0,0,0,0,0,0,0,31
Total Counts,17,2081,62,2817,71,1105,91,1734,32,809,45,2461

 12:53:24,,,,,,,,,,,,
Interval Count,0,23,0,0,0,0,0,0,0,3,0,45
Total Counts,17,2104,62,2817,71,1105,91,1734,32,812,45,2506

 12:53:54,,,,,,,,,,,,
Interval Count,0,0,0,28,0,0,0,0,0,0,9,1
Total Counts,17,2104,62,2845,71,1105,91,1734,32,812,54,2507

 12:54:24,,,,,,,,,,,,
