,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/22/2017 13:50:33
,     Stop Time: ~10/22/2017 14:50:33


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,194.00,1.00,162.00,1.00,110.00,140.00,131.00,0.00,34.00,0.00,139.00,
Total Counts,7.00,3284.00,57.00,1139.00,22.00,1089.00,212.00,1070.00,7.00,570.00,3.00,2851.00,

 14:02:33
Interval Count,0.00,138.00,0.00,181.00,0.00,0.00,0.00,0.00,4.00,98.00,0.00,164.00,
Total Counts,7.00,3422.00,57.00,1320.00,22.00,1089.00,212.00,1070.00,11.00,668.00,3.00,3015.00,

 14:03:03
Interval Count,0.00,136.00,0.00,194.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,95.00,
Total Counts,7.00,3558.00,57.00,1514.00,22.00,1089.00,215.00,1070.00,11.00,668.00,3.00,3110.00,

 14:03:33
Interval Count,0.00,155.00,0.00,11.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00,70.00,
Total Counts,7.00,3713.00,57.00,1525.00,25.00,1095.00,216.00,1070.00,11.00,668.00,3.00,3180.00,

 14:04:03
Interval Count,0.00,111.00,4.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,
Total Counts,7.00,3824.00,61.00,1536.00,25.00,1095.00,216.00,1070.00,11.00,668.00,3.00,3226.00,

 14:04:33
Interval Count,2.00,39.00,0.00,176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,
Total Counts,9.00,3863.00,61.00,1712.00,25.00,1095.00,216.00,1070.00,11.00,668.00,3.00,3292.00,

 14:05:03
Interval Count,0.00,50.00,1.00,107.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,37.00,
Total Counts,9.00,3913.00,62.00,1819.00,25.00,1109.00,216.00,1070.00,11.00,668.00,3.00,3329.00,

 14:05:33
Interval Count,0.00,49.00,0.00,5.00,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,3962.00,62.00,1824.00,25.00,1198.00,216.00,1070.00,11.00,668.00,3.00,3329.00,

 14:06:03
Interval Count,0.00,47.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,9.00,4009.00,63.00,1824.00,25.00,1198.00,216.00,1070.00,11.00,668.00,3.00,3329.00,

 14:06:33
Interval Count,3.00,114.00,14.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00,
Total Counts,12.00,4123.00,77.00,1870.00,25.00,1198.00,216.00,1070.00,11.00,668.00,3.00,3403.00,

 14:07:03
Interval Count,0.00,173.00,0.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,
Total Counts,12.00,4296.00,77.00,1978.00,25.00,1198.00,216.00,1070.00,11.00,668.00,3.00,3425.00,

 14:07:33
Interval Count,0.00,187.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,
Total Counts,12.00,4483.00,78.00,1981.00,25.00,1198.00,216.00,1070.00,11.00,668.00,3.00,3468.00,

 14:08:03
Interval Count,0.00,209.00,0.00,54.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,31.00,
Total Counts,12.00,4692.00,78.00,2035.00,25.00,1198.00,216.00,1070.00,12.00,668.00,3.00,3499.00,

 14:08:33
Interval Count,0.00,80.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,81.00,0.00,29.00,
Total Counts,12.00,4772.00,78.00,2045.00,25.00,1198.00,216.00,1070.00,12.00,749.00,3.00,3528.00,

 14:09:03
Interval Count,0.00,25.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,76.00,
Total Counts,12.00,4797.00,78.00,2060.00,25.00,1198.00,216.00,1070.00,12.00,821.00,3.00,3604.00,

 14:09:33
Interval Count,1.00,0.00,4.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,4797.00,82.00,2189.00,25.00,1198.00,216.00,1070.00,12.00,821.00,3.00,3604.00,

 14:10:03
Interval Count,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,4797.00,82.00,2242.00,25.00,1198.00,216.00,1070.00,12.00,821.00,3.00,3604.00,

 14:10:33
Interval Count,0.00,57.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,4854.00,82.00,2282.00,25.00,1198.00,216.00,1070.00,12.00,821.00,3.00,3604.00,

 14:11:03
Interval Count,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,4913.00,82.00,2282.00,25.00,1198.00,216.00,1070.00,12.00,821.00,3.00,3604.00,

 14:11:33
Interval Count,0.00,81.00,0.00,40.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,4994.00,82.00,2322.00,25.00,1198.00,223.00,1070.00,12.00,821.00,3.00,3604.00,

 14:12:03
Interval Count,0.00,0.00,0.00,218.00,3.00,0.00,4.00,108.00,0.00,41.00,0.00,0.00,
Total Counts,13.00,4994.00,82.00,2540.00,28.00,1198.00,227.00,1178.00,12.00,862.00,3.00,3604.00,

 14:12:33
Interval Count,0.00,0.00,0.00,206.00,0.00,112.00,0.00,209.00,0.00,116.00,0.00,0.00,
Total Counts,13.00,4994.00,82.00,2746.00,28.00,1310.00,227.00,1387.00,12.00,978.00,3.00,3604.00,

 14:13:04
Interval Count,0.00,69.00,1.00,50.00,1.00,14.00,0.00,198.00,0.00,0.00,1.00,0.00,
Total Counts,13.00,5063.00,83.00,2796.00,29.00,1324.00,227.00,1585.00,12.00,978.00,4.00,3604.00,

 14:13:34
Interval Count,0.00,78.00,7.00,13.00,6.00,0.00,0.00,188.00,1.00,0.00,0.00,81.00,
Total Counts,13.00,5141.00,90.00,2809.00,35.00,1324.00,227.00,1773.00,13.00,978.00,4.00,3685.00,

 14:14:03
Interval Count,0.00,69.00,2.00,14.00,1.00,0.00,0.00,101.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,5210.00,92.00,2823.00,36.00,1324.00,227.00,1874.00,13.00,978.00,4.00,3685.00,

 14:14:33
Interval Count,0.00,73.00,0.00,7.00,0.00,0.00,13.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,5283.00,92.00,2830.00,36.00,1324.00,240.00,1878.00,13.00,978.00,4.00,3685.00,

 14:15:04
Interval Count,0.00,204.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,5487.00,93.00,2830.00,36.00,1324.00,240.00,1878.00,13.00,978.00,4.00,3685.00,

 14:15:34
Interval Count,0.00,27.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,5514.00,94.00,2830.00,36.00,1324.00,240.00,1878.00,13.00,978.00,4.00,3685.00,

 14:16:03
Interval Count,0.00,47.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,5561.00,98.00,2830.00,37.00,1324.00,240.00,1878.00,13.00,978.00,4.00,3685.00,

 14:16:33
Interval Count,0.00,141.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,13.00,5702.00,98.00,2841.00,37.00,1324.00,240.00,1878.00,13.00,978.00,4.00,3685.00,

 14:17:04
Interval Count,0.00,28.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,
Total Counts,13.00,5730.00,98.00,2906.00,37.00,1324.00,240.00,1878.00,13.00,978.00,4.00,3785.00,

 14:17:34
Interval Count,1.00,13.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241.00,
Total Counts,14.00,5743.00,98.00,2931.00,37.00,1324.00,240.00,1878.00,13.00,978.00,4.00,4026.00,

 14:18:04
Interval Count,2.00,23.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00,
Total Counts,16.00,5766.00,101.00,2931.00,37.00,1324.00,240.00,1878.00,13.00,978.00,4.00,4265.00,

 14:18:34
Interval Count,0.00,52.00,32.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,
Total Counts,16.00,5818.00,133.00,2952.00,37.00,1324.00,240.00,1878.00,13.00,978.00,4.00,4505.00,

 14:19:04
Interval Count,0.00,31.00,80.00,4.00,4.00,0.00,0.00,0.00,0.00,87.00,0.00,240.00,
Total Counts,16.00,5849.00,213.00,2956.00,41.00,1324.00,240.00,1878.00,13.00,1065.00,4.00,4745.00,

 14:19:34
Interval Count,0.00,171.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,241.00,
Total Counts,16.00,6020.00,213.00,2956.00,41.00,1346.00,240.00,1878.00,13.00,1065.00,4.00,4986.00,

 14:20:04
Interval Count,0.00,187.00,0.00,28.00,0.00,193.00,0.00,0.00,0.00,0.00,1.00,240.00,
Total Counts,16.00,6207.00,213.00,2984.00,41.00,1539.00,240.00,1878.00,13.00,1065.00,5.00,5226.00,

 14:20:34
Interval Count,0.00,169.00,0.00,215.00,0.00,195.00,23.00,0.00,0.00,0.00,0.00,239.00,
Total Counts,16.00,6376.00,213.00,3199.00,41.00,1734.00,263.00,1878.00,13.00,1065.00,5.00,5465.00,

 14:21:04
Interval Count,0.00,68.00,0.00,111.00,0.00,195.00,0.00,0.00,0.00,0.00,0.00,197.00,
Total Counts,16.00,6444.00,213.00,3310.00,41.00,1929.00,263.00,1878.00,13.00,1065.00,5.00,5662.00,

 14:21:34
Interval Count,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6444.00,213.00,3310.00,41.00,1949.00,263.00,1878.00,13.00,1065.00,5.00,5662.00,

 14:22:04
Interval Count,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,16.00,6444.00,213.00,3310.00,68.00,1949.00,263.00,1878.00,14.00,1065.00,5.00,5662.00,

 14:22:34
Interval Count,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6444.00,213.00,3310.00,73.00,1949.00,263.00,1878.00,14.00,1065.00,5.00,5662.00,

 14:23:04
Interval Count,0.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,16.00,6444.00,216.00,3314.00,73.00,1949.00,263.00,1878.00,14.00,1067.00,5.00,5662.00,

 14:23:34
Interval Count,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6444.00,216.00,3338.00,73.00,1949.00,263.00,1878.00,14.00,1067.00,5.00,5662.00,

 14:24:04
Interval Count,0.00,0.00,1.00,8.00,0.00,66.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6444.00,217.00,3346.00,73.00,2015.00,264.00,1878.00,14.00,1067.00,5.00,5662.00,

 14:24:34
Interval Count,0.00,31.00,0.00,0.00,0.00,113.00,0.00,0.00,1.00,8.00,0.00,0.00,
Total Counts,16.00,6475.00,217.00,3346.00,73.00,2128.00,264.00,1878.00,15.00,1075.00,5.00,5662.00,

 14:25:04
Interval Count,0.00,13.00,0.00,3.00,0.00,62.00,0.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6488.00,217.00,3349.00,73.00,2190.00,264.00,1881.00,15.00,1075.00,5.00,5662.00,

 14:25:34
Interval Count,0.00,0.00,0.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6488.00,217.00,3354.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,5.00,5662.00,

 14:26:04
Interval Count,0.00,0.00,3.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,23.00,
Total Counts,16.00,6488.00,220.00,3371.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,5685.00,

 14:26:34
Interval Count,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00,
Total Counts,16.00,6488.00,220.00,3387.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,5842.00,

 14:27:04
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6488.00,221.00,3387.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,5842.00,

 14:27:34
Interval Count,0.00,6.00,0.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,6494.00,221.00,3493.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,5842.00,

 14:28:04
Interval Count,0.00,0.00,10.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,
Total Counts,16.00,6494.00,231.00,3507.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,5907.00,

 14:28:34
Interval Count,0.00,0.00,16.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,
Total Counts,16.00,6494.00,247.00,3518.00,83.00,2190.00,264.00,1881.00,15.00,1075.00,7.00,6008.00,

 14:29:04
