,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 21:36:02
,     Stop Time: ~1/8/2006 22:36:02


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,0.00,0.00,0.00,49.00,0.00,0.00,83.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1641.00,90.00,1407.00,6.00,1837.00,1847.00,15.00,0.00,0.00,0.00,0.00,

 21:48:03
Interval Count,0.00,0.00,1.00,57.00,1.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1641.00,91.00,1464.00,7.00,1837.00,1951.00,15.00,0.00,0.00,0.00,0.00,

 21:48:33
Interval Count,0.00,0.00,0.00,57.00,1.00,187.00,118.00,26.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1641.00,91.00,1521.00,8.00,2024.00,2069.00,41.00,0.00,0.00,0.00,0.00,

 21:49:03
Interval Count,0.00,146.00,0.00,0.00,0.00,93.00,38.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1787.00,91.00,1521.00,8.00,2117.00,2107.00,41.00,0.00,0.00,0.00,0.00,

 21:49:33
Interval Count,0.00,120.00,0.00,125.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,1907.00,91.00,1646.00,8.00,2117.00,2131.00,41.00,0.00,0.00,0.00,0.00,

 21:50:03
Interval Count,0.00,186.00,5.00,0.00,0.00,3.00,34.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2093.00,96.00,1646.00,8.00,2120.00,2165.00,41.00,0.00,0.00,0.00,0.00,

 21:50:33
Interval Count,0.00,152.00,0.00,10.00,0.00,25.00,10.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2245.00,96.00,1656.00,8.00,2145.00,2175.00,41.00,0.00,0.00,0.00,0.00,

 21:51:03
Interval Count,0.00,134.00,0.00,70.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2379.00,96.00,1726.00,8.00,2145.00,2229.00,41.00,0.00,0.00,0.00,0.00,

 21:51:33
Interval Count,0.00,97.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2476.00,96.00,1781.00,8.00,2145.00,2229.00,41.00,0.00,0.00,0.00,0.00,

 21:52:03
Interval Count,0.00,12.00,14.00,64.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2488.00,110.00,1845.00,8.00,2145.00,2328.00,41.00,0.00,0.00,0.00,0.00,

 21:52:33
Interval Count,0.00,48.00,0.00,106.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,110.00,1951.00,8.00,2145.00,2366.00,41.00,0.00,0.00,0.00,0.00,

 21:53:03
Interval Count,0.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,110.00,2044.00,8.00,2145.00,2366.00,41.00,0.00,0.00,0.00,0.00,

 21:53:33
Interval Count,0.00,0.00,2.00,118.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,112.00,2162.00,8.00,2145.00,2465.00,41.00,0.00,0.00,0.00,0.00,

 21:54:03
Interval Count,0.00,0.00,0.00,8.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,112.00,2170.00,8.00,2145.00,2490.00,41.00,0.00,0.00,0.00,0.00,

 21:54:33
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,2536.00,112.00,2172.00,8.00,2145.00,2592.00,41.00,0.00,0.00,0.00,0.00,

 21:55:03
Interval Count,0.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
