,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2006 17:02:06
,     Stop Time: ~1/7/2006 18:02:06


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq1_H, Dq1_S, Dq2_H, Dq2_S, Dq3_H, Dq3_S, Dq4_S, Dq4_H, Dq5_S, Dq5_H, Dq6_S, Dq6_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/7/2006 17:02:06
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,

 17:02:36
Interval Count,0.00,139.00,0.00,23.00,0.00,8.00,104.00,1.00,6.00,9.00,2.00,0.00,
Total Counts,0.00,139.00,0.00,23.00,0.00,8.00,107.00,1.00,6.00,9.00,2.00,0.00,

 17:03:06
Interval Count,0.00,15.00,0.00,180.00,0.00,0.00,27.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,154.00,0.00,203.00,0.00,8.00,134.00,2.00,6.00,9.00,2.00,0.00,

 17:03:36
Interval Count,0.00,213.00,6.00,0.00,0.00,52.00,106.00,0.00,0.00,0.00,4.00,0.00,
Total Counts,0.00,367.00,6.00,203.00,0.00,60.00,240.00,2.00,6.00,9.00,6.00,0.00,

 17:04:06
Interval Count,0.00,193.00,0.00,87.00,25.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,560.00,6.00,290.00,25.00,60.00,240.00,4.00,6.00,9.00,6.00,0.00,

 17:04:36
Interval Count,0.00,50.00,0.00,75.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,610.00,6.00,365.00,25.00,61.00,240.00,4.00,6.00,9.00,6.00,0.00,

 17:05:06
Interval Count,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,
Total Counts,34.00,610.00,6.00,365.00,25.00,61.00,240.00,4.00,6.00,9.00,6.00,10.00,

 17:05:36
Interval Count,0.00,142.00,4.00,0.00,0.00,0.00,2.00,3.00,116.00,0.00,0.00,0.00,
Total Counts,34.00,752.00,10.00,365.00,25.00,61.00,242.00,7.00,122.00,9.00,6.00,10.00,

 17:06:06
Interval Count,0.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,0.00,0.00,0.00,
Total Counts,34.00,834.00,10.00,365.00,25.00,61.00,242.00,7.00,311.00,9.00,6.00,10.00,

 17:06:36
Interval Count,6.00,65.00,0.00,0.00,0.00,0.00,0.00,2.00,140.00,0.00,4.00,0.00,
Total Counts,40.00,899.00,10.00,365.00,25.00,61.00,242.00,9.00,451.00,9.00,10.00,10.00,

 17:07:06
Interval Count,0.00,179.00,0.00,59.00,0.00,0.00,0.00,0.00,177.00,0.00,1.00,0.00,
Total Counts,40.00,1078.00,10.00,424.00,25.00,61.00,242.00,9.00,628.00,9.00,11.00,10.00,

 17:07:36
Interval Count,0.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,
Total Counts,40.00,1078.00,10.00,517.00,25.00,61.00,242.00,9.00,680.00,9.00,11.00,10.00,

 17:08:06
Interval Count,2.00,93.00,0.00,12.00,2.00,0.00,210.00,0.00,125.00,0.00,0.00,0.00,
Total Counts,42.00,1171.00,10.00,529.00,27.00,61.00,452.00,9.00,805.00,9.00,11.00,10.00,

 17:08:36
Interval Count,0.00,90.00,0.00,38.00,1.00,0.00,240.00,0.00,171.00,0.00,0.00,0.00,
Total Counts,42.00,1261.00,10.00,567.00,28.00,61.00,692.00,9.00,976.00,9.00,11.00,10.00,

 17:09:06
Interval Count,1.00,0.00,0.00,124.00,0.00,0.00,240.00,0.00,77.00,61.00,0.00,0.00,
Total Counts,43.00,1261.00,10.00,691.00,28.00,61.00,932.00,9.00,1053.00,70.00,11.00,10.00,

 17:09:36
Interval Count,0.00,163.00,0.00,33.00,0.00,0.00,128.00,0.00,71.00,0.00,0.00,0.00,
Total Counts,43.00,1424.00,10.00,724.00,28.00,61.00,1060.00,9.00,1124.00,70.00,11.00,10.00,

 17:10:06
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,3.00,
Total Counts,43.00,1425.00,10.00,724.00,28.00,61.00,1060.00,9.00,1147.00,70.00,11.00,13.00,

 17:10:36
Interval Count,0.00,154.00,0.00,108.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,0.00,
Total Counts,43.00,1579.00,10.00,832.00,28.00,61.00,1060.00,9.00,1190.00,70.00,11.00,13.00,

 17:11:06
Interval Count,0.00,0.00,0.00,194.00,0.00,0.00,0.00,0.00,42.00,1.00,0.00,0.00,
Total Counts,43.00,1579.00,10.00,1026.00,28.00,61.00,1060.00,9.00,1232.00,71.00,11.00,13.00,

 17:11:36
Interval Count,0.00,70.00,25.00,0.00,0.00,0.00,0.00,40.00,0.00,1.00,3.00,0.00,
Total Counts,43.00,1649.00,35.00,1026.00,28.00,61.00,1060.00,49.00,1232.00,72.00,14.00,13.00,

 17:12:06
Interval Count,0.00,104.00,6.00,183.00,0.00,0.00,146.00,0.00,60.00,0.00,0.00,0.00,
Total Counts,43.00,1753.00,41.00,1209.00,28.00,61.00,1206.00,49.00,1292.00,72.00,14.00,13.00,

 17:12:36
Interval Count,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,
Total Counts,43.00,1831.00,41.00,1209.00,28.00,61.00,1206.00,49.00,1387.00,72.00,14.00,13.00,

 17:13:06
Interval Count,0.00,0.00,1.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,43.00,1831.00,42.00,1353.00,28.00,61.00,1206.00,49.00,1387.00,72.00,14.00,13.00,

 17:13:36
Interval Count,0.00,103.00,0.00,0.00,0.00,0.00,0.00,0.00,102.00,0.00,0.00,0.00,
Total Counts,43.00,1934.00,42.00,1353.00,28.00,61.00,1206.00,49.00,1489.00,72.00,14.00,13.00,

 17:14:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,43.00,1934.00,42.00,1353.00,28.00,61.00,1206.00,49.00,1489.00,72.00,14.00,13.00,

 17:14:36
Interval Count,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
