,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/22/2017 11:02:17
,     Stop Time: ~10/22/2017 12:02:17


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/22/2017 11:02:17
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,

 11:02:47
Interval Count,15.00,6.00,30.00,0.00,6.00,3.00,65.00,0.00,5.00,0.00,0.00,0.00,
Total Counts,15.00,6.00,30.00,0.00,6.00,3.00,67.00,0.00,5.00,0.00,0.00,0.00,

 11:03:17
Interval Count,0.00,0.00,18.00,0.00,0.00,0.00,71.00,7.00,20.00,0.00,0.00,0.00,
Total Counts,15.00,6.00,48.00,0.00,6.00,3.00,138.00,7.00,25.00,0.00,0.00,0.00,

 11:03:47
Interval Count,35.00,2.00,0.00,0.00,0.00,0.00,13.00,1.00,22.00,0.00,0.00,1.00,
Total Counts,50.00,8.00,48.00,0.00,6.00,3.00,151.00,8.00,47.00,0.00,0.00,1.00,

 11:04:17
Interval Count,0.00,0.00,17.00,7.00,0.00,0.00,80.00,0.00,45.00,8.00,0.00,0.00,
Total Counts,50.00,8.00,65.00,7.00,6.00,3.00,231.00,8.00,92.00,8.00,0.00,1.00,

 11:04:47
Interval Count,19.00,0.00,44.00,0.00,0.00,0.00,52.00,1.00,69.00,0.00,0.00,0.00,
Total Counts,69.00,8.00,109.00,7.00,6.00,3.00,283.00,9.00,161.00,8.00,0.00,1.00,

 11:05:17
Interval Count,15.00,3.00,52.00,0.00,0.00,0.00,99.00,0.00,26.00,0.00,95.00,0.00,
Total Counts,84.00,11.00,161.00,7.00,6.00,3.00,382.00,9.00,187.00,8.00,95.00,1.00,

 11:05:48
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,3.00,51.00,0.00,
Total Counts,84.00,11.00,161.00,7.00,6.00,3.00,457.00,9.00,187.00,11.00,146.00,1.00,

 11:06:18
Interval Count,0.00,0.00,104.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,150.00,0.00,
Total Counts,84.00,11.00,265.00,7.00,8.00,3.00,457.00,10.00,187.00,11.00,296.00,1.00,

 11:06:47
Interval Count,0.00,0.00,12.00,0.00,1.00,13.00,94.00,0.00,99.00,0.00,0.00,0.00,
Total Counts,84.00,11.00,277.00,7.00,9.00,16.00,551.00,10.00,286.00,11.00,296.00,1.00,

 11:07:17
Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,84.00,11.00,277.00,10.00,9.00,16.00,551.00,10.00,286.00,11.00,296.00,1.00,

 11:07:48
Interval Count,0.00,0.00,24.00,0.00,0.00,0.00,22.00,9.00,0.00,0.00,0.00,0.00,
Total Counts,84.00,11.00,301.00,10.00,9.00,16.00,573.00,19.00,286.00,11.00,296.00,1.00,

 11:08:18
Interval Count,0.00,0.00,155.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,84.00,11.00,456.00,10.00,9.00,16.00,613.00,19.00,286.00,11.00,296.00,1.00,

 11:08:48
Interval Count,0.00,3.00,29.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,84.00,14.00,485.00,10.00,9.00,16.00,691.00,19.00,286.00,11.00,296.00,1.00,

 11:09:17
Interval Count,0.00,0.00,13.00,4.00,0.00,0.00,93.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,84.00,14.00,498.00,14.00,9.00,16.00,784.00,19.00,287.00,11.00,296.00,1.00,

 11:09:48
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,97.00,1.00,89.00,0.00,10.00,0.00,
Total Counts,84.00,14.00,500.00,14.00,9.00,16.00,881.00,20.00,376.00,11.00,306.00,1.00,

 11:10:18
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,6.00,0.00,0.00,0.00,
Total Counts,84.00,14.00,500.00,14.00,9.00,16.00,888.00,20.00,382.00,11.00,306.00,1.00,

 11:10:48
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,84.00,14.00,500.00,14.00,9.00,16.00,955.00,20.00,382.00,12.00,306.00,1.00,

 11:11:18
Interval Count,42.00,0.00,61.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,126.00,14.00,561.00,14.00,10.00,16.00,955.00,20.00,382.00,12.00,306.00,1.00,

 11:11:48
Interval Count,10.00,11.00,0.00,0.00,0.00,0.00,136.00,0.00,5.00,0.00,0.00,0.00,
Total Counts,136.00,25.00,561.00,14.00,10.00,16.00,1091.00,20.00,387.00,12.00,306.00,1.00,

 11:12:18
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,1.00,0.00,
Total Counts,136.00,25.00,561.00,14.00,10.00,16.00,1091.00,20.00,401.00,12.00,307.00,1.00,

 11:12:48
Interval Count,0.00,0.00,148.00,0.00,0.00,0.00,107.00,0.00,172.00,0.00,0.00,0.00,
Total Counts,136.00,25.00,709.00,14.00,10.00,16.00,1198.00,20.00,573.00,12.00,307.00,1.00,

 11:13:18
Interval Count,0.00,0.00,29.00,0.00,0.00,0.00,27.00,0.00,21.00,0.00,0.00,0.00,
Total Counts,136.00,25.00,738.00,14.00,10.00,16.00,1225.00,20.00,594.00,12.00,307.00,1.00,

 11:13:48
Interval Count,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,136.00,25.00,738.00,14.00,10.00,33.00,1225.00,20.00,594.00,12.00,307.00,1.00,

 11:14:18
Interval Count,0.00,0.00,8.00,0.00,0.00,1.00,59.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,136.00,25.00,746.00,14.00,10.00,34.00,1284.00,20.00,594.00,12.00,307.00,1.00,

 11:14:48
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,3.00,0.00,0.00,0.00,
Total Counts,136.00,25.00,746.00,14.00,10.00,34.00,1294.00,20.00,597.00,12.00,307.00,1.00,

 11:15:18
Interval Count,0.00,6.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,
Total Counts,136.00,31.00,746.00,14.00,10.00,36.00,1294.00,20.00,599.00,12.00,307.00,1.00,

 11:15:48
Interval Count,59.00,10.00,0.00,0.00,2.00,0.00,0.00,3.00,1.00,0.00,3.00,0.00,
Total Counts,195.00,41.00,746.00,14.00,12.00,36.00,1294.00,23.00,600.00,12.00,310.00,1.00,

 11:16:18
Interval Count,18.00,1.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,
Total Counts,213.00,42.00,834.00,14.00,12.00,36.00,1294.00,23.00,600.00,13.00,312.00,2.00,

 11:16:48
Interval Count,0.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,213.00,42.00,936.00,14.00,12.00,36.00,1294.00,23.00,600.00,13.00,312.00,2.00,

 11:17:18
Interval Count,0.00,0.00,5.00,0.00,0.00,0.00,32.00,0.00,140.00,0.00,0.00,0.00,
Total Counts,213.00,42.00,941.00,14.00,12.00,36.00,1326.00,23.00,740.00,13.00,312.00,2.00,

 11:17:48
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,
Total Counts,213.00,42.00,941.00,14.00,12.00,36.00,1326.00,23.00,932.00,13.00,312.00,2.00,

 11:18:18
Interval Count,0.00,0.00,1.00,3.00,0.00,0.00,6.00,0.00,190.00,0.00,0.00,0.00,
Total Counts,213.00,42.00,942.00,17.00,12.00,36.00,1332.00,23.00,1122.00,13.00,312.00,2.00,

 11:18:48
Interval Count,0.00,0.00,80.00,1.00,0.00,0.00,84.00,0.00,110.00,0.00,0.00,0.00,
Total Counts,213.00,42.00,1022.00,18.00,12.00,36.00,1416.00,23.00,1232.00,13.00,312.00,2.00,

 11:19:18
Interval Count,16.00,5.00,71.00,1.00,0.00,0.00,101.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,229.00,47.00,1093.00,19.00,12.00,36.00,1517.00,23.00,1232.00,13.00,312.00,2.00,

 11:19:48
Interval Count,26.00,10.00,0.00,0.00,33.00,6.00,18.00,0.00,88.00,1.00,0.00,0.00,
Total Counts,255.00,57.00,1093.00,19.00,45.00,42.00,1535.00,23.00,1320.00,14.00,312.00,2.00,

 11:20:18
Interval Count,13.00,0.00,61.00,0.00,0.00,0.00,22.00,0.00,69.00,0.00,0.00,0.00,
Total Counts,268.00,57.00,1154.00,19.00,45.00,42.00,1557.00,23.00,1389.00,14.00,312.00,2.00,

 11:20:48
Interval Count,0.00,0.00,160.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,268.00,57.00,1314.00,19.00,45.00,42.00,1557.00,24.00,1389.00,14.00,312.00,2.00,

 11:21:18
Interval Count,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,268.00,57.00,1340.00,19.00,45.00,42.00,1557.00,24.00,1389.00,14.00,312.00,2.00,

 11:21:48
Interval Count,0.00,0.00,31.00,0.00,0.00,0.00,37.00,1.00,111.00,0.00,0.00,0.00,
Total Counts,268.00,57.00,1371.00,19.00,45.00,42.00,1594.00,25.00,1500.00,14.00,312.00,2.00,

 11:22:18
Interval Count,0.00,0.00,40.00,0.00,2.00,0.00,73.00,0.00,99.00,0.00,0.00,0.00,
