,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 13:45:28
,     Stop Time: ~1/9/2018 14:45:28


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,99.00,154.00,31.00,28.00,75.00,83.00,7.00,8.00,5.00,29.00,29.00,298.00,

 13:57:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.00,
Total Counts,99.00,154.00,31.00,28.00,75.00,83.00,7.00,8.00,5.00,29.00,29.00,462.00,

 13:57:59
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00,
Total Counts,99.00,154.00,32.00,28.00,75.00,83.00,7.00,9.00,5.00,29.00,29.00,558.00,

 13:58:29
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,99.00,154.00,32.00,29.00,75.00,83.00,7.00,10.00,5.00,29.00,29.00,558.00,

 13:58:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,99.00,154.00,32.00,29.00,75.00,83.00,7.00,10.00,5.00,29.00,29.00,558.00,

 13:59:29
Interval Count,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,99.00,154.00,32.00,29.00,86.00,83.00,7.00,10.00,5.00,29.00,29.00,558.00,

 13:59:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,99.00,154.00,32.00,29.00,86.00,83.00,7.00,10.00,5.00,29.00,29.00,558.00,

 14:00:29
Interval Count,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,154.00,32.00,29.00,86.00,83.00,7.00,10.00,5.00,29.00,29.00,558.00,

 14:00:59
Interval Count,0.00,21.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,175.00,32.00,29.00,86.00,84.00,7.00,10.00,5.00,29.00,29.00,558.00,

 14:01:29
Interval Count,0.00,175.00,0.00,0.00,89.00,5.00,7.00,6.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,350.00,32.00,29.00,175.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:01:59
Interval Count,0.00,60.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,410.00,32.00,29.00,252.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:02:29
Interval Count,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,252.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:02:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,252.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:03:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,252.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:03:59
Interval Count,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,254.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:04:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,254.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:04:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,254.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:05:29
Interval Count,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,294.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:05:59
Interval Count,0.00,0.00,0.00,0.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,370.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:06:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,370.00,89.00,14.00,16.00,5.00,29.00,29.00,558.00,

 14:06:59
Interval Count,0.00,0.00,0.00,0.00,41.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,411.00,89.00,14.00,17.00,5.00,29.00,29.00,558.00,

 14:07:29
Interval Count,0.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,463.00,89.00,14.00,17.00,5.00,29.00,29.00,558.00,

 14:07:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,463.00,89.00,14.00,17.00,5.00,29.00,29.00,558.00,

 14:08:29
Interval Count,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,494.00,89.00,14.00,17.00,5.00,29.00,29.00,558.00,

 14:08:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,494.00,89.00,14.00,17.00,5.00,29.00,29.00,558.00,

 14:09:29
Interval Count,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:09:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:10:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:10:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:11:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:11:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:12:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,15.00,17.00,5.00,29.00,29.00,558.00,

 14:12:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:13:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:13:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:14:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:14:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,32.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:15:29
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:15:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,17.00,5.00,29.00,29.00,558.00,

 14:16:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,18.00,5.00,29.00,29.00,558.00,

 14:16:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,18.00,5.00,29.00,29.00,558.00,

 14:17:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,18.00,5.00,29.00,29.00,558.00,

 14:17:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,18.00,5.00,29.00,29.00,558.00,

 14:18:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,18.00,5.00,29.00,29.00,558.00,

 14:18:59
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,18.00,18.00,5.00,29.00,29.00,558.00,

 14:19:29
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,114.00,419.00,33.00,29.00,498.00,89.00,19.00,18.00,5.00,29.00,29.00,558.00,

 14:19:59
