,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 13:08:14
,     Stop Time: ~1/7/2018 14:08:14


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/7/2018 13:08:15
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,

 13:08:45
Interval Count,111.00,8.00,31.00,1.00,24.00,0.00,0.00,0.00,1.00,0.00,1.00,25.00,
Total Counts,111.00,8.00,31.00,1.00,24.00,0.00,0.00,1.00,1.00,0.00,1.00,25.00,

 13:09:15
Interval Count,137.00,3.00,90.00,0.00,180.00,27.00,0.00,0.00,0.00,62.00,2.00,24.00,
Total Counts,248.00,11.00,121.00,1.00,204.00,27.00,0.00,1.00,1.00,62.00,3.00,49.00,

 13:09:45
Interval Count,66.00,0.00,32.00,1.00,213.00,2.00,8.00,0.00,3.00,25.00,0.00,18.00,
Total Counts,314.00,11.00,153.00,2.00,417.00,29.00,8.00,1.00,4.00,87.00,3.00,67.00,

 13:10:15
Interval Count,95.00,0.00,83.00,2.00,240.00,0.00,0.00,0.00,5.00,0.00,0.00,17.00,
Total Counts,409.00,11.00,236.00,4.00,657.00,29.00,8.00,1.00,9.00,87.00,3.00,84.00,

 13:10:45
Interval Count,0.00,2.00,68.00,8.00,241.00,0.00,0.00,21.00,0.00,0.00,0.00,38.00,
Total Counts,409.00,13.00,304.00,12.00,898.00,29.00,8.00,22.00,9.00,87.00,3.00,122.00,

 13:11:15
Interval Count,122.00,0.00,43.00,1.00,240.00,1.00,0.00,112.00,0.00,81.00,0.00,33.00,
Total Counts,531.00,13.00,347.00,13.00,1138.00,30.00,8.00,134.00,9.00,168.00,3.00,155.00,

 13:11:45
Interval Count,94.00,0.00,132.00,0.00,240.00,0.00,0.00,176.00,1.00,52.00,0.00,21.00,
Total Counts,625.00,13.00,479.00,13.00,1378.00,30.00,8.00,310.00,10.00,220.00,3.00,176.00,

 13:12:15
Interval Count,0.00,1.00,89.00,0.00,78.00,0.00,0.00,0.00,6.00,0.00,0.00,8.00,
Total Counts,625.00,14.00,568.00,13.00,1456.00,30.00,8.00,310.00,16.00,220.00,3.00,184.00,

 13:12:45
Interval Count,4.00,4.00,127.00,0.00,75.00,0.00,0.00,0.00,5.00,27.00,0.00,19.00,
Total Counts,629.00,18.00,695.00,13.00,1531.00,30.00,8.00,310.00,21.00,247.00,3.00,203.00,

 13:13:15
Interval Count,153.00,0.00,55.00,2.00,136.00,0.00,0.00,0.00,1.00,49.00,0.00,31.00,
Total Counts,782.00,18.00,750.00,15.00,1667.00,30.00,8.00,310.00,22.00,296.00,3.00,234.00,

 13:13:45
Interval Count,109.00,0.00,98.00,0.00,126.00,15.00,8.00,0.00,0.00,116.00,0.00,0.00,
Total Counts,891.00,18.00,848.00,15.00,1793.00,45.00,16.00,310.00,22.00,412.00,3.00,234.00,

 13:14:15
Interval Count,36.00,1.00,92.00,1.00,78.00,1.00,0.00,0.00,1.00,70.00,0.00,58.00,
Total Counts,927.00,19.00,940.00,16.00,1871.00,46.00,16.00,310.00,23.00,482.00,3.00,292.00,

 13:14:45
Interval Count,78.00,0.00,121.00,0.00,84.00,5.00,0.00,13.00,1.00,0.00,0.00,0.00,
Total Counts,1005.00,19.00,1061.00,16.00,1955.00,51.00,16.00,323.00,24.00,482.00,3.00,292.00,

 13:15:15
Interval Count,47.00,0.00,69.00,0.00,111.00,2.00,0.00,0.00,0.00,93.00,0.00,96.00,
Total Counts,1052.00,19.00,1130.00,16.00,2066.00,53.00,16.00,323.00,24.00,575.00,3.00,388.00,

 13:15:45
Interval Count,1.00,8.00,124.00,1.00,123.00,0.00,0.00,0.00,1.00,0.00,17.00,55.00,
Total Counts,1053.00,27.00,1254.00,17.00,2189.00,53.00,16.00,323.00,25.00,575.00,20.00,443.00,

 13:16:15
Interval Count,93.00,0.00,7.00,1.00,77.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,
