,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/4/2018 10:27:39
,     Stop Time: ~1/4/2018 11:27:39


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,0.00,103.00,0.00,0.00,
Total Counts,625.00,26.00,625.00,59.00,0.00,0.00,9.00,1463.00,25.00,2601.00,12.00,324.00,

 10:39:40
Interval Count,8.00,0.00,116.00,0.00,0.00,0.00,0.00,91.00,0.00,140.00,6.00,0.00,
Total Counts,633.00,26.00,741.00,59.00,0.00,0.00,9.00,1554.00,25.00,2741.00,18.00,324.00,

 10:40:10
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,116.00,0.00,0.00,
Total Counts,633.00,26.00,741.00,61.00,0.00,0.00,9.00,1554.00,25.00,2857.00,18.00,324.00,

 10:40:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,1.00,0.00,
Total Counts,633.00,26.00,741.00,61.00,0.00,0.00,9.00,1554.00,25.00,2892.00,19.00,324.00,

 10:41:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,633.00,26.00,741.00,61.00,0.00,0.00,9.00,1554.00,25.00,2892.00,19.00,324.00,

 10:41:40
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,73.00,0.00,65.00,0.00,2.00,
Total Counts,633.00,26.00,742.00,61.00,0.00,0.00,9.00,1627.00,25.00,2957.00,19.00,326.00,

 10:42:10
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,173.00,0.00,83.00,
Total Counts,633.00,27.00,742.00,61.00,0.00,0.00,9.00,1673.00,25.00,3130.00,19.00,409.00,

 10:42:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,12.00,59.00,1.00,19.00,0.00,1.00,
Total Counts,633.00,27.00,742.00,61.00,0.00,0.00,21.00,1732.00,26.00,3149.00,19.00,410.00,

 10:43:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,237.00,4.00,0.00,1.00,0.00,
Total Counts,633.00,27.00,742.00,61.00,0.00,0.00,21.00,1969.00,30.00,3149.00,20.00,410.00,

 10:43:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,0.00,92.00,7.00,0.00,
Total Counts,633.00,27.00,742.00,61.00,0.00,0.00,21.00,2154.00,30.00,3241.00,27.00,410.00,

 10:44:10
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,33.00,0.00,164.00,72.00,0.00,
Total Counts,633.00,27.00,743.00,61.00,0.00,0.00,21.00,2187.00,30.00,3405.00,99.00,410.00,

 10:44:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.00,0.00,0.00,0.00,0.00,
Total Counts,633.00,27.00,743.00,61.00,0.00,0.00,21.00,2358.00,30.00,3405.00,99.00,410.00,

 10:45:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,0.00,77.00,
Total Counts,633.00,27.00,743.00,61.00,0.00,0.00,21.00,2358.00,30.00,3501.00,99.00,487.00,

 10:45:40
Interval Count,0.00,15.00,0.00,0.00,0.00,0.00,0.00,113.00,0.00,0.00,0.00,2.00,
Total Counts,633.00,42.00,743.00,61.00,0.00,0.00,21.00,2471.00,30.00,3501.00,99.00,489.00,

 10:46:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,43.00,
Total Counts,633.00,42.00,743.00,61.00,0.00,0.00,21.00,2471.00,30.00,3619.00,99.00,532.00,

 10:46:40
Interval Count,0.00,0.00,146.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,2.00,0.00,
Total Counts,633.00,42.00,889.00,61.00,0.00,0.00,21.00,2566.00,30.00,3619.00,101.00,532.00,

 10:47:10
Interval Count,138.00,0.00,192.00,0.00,0.00,0.00,0.00,61.00,0.00,68.00,4.00,0.00,
Total Counts,771.00,42.00,1081.00,61.00,0.00,0.00,21.00,2627.00,30.00,3687.00,105.00,532.00,

 10:47:40
Interval Count,62.00,0.00,177.00,0.00,0.00,0.00,0.00,75.00,10.00,152.00,0.00,0.00,
Total Counts,833.00,42.00,1258.00,61.00,0.00,0.00,21.00,2702.00,40.00,3839.00,105.00,532.00,

 10:48:10
Interval Count,0.00,0.00,181.00,0.00,0.00,0.00,0.00,45.00,0.00,47.00,0.00,0.00,
Total Counts,833.00,42.00,1439.00,61.00,0.00,0.00,21.00,2747.00,40.00,3886.00,105.00,532.00,

 10:48:40
Interval Count,0.00,0.00,136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,833.00,42.00,1575.00,61.00,0.00,0.00,21.00,2747.00,40.00,3886.00,105.00,532.00,

 10:49:10
Interval Count,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,833.00,42.00,1612.00,61.00,0.00,0.00,21.00,2747.00,40.00,3886.00,105.00,532.00,

 10:49:40
Interval Count,1.00,0.00,1.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,
Total Counts,834.00,42.00,1613.00,61.00,0.00,0.00,21.00,2774.00,40.00,3886.00,105.00,532.00,

 10:50:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,834.00,42.00,1613.00,61.00,0.00,0.00,21.00,2775.00,40.00,3886.00,105.00,532.00,

 10:50:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.00,1.00,71.00,
Total Counts,834.00,42.00,1613.00,61.00,0.00,0.00,21.00,2775.00,40.00,4022.00,106.00,603.00,

 10:51:10
Interval Count,0.00,3.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,127.00,0.00,16.00,
Total Counts,834.00,45.00,1613.00,66.00,0.00,0.00,21.00,2775.00,40.00,4149.00,106.00,619.00,

 10:51:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,
Total Counts,834.00,45.00,1613.00,66.00,0.00,0.00,21.00,2775.00,40.00,4192.00,106.00,619.00,

 10:52:10
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,
Total Counts,834.00,45.00,1613.00,66.00,0.00,0.00,21.00,2775.00,40.00,4195.00,106.00,619.00,

 10:52:40
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,
Total Counts,834.00,45.00,1613.00,66.00,0.00,0.00,21.00,2775.00,40.00,4330.00,106.00,619.00,

 10:53:10
Interval Count,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,895.00,45.00,1613.00,66.00,0.00,0.00,21.00,2775.00,40.00,4330.00,106.00,619.00,

 10:53:40
Interval Count,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,
