,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 11:46:05
,     Stop Time: ~1/7/2018 12:46:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,10.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,1.00,1.00,0.00,70.00,
Total Counts,696.00,11.00,152.00,202.00,0.00,0.00,22.00,1911.00,23.00,2204.00,65.00,735.00,

 11:58:05
Interval Count,73.00,0.00,0.00,4.00,0.00,0.00,3.00,71.00,0.00,91.00,0.00,29.00,
Total Counts,769.00,11.00,152.00,206.00,0.00,0.00,25.00,1982.00,23.00,2295.00,65.00,764.00,

 11:58:35
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,133.00,0.00,69.00,0.00,0.00,
Total Counts,769.00,11.00,154.00,206.00,0.00,0.00,25.00,2115.00,23.00,2364.00,65.00,764.00,

 11:59:05
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,57.00,0.00,0.00,
Total Counts,769.00,11.00,154.00,206.00,0.00,0.00,25.00,2148.00,23.00,2421.00,65.00,764.00,

 11:59:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,94.00,2.00,0.00,
Total Counts,769.00,11.00,154.00,206.00,0.00,0.00,25.00,2225.00,23.00,2515.00,67.00,764.00,

 12:00:05
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,769.00,11.00,154.00,206.00,0.00,0.00,25.00,2225.00,23.00,2517.00,67.00,764.00,

 12:00:35
Interval Count,158.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,4.00,128.00,0.00,101.00,
Total Counts,927.00,11.00,154.00,206.00,0.00,0.00,25.00,2239.00,27.00,2645.00,67.00,865.00,

 12:01:05
Interval Count,26.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,68.00,0.00,54.00,
Total Counts,953.00,11.00,154.00,206.00,0.00,0.00,25.00,2302.00,27.00,2713.00,67.00,919.00,

 12:01:35
Interval Count,29.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,
Total Counts,982.00,11.00,154.00,207.00,0.00,0.00,25.00,2302.00,27.00,2713.00,67.00,953.00,

 12:02:05
Interval Count,4.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,0.00,28.00,0.00,0.00,
Total Counts,986.00,11.00,154.00,207.00,0.00,0.00,25.00,2403.00,27.00,2741.00,67.00,953.00,

 12:02:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.00,71.00,63.00,0.00,0.00,
Total Counts,986.00,11.00,154.00,207.00,0.00,0.00,25.00,2641.00,98.00,2804.00,67.00,953.00,

 12:03:05
Interval Count,0.00,6.00,0.00,0.00,0.00,0.00,0.00,119.00,214.00,189.00,2.00,0.00,
Total Counts,986.00,17.00,154.00,207.00,0.00,0.00,25.00,2760.00,312.00,2993.00,69.00,953.00,

 12:03:36
Interval Count,45.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,24.00,0.00,31.00,
Total Counts,1031.00,17.00,154.00,207.00,0.00,0.00,25.00,2761.00,312.00,3017.00,69.00,984.00,

 12:04:05
Interval Count,0.00,0.00,0.00,82.00,0.00,0.00,0.00,119.00,0.00,35.00,4.00,113.00,
Total Counts,1031.00,17.00,154.00,289.00,0.00,0.00,25.00,2880.00,312.00,3052.00,73.00,1097.00,

 12:04:35
Interval Count,0.00,0.00,0.00,11.00,0.00,0.00,0.00,32.00,0.00,60.00,1.00,0.00,
Total Counts,1031.00,17.00,154.00,300.00,0.00,0.00,25.00,2912.00,312.00,3112.00,74.00,1097.00,

 12:05:06
Interval Count,0.00,0.00,22.00,0.00,0.00,0.00,0.00,86.00,1.00,58.00,0.00,0.00,
Total Counts,1031.00,17.00,176.00,300.00,0.00,0.00,25.00,2998.00,313.00,3170.00,74.00,1097.00,

 12:05:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,40.00,0.00,128.00,
Total Counts,1031.00,17.00,176.00,300.00,0.00,0.00,25.00,3066.00,313.00,3210.00,74.00,1225.00,

 12:06:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,14.00,
Total Counts,1031.00,17.00,176.00,300.00,0.00,0.00,25.00,3128.00,313.00,3210.00,74.00,1239.00,

 12:06:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,0.00,46.00,
Total Counts,1031.00,17.00,176.00,300.00,0.00,0.00,25.00,3222.00,313.00,3210.00,74.00,1285.00,

 12:07:06
Interval Count,126.00,2.00,0.00,0.00,0.00,0.00,0.00,182.00,0.00,213.00,0.00,28.00,
Total Counts,1157.00,19.00,176.00,300.00,0.00,0.00,25.00,3404.00,313.00,3423.00,74.00,1313.00,

 12:07:36
Interval Count,133.00,0.00,0.00,59.00,0.00,0.00,0.00,53.00,0.00,82.00,1.00,33.00,
Total Counts,1290.00,19.00,176.00,359.00,0.00,0.00,25.00,3457.00,313.00,3505.00,75.00,1346.00,

 12:08:06
Interval Count,20.00,0.00,0.00,136.00,0.00,0.00,0.00,0.00,0.00,179.00,0.00,67.00,
Total Counts,1310.00,19.00,176.00,495.00,0.00,0.00,25.00,3457.00,313.00,3684.00,75.00,1413.00,

 12:08:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,3.00,
Total Counts,1310.00,19.00,176.00,495.00,0.00,0.00,25.00,3457.00,313.00,3736.00,75.00,1416.00,

 12:09:06
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,70.00,0.00,56.00,
Total Counts,1310.00,19.00,176.00,496.00,0.00,0.00,28.00,3457.00,313.00,3806.00,75.00,1472.00,

 12:09:36
Interval Count,115.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,50.00,
Total Counts,1425.00,19.00,177.00,496.00,0.00,0.00,28.00,3457.00,313.00,3874.00,75.00,1522.00,

 12:10:06
Interval Count,105.00,0.00,0.00,1.00,0.00,0.00,0.00,31.00,4.00,65.00,3.00,0.00,
Total Counts,1530.00,19.00,177.00,497.00,0.00,0.00,28.00,3488.00,317.00,3939.00,78.00,1522.00,

 12:10:36
Interval Count,68.00,1.00,0.00,0.00,0.00,0.00,0.00,97.00,0.00,0.00,0.00,0.00,
Total Counts,1598.00,20.00,177.00,497.00,0.00,0.00,28.00,3585.00,317.00,3939.00,78.00,1522.00,

 12:11:06
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,
Total Counts,1598.00,20.00,177.00,499.00,0.00,0.00,28.00,3585.00,317.00,3939.00,78.00,1578.00,

 12:11:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1598.00,20.00,177.00,499.00,0.00,0.00,28.00,3585.00,317.00,3939.00,78.00,1578.00,

 12:12:06
Interval Count,9.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,
Total Counts,1607.00,20.00,181.00,499.00,0.00,0.00,28.00,3585.00,317.00,3982.00,78.00,1578.00,

 12:12:36
Interval Count,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,6.00,0.00,
Total Counts,1651.00,20.00,181.00,499.00,0.00,0.00,28.00,3585.00,317.00,4094.00,84.00,1578.00,

 12:13:06
Interval Count,29.00,0.00,0.00,1.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,148.00,
Total Counts,1680.00,20.00,181.00,500.00,0.00,0.00,28.00,3640.00,317.00,4094.00,84.00,1726.00,

 12:13:36
Interval Count,55.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,55.00,0.00,17.00,
Total Counts,1735.00,20.00,181.00,500.00,0.00,0.00,28.00,3649.00,317.00,4149.00,84.00,1743.00,

 12:14:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,1.00,0.00,44.00,
Total Counts,1735.00,20.00,181.00,500.00,0.00,0.00,28.00,3665.00,317.00,4150.00,84.00,1787.00,

 12:14:36
Interval Count,12.00,0.00,0.00,1.00,0.00,0.00,1.00,35.00,0.00,1.00,0.00,0.00,
Total Counts,1747.00,20.00,181.00,501.00,0.00,0.00,29.00,3700.00,317.00,4151.00,84.00,1787.00,

 12:15:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,37.00,
Total Counts,1747.00,20.00,181.00,501.00,0.00,0.00,29.00,3700.00,317.00,4151.00,86.00,1824.00,

 12:15:36
Interval Count,0.00,0.00,0.00,18.00,0.00,0.00,0.00,50.00,1.00,0.00,0.00,0.00,
Total Counts,1747.00,20.00,181.00,519.00,0.00,0.00,29.00,3750.00,318.00,4151.00,86.00,1824.00,

 12:16:06
Interval Count,0.00,0.00,0.00,136.00,0.00,0.00,0.00,86.00,0.00,153.00,1.00,17.00,
