,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/22/2017 15:06:20
,     Stop Time: ~10/22/2017 16:06:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/22/2017 15:06:20
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 15:06:51
Interval Count,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,1.00,2.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,1.00,2.00,

 15:07:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,1.00,2.00,

 15:07:50
Interval Count,0.00,0.00,0.00,0.00,20.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,20.00,1.00,0.00,1.00,0.00,5.00,1.00,2.00,

 15:08:20
Interval Count,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,129.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,85.00,1.00,0.00,1.00,0.00,5.00,130.00,2.00,

 15:08:51
Interval Count,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,154.00,0.00,111.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,85.00,7.00,1.00,1.00,154.00,5.00,241.00,2.00,

 15:09:21
