,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2006 18:55:17
,     Stop Time: ~1/3/2006 19:55:17


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/3/2006 18:55:17
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 18:55:47
Interval Count,0.00,0.00,0.00,8.00,1.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,8.00,1.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,

 18:56:17
Interval Count,0.00,0.00,0.00,30.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,38.00,1.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,

 18:56:47
Interval Count,0.00,215.00,1.00,43.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,215.00,1.00,81.00,1.00,49.00,40.00,0.00,0.00,0.00,0.00,0.00,

 18:57:17
Interval Count,0.00,122.00,4.00,81.00,2.00,34.00,42.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,337.00,5.00,162.00,3.00,83.00,82.00,0.00,0.00,0.00,0.00,0.00,

 18:57:47
Interval Count,0.00,0.00,9.00,74.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,337.00,14.00,236.00,3.00,83.00,140.00,0.00,0.00,0.00,0.00,0.00,

 18:58:17
Interval Count,7.00,142.00,4.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,479.00,18.00,333.00,3.00,83.00,140.00,0.00,0.00,0.00,0.00,0.00,

 18:58:47
Interval Count,0.00,90.00,0.00,27.00,0.00,0.00,105.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,569.00,18.00,360.00,3.00,83.00,245.00,1.00,0.00,0.00,0.00,0.00,

 18:59:18
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,7.00,569.00,18.00,360.00,3.00,83.00,283.00,1.00,0.00,0.00,0.00,0.00,

 18:59:47
Interval Count,27.00,61.00,0.00,111.00,0.00,145.00,62.00,6.00,0.00,0.00,0.00,0.00,
Total Counts,34.00,630.00,18.00,471.00,3.00,228.00,345.00,7.00,0.00,0.00,0.00,0.00,

 19:00:17
Interval Count,29.00,0.00,41.00,0.00,0.00,10.00,61.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,630.00,59.00,471.00,3.00,238.00,406.00,7.00,0.00,0.00,0.00,0.00,

 19:00:48
Interval Count,0.00,0.00,0.00,91.00,0.00,0.00,143.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,630.00,59.00,562.00,3.00,238.00,549.00,11.00,0.00,0.00,0.00,0.00,

 19:01:18
Interval Count,0.00,197.00,6.00,24.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,827.00,65.00,586.00,3.00,238.00,590.00,11.00,0.00,0.00,0.00,0.00,

 19:01:48
Interval Count,0.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,827.00,65.00,652.00,3.00,238.00,590.00,11.00,0.00,0.00,0.00,0.00,

 19:02:17
Interval Count,0.00,91.00,0.00,23.00,0.00,0.00,60.00,7.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,918.00,65.00,675.00,3.00,238.00,650.00,18.00,0.00,0.00,0.00,0.00,

 19:02:48
Interval Count,0.00,180.00,0.00,16.00,0.00,0.00,157.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,1098.00,65.00,691.00,3.00,238.00,807.00,19.00,0.00,0.00,0.00,0.00,

 19:03:18
Interval Count,0.00,90.00,49.00,2.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,1188.00,114.00,693.00,3.00,238.00,854.00,19.00,0.00,0.00,0.00,0.00,

 19:03:48
Interval Count,0.00,24.00,2.00,59.00,34.00,0.00,109.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,1212.00,116.00,752.00,37.00,238.00,963.00,19.00,0.00,0.00,0.00,0.00,

 19:04:18
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,1212.00,116.00,752.00,37.00,238.00,983.00,19.00,0.00,0.00,0.00,0.00,

 19:04:48
Interval Count,0.00,97.00,1.00,88.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,1309.00,117.00,840.00,37.00,238.00,1035.00,19.00,0.00,0.00,0.00,0.00,

 19:05:18
Interval Count,0.00,22.00,0.00,70.00,1.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,63.00,1331.00,117.00,910.00,38.00,238.00,1056.00,19.00,0.00,0.00,0.00,0.00,

 19:05:48
