,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2006 21:07:57
,     Stop Time: ~1/7/2006 22:07:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,3.00,240.00,22.00,115.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,54.00,3911.00,142.00,1095.00,13.00,1798.00,3013.00,18.00,0.00,0.00,0.00,0.00,

 21:19:58
Interval Count,1.00,240.00,0.00,52.00,0.00,2.00,167.00,16.00,0.00,0.00,0.00,0.00,
Total Counts,55.00,4151.00,142.00,1147.00,13.00,1800.00,3180.00,34.00,0.00,0.00,0.00,0.00,

 21:20:28
Interval Count,0.00,240.00,1.00,93.00,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,55.00,4391.00,143.00,1240.00,13.00,1800.00,3302.00,34.00,0.00,0.00,0.00,0.00,

 21:20:58
Interval Count,0.00,241.00,0.00,83.00,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,55.00,4632.00,143.00,1323.00,13.00,1800.00,3424.00,34.00,0.00,0.00,0.00,0.00,

 21:21:28
Interval Count,0.00,240.00,0.00,57.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,55.00,4872.00,143.00,1380.00,13.00,1800.00,3501.00,34.00,0.00,0.00,0.00,0.00,

 21:21:58
Interval Count,2.00,240.00,0.00,15.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,57.00,5112.00,143.00,1395.00,13.00,1832.00,3501.00,34.00,0.00,0.00,0.00,0.00,

 21:22:28
Interval Count,0.00,240.00,1.00,15.00,0.00,93.00,114.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,57.00,5352.00,144.00,1410.00,13.00,1925.00,3615.00,34.00,0.00,0.00,0.00,0.00,

 21:22:58
Interval Count,0.00,240.00,0.00,64.00,0.00,0.00,141.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,57.00,5592.00,144.00,1474.00,13.00,1925.00,3756.00,34.00,0.00,0.00,0.00,0.00,

 21:23:28
Interval Count,1.00,240.00,0.00,0.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,58.00,5832.00,144.00,1474.00,13.00,1925.00,3852.00,34.00,0.00,0.00,0.00,0.00,

 21:23:58
Interval Count,0.00,241.00,0.00,0.00,0.00,0.00,140.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,58.00,6073.00,144.00,1474.00,13.00,1925.00,3992.00,34.00,0.00,0.00,0.00,0.00,

 21:24:28
Interval Count,1.00,240.00,0.00,82.00,30.00,136.00,120.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,6313.00,144.00,1556.00,43.00,2061.00,4112.00,34.00,0.00,0.00,0.00,0.00,

 21:24:58
Interval Count,0.00,240.00,0.00,44.00,0.00,133.00,27.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,6553.00,144.00,1600.00,43.00,2194.00,4139.00,34.00,0.00,0.00,0.00,0.00,

 21:25:28
Interval Count,0.00,240.00,0.00,78.00,0.00,54.00,78.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,6793.00,144.00,1678.00,43.00,2248.00,4217.00,35.00,0.00,0.00,0.00,0.00,

 21:25:58
Interval Count,0.00,240.00,0.00,60.00,0.00,97.00,27.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,7033.00,144.00,1738.00,43.00,2345.00,4244.00,35.00,0.00,0.00,0.00,0.00,

 21:26:28
Interval Count,0.00,240.00,0.00,25.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,7273.00,144.00,1763.00,43.00,2345.00,4245.00,35.00,0.00,0.00,0.00,0.00,

 21:26:58
Interval Count,0.00,240.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,7513.00,144.00,1782.00,43.00,2345.00,4245.00,35.00,0.00,0.00,0.00,0.00,

 21:27:28
Interval Count,0.00,240.00,0.00,47.00,0.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,59.00,7753.00,144.00,1829.00,43.00,2345.00,4366.00,35.00,0.00,0.00,0.00,0.00,

 21:27:58
Interval Count,3.00,240.00,0.00,74.00,0.00,40.00,93.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,7993.00,144.00,1903.00,43.00,2385.00,4459.00,35.00,0.00,0.00,0.00,0.00,

 21:28:28
Interval Count,0.00,241.00,0.00,67.00,0.00,182.00,43.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,8234.00,144.00,1970.00,43.00,2567.00,4502.00,35.00,0.00,0.00,0.00,0.00,

 21:28:58
Interval Count,0.00,240.00,0.00,21.00,0.00,0.00,136.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,8474.00,144.00,1991.00,43.00,2567.00,4638.00,35.00,0.00,0.00,0.00,0.00,

 21:29:28
Interval Count,0.00,240.00,0.00,26.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,8714.00,144.00,2017.00,43.00,2567.00,4696.00,35.00,0.00,0.00,0.00,0.00,

 21:29:58
Interval Count,0.00,240.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,62.00,8954.00,144.00,2017.00,43.00,2567.00,4712.00,35.00,0.00,0.00,0.00,0.00,

 21:30:28
