,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 13:24:05
,     Stop Time: ~10/29/2017 14:24:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,1.00,7.00,1.00,134.00,0.00,0.00,0.00,67.00,1.00,73.00,0.00,78.00,
Total Counts,33.00,2335.00,60.00,1242.00,23.00,1019.00,34.00,1406.00,59.00,1237.00,8.00,2480.00,

 13:36:06
Interval Count,0.00,99.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,81.00,0.00,47.00,
Total Counts,33.00,2434.00,60.00,1242.00,23.00,1019.00,34.00,1442.00,59.00,1318.00,8.00,2527.00,

 13:36:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,
Total Counts,33.00,2434.00,60.00,1242.00,23.00,1019.00,34.00,1442.00,59.00,1318.00,8.00,2612.00,

 13:37:06
Interval Count,0.00,66.00,8.00,18.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,27.00,
Total Counts,33.00,2500.00,68.00,1260.00,23.00,1038.00,34.00,1442.00,59.00,1318.00,8.00,2639.00,

 13:37:36
Interval Count,6.00,0.00,0.00,120.00,0.00,36.00,2.00,0.00,0.00,107.00,0.00,135.00,
Total Counts,39.00,2500.00,68.00,1380.00,23.00,1074.00,36.00,1442.00,59.00,1425.00,8.00,2774.00,

 13:38:06
Interval Count,0.00,99.00,0.00,29.00,0.00,24.00,0.00,0.00,0.00,63.00,0.00,93.00,
Total Counts,39.00,2599.00,68.00,1409.00,23.00,1098.00,36.00,1442.00,59.00,1488.00,8.00,2867.00,

 13:38:36
Interval Count,0.00,62.00,0.00,207.00,0.00,51.00,0.00,0.00,6.00,0.00,0.00,62.00,
Total Counts,39.00,2661.00,68.00,1616.00,23.00,1149.00,36.00,1442.00,65.00,1488.00,8.00,2929.00,

 13:39:06
Interval Count,0.00,98.00,0.00,173.00,1.00,41.00,0.00,0.00,0.00,0.00,0.00,149.00,
Total Counts,39.00,2759.00,68.00,1789.00,24.00,1190.00,36.00,1442.00,65.00,1488.00,8.00,3078.00,

 13:39:36
Interval Count,0.00,193.00,0.00,141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,
Total Counts,39.00,2952.00,68.00,1930.00,24.00,1190.00,36.00,1442.00,65.00,1488.00,8.00,3198.00,

 13:40:06
Interval Count,0.00,119.00,0.00,15.00,0.00,0.00,0.00,0.00,7.00,78.00,0.00,104.00,
Total Counts,39.00,3071.00,68.00,1945.00,24.00,1190.00,36.00,1442.00,72.00,1566.00,8.00,3302.00,

 13:40:36
Interval Count,0.00,177.00,0.00,1.00,0.00,0.00,0.00,198.00,0.00,40.00,0.00,144.00,
Total Counts,39.00,3248.00,68.00,1946.00,24.00,1190.00,36.00,1640.00,72.00,1606.00,8.00,3446.00,

 13:41:06
Interval Count,0.00,3.00,0.00,126.00,0.00,0.00,0.00,219.00,0.00,17.00,1.00,66.00,
Total Counts,39.00,3251.00,68.00,2072.00,24.00,1190.00,36.00,1859.00,72.00,1623.00,9.00,3512.00,

 13:41:36
Interval Count,0.00,113.00,0.00,95.00,0.00,0.00,0.00,206.00,0.00,0.00,0.00,162.00,
Total Counts,39.00,3364.00,68.00,2167.00,24.00,1190.00,36.00,2065.00,72.00,1623.00,9.00,3674.00,

 13:42:06
Interval Count,0.00,188.00,1.00,7.00,0.00,1.00,0.00,199.00,0.00,0.00,0.00,73.00,
Total Counts,39.00,3552.00,69.00,2174.00,24.00,1191.00,36.00,2264.00,72.00,1623.00,9.00,3747.00,

 13:42:36
Interval Count,0.00,89.00,0.00,33.00,0.00,0.00,6.00,9.00,0.00,11.00,0.00,89.00,
Total Counts,39.00,3641.00,69.00,2207.00,24.00,1191.00,42.00,2273.00,72.00,1634.00,9.00,3836.00,

 13:43:06
Interval Count,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,39.00,3641.00,70.00,2211.00,24.00,1191.00,42.00,2273.00,72.00,1634.00,9.00,3836.00,

 13:43:36
Interval Count,1.00,31.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,
Total Counts,40.00,3672.00,70.00,2224.00,24.00,1191.00,42.00,2273.00,72.00,1634.00,9.00,3930.00,

 13:44:06
Interval Count,0.00,6.00,0.00,61.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,68.00,
Total Counts,40.00,3678.00,70.00,2285.00,24.00,1191.00,42.00,2274.00,72.00,1634.00,9.00,3998.00,

 13:44:36
Interval Count,0.00,209.00,17.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,40.00,3887.00,87.00,2306.00,24.00,1191.00,42.00,2274.00,72.00,1634.00,9.00,3998.00,

 13:45:06
Interval Count,0.00,194.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.00,
Total Counts,40.00,4081.00,87.00,2370.00,24.00,1191.00,42.00,2274.00,72.00,1634.00,9.00,4079.00,

 13:45:36
Interval Count,0.00,81.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.00,
Total Counts,40.00,4162.00,87.00,2371.00,24.00,1191.00,42.00,2274.00,72.00,1634.00,9.00,4213.00,

 13:46:06
Interval Count,0.00,124.00,0.00,117.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,124.00,
Total Counts,40.00,4286.00,87.00,2488.00,24.00,1193.00,42.00,2274.00,72.00,1634.00,9.00,4337.00,

 13:46:36
Interval Count,0.00,0.00,0.00,31.00,0.00,0.00,13.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,40.00,4286.00,87.00,2519.00,24.00,1193.00,55.00,2274.00,73.00,1634.00,9.00,4337.00,

 13:47:06
Interval Count,0.00,0.00,0.00,11.00,0.00,162.00,4.00,0.00,0.00,0.00,0.00,146.00,
Total Counts,40.00,4286.00,87.00,2530.00,24.00,1355.00,59.00,2274.00,73.00,1634.00,9.00,4483.00,

 13:47:36
Interval Count,0.00,41.00,0.00,7.00,1.00,14.00,0.00,0.00,0.00,0.00,0.00,111.00,
Total Counts,40.00,4327.00,87.00,2537.00,25.00,1369.00,59.00,2274.00,73.00,1634.00,9.00,4594.00,

 13:48:06
Interval Count,0.00,170.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,
Total Counts,40.00,4497.00,87.00,2554.00,25.00,1369.00,59.00,2274.00,73.00,1634.00,9.00,4629.00,

 13:48:36
Interval Count,0.00,140.00,1.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,128.00,
Total Counts,40.00,4637.00,88.00,2554.00,25.00,1417.00,59.00,2274.00,73.00,1634.00,9.00,4757.00,

 13:49:06
Interval Count,0.00,6.00,0.00,0.00,1.00,51.00,0.00,0.00,0.00,0.00,0.00,116.00,
Total Counts,40.00,4643.00,88.00,2554.00,26.00,1468.00,59.00,2274.00,73.00,1634.00,9.00,4873.00,

 13:49:36
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,40.00,4645.00,88.00,2554.00,26.00,1468.00,59.00,2274.00,73.00,1634.00,9.00,4873.00,

 13:50:06
Interval Count,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,
Total Counts,40.00,4677.00,88.00,2554.00,26.00,1468.00,59.00,2274.00,73.00,1634.00,9.00,4983.00,

 13:50:36
Interval Count,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,
Total Counts,40.00,4680.00,88.00,2554.00,26.00,1468.00,59.00,2274.00,73.00,1634.00,9.00,5121.00,

 13:51:06
Interval Count,0.00,19.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,
Total Counts,40.00,4699.00,89.00,2566.00,26.00,1468.00,59.00,2274.00,73.00,1634.00,9.00,5304.00,

 13:51:36
Interval Count,0.00,170.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,145.00,
Total Counts,40.00,4869.00,89.00,2566.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,5449.00,

 13:52:06
Interval Count,0.00,60.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,
Total Counts,40.00,4929.00,91.00,2573.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,5548.00,

 13:52:36
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,
Total Counts,40.00,4930.00,91.00,2573.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,5589.00,

 13:53:06
Interval Count,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.00,
Total Counts,40.00,4980.00,91.00,2573.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,5720.00,

 13:53:36
Interval Count,0.00,2.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00,
Total Counts,40.00,4982.00,91.00,2591.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,5794.00,

 13:54:06
Interval Count,0.00,40.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,
Total Counts,40.00,5022.00,91.00,2600.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,5903.00,

 13:54:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.00,
Total Counts,40.00,5022.00,91.00,2600.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,6006.00,

 13:55:06
Interval Count,0.00,24.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,
Total Counts,40.00,5046.00,91.00,2621.00,26.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,6085.00,

 13:55:36
Interval Count,0.00,77.00,2.00,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,
Total Counts,40.00,5123.00,93.00,2631.00,28.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,6169.00,

 13:56:06
Interval Count,0.00,194.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,
Total Counts,40.00,5317.00,93.00,2639.00,28.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,6268.00,

 13:56:36
Interval Count,0.00,99.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,
Total Counts,40.00,5416.00,93.00,2654.00,28.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,6329.00,

 13:57:06
Interval Count,2.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,
Total Counts,42.00,5446.00,93.00,2654.00,28.00,1468.00,59.00,2298.00,73.00,1634.00,9.00,6440.00,

 13:57:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,94.00,
Total Counts,42.00,5446.00,93.00,2654.00,28.00,1468.00,59.00,2299.00,73.00,1634.00,9.00,6534.00,

 13:58:06
Interval Count,0.00,0.00,1.00,20.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,5446.00,94.00,2674.00,28.00,1468.00,60.00,2299.00,73.00,1634.00,9.00,6534.00,

 13:58:36
Interval Count,0.00,17.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,
Total Counts,42.00,5463.00,94.00,2682.00,28.00,1468.00,60.00,2299.00,73.00,1634.00,9.00,6629.00,

 13:59:06
Interval Count,0.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.00,
Total Counts,42.00,5571.00,94.00,2682.00,28.00,1468.00,60.00,2299.00,73.00,1634.00,9.00,6774.00,

 13:59:36
Interval Count,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,
