,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2006 17:39:57
,     Stop Time: ~1/8/2006 18:39:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq1_H, Dq1_S, Dq2_H, Dq2_S, Dq3_H, Dq3_S, Dq4_S, Dq4_H, Dq5_S, Dq5_H, Dq6_S, Dq6_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/8/2006 17:39:57
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 17:40:27
Interval Count,1.00,132.00,7.00,0.00,0.00,3.00,104.00,48.00,49.00,3.00,7.00,2.00,
Total Counts,1.00,132.00,7.00,0.00,0.00,3.00,104.00,48.00,49.00,3.00,7.00,2.00,

 17:40:57
Interval Count,0.00,147.00,0.00,80.00,0.00,0.00,241.00,0.00,0.00,17.00,0.00,0.00,
Total Counts,1.00,279.00,7.00,80.00,0.00,3.00,345.00,48.00,49.00,20.00,7.00,2.00,

 17:41:27
Interval Count,0.00,97.00,0.00,200.00,12.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,376.00,7.00,280.00,12.00,3.00,585.00,48.00,49.00,20.00,7.00,2.00,

 17:41:57
Interval Count,2.00,101.00,0.00,175.00,0.00,1.00,233.00,0.00,5.00,2.00,0.00,0.00,
Total Counts,3.00,477.00,7.00,455.00,12.00,4.00,818.00,48.00,54.00,22.00,7.00,2.00,

 17:42:27
Interval Count,0.00,47.00,0.00,125.00,0.00,0.00,228.00,0.00,105.00,12.00,11.00,0.00,
Total Counts,3.00,524.00,7.00,580.00,12.00,4.00,1046.00,48.00,159.00,34.00,18.00,2.00,

 17:42:57
Interval Count,0.00,0.00,0.00,57.00,0.00,3.00,138.00,24.00,170.00,0.00,0.00,0.00,
Total Counts,3.00,524.00,7.00,637.00,12.00,7.00,1184.00,72.00,329.00,34.00,18.00,2.00,

 17:43:27
Interval Count,0.00,110.00,0.00,20.00,0.00,83.00,79.00,0.00,107.00,0.00,0.00,0.00,
Total Counts,3.00,634.00,7.00,657.00,12.00,90.00,1263.00,72.00,436.00,34.00,18.00,2.00,

 17:43:57
Interval Count,3.00,57.00,2.00,0.00,0.00,0.00,76.00,1.00,25.00,0.00,0.00,4.00,
Total Counts,6.00,691.00,9.00,657.00,12.00,90.00,1339.00,73.00,461.00,34.00,18.00,6.00,

 17:44:27
Interval Count,0.00,31.00,0.00,69.00,0.00,0.00,0.00,0.00,42.00,1.00,0.00,3.00,
Total Counts,6.00,722.00,9.00,726.00,12.00,90.00,1339.00,73.00,503.00,35.00,18.00,9.00,

 17:44:57
Interval Count,0.00,23.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,6.00,745.00,9.00,727.00,12.00,90.00,1340.00,73.00,503.00,36.00,18.00,9.00,

 17:45:27
Interval Count,0.00,86.00,0.00,0.00,0.00,0.00,0.00,1.00,145.00,0.00,0.00,0.00,
Total Counts,6.00,831.00,9.00,727.00,12.00,90.00,1340.00,74.00,648.00,36.00,18.00,9.00,

 17:45:57
Interval Count,0.00,36.00,0.00,75.00,21.00,0.00,0.00,0.00,34.00,0.00,0.00,4.00,
Total Counts,6.00,867.00,9.00,802.00,33.00,90.00,1340.00,74.00,682.00,36.00,18.00,13.00,

 17:46:27
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,122.00,1.00,118.00,0.00,0.00,0.00,
Total Counts,6.00,867.00,9.00,803.00,33.00,90.00,1462.00,75.00,800.00,36.00,18.00,13.00,

 17:46:57
Interval Count,0.00,56.00,0.00,0.00,0.00,0.00,155.00,0.00,60.00,0.00,0.00,0.00,
Total Counts,6.00,923.00,9.00,803.00,33.00,90.00,1617.00,75.00,860.00,36.00,18.00,13.00,

 17:47:27
Interval Count,0.00,68.00,0.00,143.00,0.00,0.00,221.00,0.00,40.00,1.00,0.00,0.00,
Total Counts,6.00,991.00,9.00,946.00,33.00,90.00,1838.00,75.00,900.00,37.00,18.00,13.00,

 17:47:57
Interval Count,0.00,11.00,0.00,148.00,0.00,0.00,19.00,0.00,6.00,0.00,2.00,0.00,
Total Counts,6.00,1002.00,9.00,1094.00,33.00,90.00,1857.00,75.00,906.00,37.00,20.00,13.00,

 17:48:27
Interval Count,6.00,75.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,12.00,1077.00,9.00,1244.00,33.00,90.00,1857.00,75.00,906.00,37.00,21.00,13.00,

 17:48:57
Interval Count,0.00,53.00,0.00,101.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,1130.00,9.00,1345.00,33.00,90.00,1857.00,77.00,906.00,37.00,21.00,13.00,

 17:49:27
Interval Count,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,1130.00,14.00,1345.00,33.00,90.00,1857.00,77.00,906.00,37.00,21.00,13.00,

 17:49:57
Interval Count,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,
Total Counts,14.00,1132.00,14.00,1345.00,33.00,90.00,1857.00,77.00,906.00,37.00,24.00,13.00,

 17:50:27
Interval Count,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,1212.00,14.00,1345.00,33.00,90.00,1857.00,77.00,906.00,37.00,24.00,13.00,

 17:50:58
Interval Count,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,14.00,1212.00,14.00,1349.00,33.00,90.00,1858.00,77.00,906.00,38.00,24.00,13.00,

 17:51:27
Interval Count,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,1256.00,14.00,1349.00,33.00,90.00,1858.00,77.00,906.00,38.00,24.00,13.00,

 17:51:57
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,1256.00,14.00,1349.00,33.00,90.00,1858.00,77.00,906.00,38.00,24.00,13.00,

 17:52:28
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,183.00,1.00,0.00,0.00,0.00,0.00,
