,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2006 16:23:41
,     Stop Time: ~1/3/2006 17:23:41


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq1_H, Dq1_S, Dq2_H, Dq2_S, Dq3_H, Dq3_S, Dq4_S, Dq4_H, Dq5_S, Dq5_H, Dq6_S, Dq6_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/3/2006 16:23:41
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 16:24:11
Interval Count,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,
Total Counts,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,

 16:24:41
Interval Count,2.00,1.00,0.00,0.00,0.00,7.00,0.00,3.00,0.00,0.00,1.00,0.00,
Total Counts,2.00,1.00,0.00,0.00,3.00,8.00,0.00,3.00,1.00,0.00,1.00,9.00,

 16:25:12
Interval Count,1.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,
Total Counts,3.00,46.00,0.00,0.00,3.00,8.00,0.00,3.00,7.00,6.00,1.00,9.00,

 16:25:41
Interval Count,0.00,24.00,0.00,29.00,0.00,0.00,118.00,0.00,141.00,0.00,0.00,1.00,
Total Counts,3.00,70.00,0.00,29.00,3.00,8.00,118.00,3.00,148.00,6.00,1.00,10.00,

 16:26:11
Interval Count,0.00,131.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,
Total Counts,3.00,201.00,0.00,29.00,3.00,9.00,118.00,4.00,148.00,6.00,1.00,11.00,

 16:26:41
Interval Count,2.00,21.00,2.00,53.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,5.00,222.00,2.00,82.00,52.00,9.00,118.00,4.00,148.00,6.00,1.00,11.00,

 16:27:12
Interval Count,0.00,0.00,0.00,84.00,13.00,77.00,0.00,170.00,0.00,17.00,0.00,0.00,
Total Counts,5.00,222.00,2.00,166.00,65.00,86.00,118.00,174.00,148.00,23.00,1.00,11.00,

 16:27:42
Interval Count,0.00,43.00,0.00,63.00,7.00,44.00,0.00,48.00,0.00,0.00,11.00,37.00,
Total Counts,5.00,265.00,2.00,229.00,72.00,130.00,118.00,222.00,148.00,23.00,12.00,48.00,

 16:28:11
Interval Count,13.00,0.00,4.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,
Total Counts,18.00,265.00,6.00,352.00,72.00,130.00,118.00,222.00,148.00,23.00,12.00,197.00,

 16:28:42
Interval Count,0.00,0.00,0.00,32.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,128.00,
Total Counts,18.00,265.00,6.00,384.00,73.00,130.00,118.00,222.00,148.00,23.00,12.00,325.00,

 16:29:12
Interval Count,0.00,111.00,0.00,6.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,
Total Counts,18.00,376.00,6.00,390.00,73.00,130.00,118.00,222.00,150.00,24.00,12.00,326.00,

 16:29:42
Interval Count,0.00,47.00,1.00,83.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,423.00,7.00,473.00,73.00,130.00,119.00,222.00,150.00,24.00,12.00,326.00,

 16:30:12
Interval Count,0.00,75.00,0.00,112.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,498.00,7.00,585.00,73.00,130.00,121.00,223.00,150.00,24.00,12.00,326.00,

 16:30:42
Interval Count,0.00,103.00,0.00,103.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,601.00,7.00,688.00,73.00,178.00,121.00,223.00,150.00,24.00,12.00,326.00,

 16:31:12
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,601.00,7.00,688.00,73.00,178.00,121.00,223.00,150.00,24.00,12.00,326.00,

 16:31:42
Interval Count,0.00,172.00,0.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,10.00,
Total Counts,18.00,773.00,7.00,688.00,73.00,178.00,173.00,223.00,150.00,24.00,12.00,336.00,

 16:32:12
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,239.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,773.00,7.00,688.00,73.00,178.00,412.00,223.00,150.00,24.00,12.00,336.00,

 16:32:42
Interval Count,0.00,78.00,0.00,0.00,0.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,851.00,7.00,688.00,73.00,178.00,537.00,223.00,150.00,24.00,12.00,336.00,

 16:33:12
Interval Count,1.00,73.00,0.00,34.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,19.00,924.00,7.00,722.00,73.00,252.00,537.00,223.00,150.00,24.00,12.00,336.00,

 16:33:42
Interval Count,0.00,0.00,0.00,237.00,4.00,11.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,19.00,924.00,7.00,959.00,77.00,263.00,537.00,223.00,151.00,24.00,12.00,336.00,

 16:34:12
Interval Count,0.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00,142.00,0.00,0.00,0.00,
Total Counts,19.00,924.00,7.00,1052.00,77.00,263.00,537.00,223.00,293.00,24.00,12.00,336.00,

 16:34:42
Interval Count,0.00,0.00,0.00,32.00,0.00,0.00,0.00,20.00,170.00,0.00,0.00,0.00,
Total Counts,19.00,924.00,7.00,1084.00,77.00,263.00,537.00,243.00,463.00,24.00,12.00,336.00,

 16:35:12
Interval Count,0.00,78.00,0.00,165.00,5.00,1.00,0.00,203.00,169.00,0.00,0.00,0.00,
Total Counts,19.00,1002.00,7.00,1249.00,82.00,264.00,537.00,446.00,632.00,24.00,12.00,336.00,

 16:35:42
Interval Count,0.00,1.00,14.00,107.00,0.00,0.00,0.00,0.00,86.00,0.00,9.00,0.00,
Total Counts,19.00,1003.00,21.00,1356.00,82.00,264.00,537.00,446.00,718.00,24.00,21.00,336.00,

 16:36:12
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,19.00,1003.00,21.00,1356.00,82.00,264.00,537.00,446.00,718.00,24.00,21.00,336.00,
