,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/1/2018 13:43:10
,     Stop Time: ~1/1/2018 14:43:10


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/1/2018 13:43:10
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 13:43:40
Interval Count,0.00,1.00,4.00,1.00,2.00,4.00,2.00,5.00,2.00,0.00,1.00,2.00,
Total Counts,0.00,1.00,4.00,1.00,2.00,4.00,2.00,5.00,2.00,0.00,1.00,2.00,

 13:44:10
Interval Count,1.00,0.00,2.00,3.00,0.00,0.00,2.00,4.00,3.00,4.00,0.00,0.00,
Total Counts,1.00,1.00,6.00,4.00,2.00,4.00,4.00,9.00,5.00,4.00,1.00,2.00,

 13:44:40
Interval Count,0.00,0.00,2.00,1.00,5.00,0.00,1.00,2.00,10.00,4.00,1.00,0.00,
Total Counts,1.00,1.00,8.00,5.00,7.00,4.00,5.00,11.00,15.00,8.00,2.00,2.00,

 13:45:10
Interval Count,0.00,0.00,0.00,0.00,4.00,29.00,0.00,0.00,27.00,16.00,1.00,0.00,
Total Counts,1.00,1.00,8.00,5.00,11.00,33.00,5.00,11.00,42.00,24.00,3.00,2.00,

 13:45:40
Interval Count,0.00,0.00,0.00,3.00,0.00,1.00,0.00,1.00,0.00,211.00,13.00,0.00,
Total Counts,1.00,1.00,8.00,8.00,11.00,34.00,5.00,12.00,42.00,235.00,16.00,2.00,

 13:46:10
Interval Count,10.00,0.00,3.00,0.00,0.00,0.00,3.00,2.00,0.00,10.00,0.00,0.00,
Total Counts,11.00,1.00,11.00,8.00,11.00,34.00,8.00,14.00,42.00,245.00,16.00,2.00,

 13:46:41
Interval Count,115.00,0.00,0.00,1.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,51.00,
Total Counts,126.00,1.00,11.00,9.00,11.00,38.00,8.00,16.00,42.00,245.00,16.00,53.00,

 13:47:10
Interval Count,29.00,6.00,13.00,1.00,0.00,58.00,1.00,0.00,2.00,0.00,16.00,69.00,
Total Counts,155.00,7.00,24.00,10.00,11.00,96.00,9.00,16.00,44.00,245.00,32.00,122.00,

 13:47:40
Interval Count,0.00,1.00,0.00,0.00,0.00,82.00,3.00,1.00,78.00,0.00,1.00,13.00,
Total Counts,155.00,8.00,24.00,10.00,11.00,178.00,12.00,17.00,122.00,245.00,33.00,135.00,

 13:48:10
Interval Count,0.00,0.00,1.00,0.00,0.00,26.00,0.00,0.00,12.00,23.00,0.00,22.00,
Total Counts,155.00,8.00,25.00,10.00,11.00,204.00,12.00,17.00,134.00,268.00,33.00,157.00,

 13:48:41
Interval Count,1.00,1.00,2.00,19.00,102.00,0.00,0.00,1.00,0.00,0.00,2.00,41.00,
Total Counts,156.00,9.00,27.00,29.00,113.00,204.00,12.00,18.00,134.00,268.00,35.00,198.00,

 13:49:11
Interval Count,0.00,0.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,
Total Counts,156.00,9.00,27.00,29.00,259.00,204.00,12.00,18.00,134.00,268.00,35.00,209.00,

 13:49:40
Interval Count,98.00,0.00,0.00,1.00,16.00,21.00,0.00,2.00,0.00,0.00,3.00,1.00,
Total Counts,254.00,9.00,27.00,30.00,275.00,225.00,12.00,20.00,134.00,268.00,38.00,210.00,

 13:50:11
Interval Count,45.00,0.00,2.00,1.00,80.00,6.00,0.00,0.00,16.00,0.00,0.00,3.00,
Total Counts,299.00,9.00,29.00,31.00,355.00,231.00,12.00,20.00,150.00,268.00,38.00,213.00,

 13:50:41
Interval Count,0.00,7.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,2.00,
Total Counts,299.00,16.00,29.00,33.00,355.00,231.00,16.00,20.00,150.00,268.00,39.00,215.00,

 13:51:11
Interval Count,0.00,6.00,6.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,
