,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,
,Version 10.2.2966.20953,,,,,,,
,Experiment Setup:,,,,,,,
,Connected Hardware:,,,,,,,
,,USB Interface REV 1 [1],,,,,,
,     Experiment Name: SaccharinPrefG2W4,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,
,     Time Format: H:mm:ss,,,,,,,
,     Start Time: 10/17/2017 14:49:09,,,,,,,
,     Stop Time: ~10/17/2017 15:49:09,,,,,,,
,,,,,,,,
,,,,,,,,
Interface/Port, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Vi11_H, Vi11_S, Vi12_H, Vi12_S, Di9_H, Di9_S, Di10_H, Di10_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,
,,,,,,,,
 10/17/2017 14:49:09,,,,,,,,
Interval Count,32,0,0,0,0,0,0,241
Total Counts,91,970,16,614,47,1351,714,4938
,,,,,,,,
 15:06:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,240
Total Counts,91,970,16,614,47,1351,714,5178
,,,,,,,,
 15:06:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,240
Total Counts,91,970,16,614,47,1351,714,5418
,,,,,,,,
 15:07:10,,,,,,,,
Interval Count,0,0,0,0,0,117,1,210
Total Counts,91,970,16,614,47,1468,715,5628
,,,,,,,,
 15:07:40,,,,,,,,
Interval Count,0,0,0,1,0,124,0,0
Total Counts,91,970,16,615,47,1592,715,5628
,,,,,,,,
 15:08:10,,,,,,,,
Interval Count,0,148,0,0,0,101,0,0
Total Counts,91,1118,16,615,47,1693,715,5628
,,,,,,,,
 15:08:40,,,,,,,,
Interval Count,0,0,0,0,0,48,0,0
Total Counts,91,1118,16,615,47,1741,715,5628
,,,,,,,,
 15:09:10,,,,,,,,
Interval Count,0,0,0,200,0,0,0,233
Total Counts,91,1118,16,815,47,1741,715,5861
,,,,,,,,
 15:09:40,,,,,,,,
Interval Count,0,0,0,38,1,0,0,240
Total Counts,91,1118,16,853,48,1741,715,6101
,,,,,,,,
 15:10:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,240
Total Counts,91,1118,16,853,48,1741,715,6341
,,,,,,,,
 15:10:40,,,,,,,,
Interval Count,0,0,0,0,2,105,0,241
Total Counts,91,1118,16,853,50,1846,715,6582
,,,,,,,,
 15:11:10,,,,,,,,
Interval Count,0,0,0,121,0,109,0,112
Total Counts,91,1118,16,974,50,1955,715,6694
,,,,,,,,
 15:11:40,,,,,,,,
Interval Count,0,0,0,31,0,105,0,0
Total Counts,91,1118,16,1005,50,2060,715,6694
,,,,,,,,
 15:12:10,,,,,,,,
Interval Count,5,0,0,0,0,101,1,0
Total Counts,96,1118,16,1005,50,2161,716,6694
,,,,,,,,
 15:12:40,,,,,,,,
Interval Count,0,105,0,0,0,0,0,42
Total Counts,96,1223,16,1005,50,2161,716,6736
,,,,,,,,
 15:13:10,,,,,,,,
Interval Count,0,5,0,40,0,0,0,114
Total Counts,96,1228,16,1045,50,2161,716,6850
,,,,,,,,
 15:13:40,,,,,,,,
Interval Count,2,0,2,0,0,0,0,0
Total Counts,98,1228,18,1045,50,2161,716,6850
,,,,,,,,
 15:14:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,2
Total Counts,98,1228,18,1045,50,2161,716,6852
,,,,,,,,
 15:14:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,98,1228,18,1045,50,2161,716,6852
,,,,,,,,
 15:15:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,98,1228,18,1045,50,2161,716,6852
,,,,,,,,
 15:15:40,,,,,,,,
Interval Count,26,0,0,0,0,0,0,210
Total Counts,124,1228,18,1045,50,2161,716,7062
,,,,,,,,
 15:16:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,240
Total Counts,124,1228,18,1045,50,2161,716,7302
,,,,,,,,
 15:16:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,40
Total Counts,124,1228,18,1045,50,2161,716,7342
,,,,,,,,
 15:17:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,9
Total Counts,124,1228,18,1045,50,2161,716,7351
,,,,,,,,
 15:17:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,124,1228,18,1045,50,2161,716,7351
,,,,,,,,
 15:18:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,2
Total Counts,124,1228,18,1045,50,2161,716,7353
,,,,,,,,
 15:18:40,,,,,,,,
Interval Count,0,0,0,0,0,0,1,76
Total Counts,124,1228,18,1045,50,2161,717,7429
,,,,,,,,
 15:19:10,,,,,,,,
Interval Count,0,73,0,0,0,0,0,96
Total Counts,124,1301,18,1045,50,2161,717,7525
,,,,,,,,
 15:19:40,,,,,,,,
Interval Count,0,100,0,0,0,0,0,0
Total Counts,124,1401,18,1045,50,2161,717,7525
,,,,,,,,
 15:20:10,,,,,,,,
Interval Count,0,0,0,66,0,0,0,0
Total Counts,124,1401,18,1111,50,2161,717,7525
,,,,,,,,
 15:20:40,,,,,,,,
Interval Count,0,4,0,164,0,0,0,0
Total Counts,124,1405,18,1275,50,2161,717,7525
,,,,,,,,
 15:21:10,,,,,,,,
Interval Count,0,0,0,10,0,0,0,0
Total Counts,124,1405,18,1285,50,2161,717,7525
,,,,,,,,
 15:21:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,124,1405,18,1285,50,2161,717,7525
,,,,,,,,
 15:22:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,124,1405,18,1285,50,2161,717,7525
,,,,,,,,
 15:22:40,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
Total Counts,124,1405,18,1285,50,2161,717,7525
,,,,,,,,
 15:23:10,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0
