,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2018 11:36:44
,     Stop Time: ~1/8/2018 12:36:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,0.00,146.00,0.00,0.00,0.00,0.00,141.00,1.00,182.00,0.00,23.00,
Total Counts,1220.00,25.00,1452.00,26.00,0.00,0.00,10.00,2404.00,31.00,2752.00,19.00,553.00,

 11:48:45
Interval Count,187.00,0.00,107.00,0.00,0.00,0.00,0.00,127.00,0.00,176.00,0.00,23.00,
Total Counts,1407.00,25.00,1559.00,26.00,0.00,0.00,10.00,2531.00,31.00,2928.00,19.00,576.00,

 11:49:15
Interval Count,3.00,1.00,0.00,3.00,0.00,0.00,0.00,64.00,0.00,156.00,0.00,10.00,
Total Counts,1410.00,26.00,1559.00,29.00,0.00,0.00,10.00,2595.00,31.00,3084.00,19.00,586.00,

 11:49:45
Interval Count,49.00,1.00,0.00,0.00,0.00,0.00,0.00,197.00,0.00,74.00,7.00,0.00,
Total Counts,1459.00,27.00,1559.00,29.00,0.00,0.00,10.00,2792.00,31.00,3158.00,26.00,586.00,

 11:50:15
Interval Count,75.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,0.00,38.00,0.00,0.00,
Total Counts,1534.00,27.00,1559.00,29.00,0.00,0.00,10.00,2903.00,31.00,3196.00,26.00,586.00,

 11:50:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,1.00,39.00,0.00,0.00,
Total Counts,1534.00,27.00,1559.00,29.00,0.00,0.00,10.00,2998.00,32.00,3235.00,26.00,586.00,

 11:51:15
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,1.00,0.00,
Total Counts,1534.00,29.00,1559.00,29.00,0.00,0.00,10.00,2998.00,32.00,3357.00,27.00,586.00,

 11:51:45
Interval Count,19.00,2.00,157.00,0.00,0.00,0.00,0.00,43.00,0.00,31.00,0.00,0.00,
Total Counts,1553.00,31.00,1716.00,29.00,0.00,0.00,10.00,3041.00,32.00,3388.00,27.00,586.00,

 11:52:15
Interval Count,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,
Total Counts,1553.00,31.00,1784.00,29.00,0.00,0.00,10.00,3041.00,32.00,3460.00,27.00,586.00,

 11:52:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.00,0.00,140.00,0.00,89.00,
Total Counts,1553.00,31.00,1784.00,29.00,0.00,0.00,10.00,3252.00,32.00,3600.00,27.00,675.00,

 11:53:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.00,0.00,0.00,0.00,35.00,
Total Counts,1553.00,31.00,1784.00,29.00,0.00,0.00,10.00,3385.00,32.00,3600.00,27.00,710.00,

 11:53:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,5.00,0.00,0.00,
Total Counts,1553.00,31.00,1784.00,29.00,0.00,0.00,10.00,3402.00,32.00,3605.00,27.00,710.00,

 11:54:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,0.00,0.00,
Total Counts,1553.00,31.00,1784.00,29.00,0.00,0.00,10.00,3402.00,32.00,3691.00,27.00,710.00,

 11:54:45
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,141.00,0.00,96.00,0.00,49.00,
Total Counts,1553.00,31.00,1786.00,29.00,0.00,0.00,10.00,3543.00,32.00,3787.00,27.00,759.00,

 11:55:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.00,0.00,163.00,0.00,0.00,
Total Counts,1553.00,31.00,1786.00,29.00,0.00,0.00,10.00,3775.00,32.00,3950.00,27.00,759.00,

 11:55:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.00,0.00,126.00,0.00,0.00,
Total Counts,1553.00,31.00,1786.00,29.00,0.00,0.00,10.00,3998.00,32.00,4076.00,27.00,759.00,

 11:56:15
Interval Count,3.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,34.00,0.00,14.00,
Total Counts,1556.00,31.00,1786.00,29.00,0.00,0.00,10.00,4008.00,32.00,4110.00,27.00,773.00,

 11:56:45
Interval Count,32.00,0.00,0.00,0.00,0.00,0.00,0.00,181.00,0.00,84.00,0.00,0.00,
Total Counts,1588.00,31.00,1786.00,29.00,0.00,0.00,10.00,4189.00,32.00,4194.00,27.00,773.00,

 11:57:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.00,0.00,0.00,0.00,0.00,
Total Counts,1588.00,31.00,1786.00,29.00,0.00,0.00,10.00,4330.00,32.00,4194.00,27.00,773.00,

 11:57:45
Interval Count,4.00,0.00,0.00,1.00,0.00,0.00,0.00,198.00,2.00,35.00,0.00,11.00,
Total Counts,1592.00,31.00,1786.00,30.00,0.00,0.00,10.00,4528.00,34.00,4229.00,27.00,784.00,

 11:58:15
Interval Count,240.00,0.00,0.00,0.00,0.00,0.00,0.00,206.00,0.00,75.00,0.00,0.00,
Total Counts,1832.00,31.00,1786.00,30.00,0.00,0.00,10.00,4734.00,34.00,4304.00,27.00,784.00,

 11:58:45
Interval Count,178.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,15.00,2.00,0.00,0.00,
Total Counts,2010.00,31.00,1786.00,30.00,0.00,0.00,10.00,4880.00,49.00,4306.00,27.00,784.00,

 11:59:15
Interval Count,98.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,
Total Counts,2108.00,31.00,1786.00,30.00,0.00,0.00,10.00,4937.00,49.00,4306.00,27.00,784.00,

 11:59:45
