,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/2/2006 17:49:47
,     Stop Time: ~1/2/2006 18:49:47


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq1_H, Dq1_S, Dq2_H, Dq2_S, Dq3_H, Dq3_S, Dq4_S, Dq4_H, Dq5_S, Dq5_H, Dq6_S, Dq6_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/2/2006 17:49:48
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 17:50:17
Interval Count,0.00,0.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,

 17:50:48
Interval Count,1.00,4.00,1.00,2.00,0.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,
Total Counts,1.00,4.00,2.00,3.00,2.00,1.00,4.00,0.00,2.00,0.00,0.00,0.00,

 17:51:18
Interval Count,0.00,0.00,0.00,5.00,15.00,0.00,204.00,2.00,80.00,0.00,0.00,0.00,
Total Counts,1.00,4.00,2.00,8.00,17.00,1.00,208.00,2.00,82.00,0.00,0.00,0.00,

 17:51:48
Interval Count,10.00,1.00,0.00,0.00,0.00,0.00,40.00,14.00,0.00,21.00,0.00,0.00,
Total Counts,11.00,5.00,2.00,8.00,17.00,1.00,248.00,16.00,82.00,21.00,0.00,0.00,

 17:52:18
Interval Count,1.00,0.00,0.00,134.00,19.00,93.00,59.00,0.00,0.00,1.00,11.00,0.00,
Total Counts,12.00,5.00,2.00,142.00,36.00,94.00,307.00,16.00,82.00,22.00,11.00,0.00,

 17:52:48
Interval Count,0.00,0.00,5.00,2.00,0.00,0.00,18.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,12.00,5.00,7.00,144.00,36.00,94.00,325.00,17.00,82.00,22.00,11.00,0.00,

 17:53:18
Interval Count,0.00,204.00,0.00,91.00,4.00,6.00,0.00,3.00,0.00,1.00,1.00,0.00,
Total Counts,12.00,209.00,7.00,235.00,40.00,100.00,325.00,20.00,82.00,23.00,12.00,0.00,

 17:53:48
Interval Count,0.00,99.00,2.00,134.00,0.00,0.00,0.00,66.00,0.00,8.00,1.00,0.00,
Total Counts,12.00,308.00,9.00,369.00,40.00,100.00,325.00,86.00,82.00,31.00,13.00,0.00,

 17:54:18
Interval Count,3.00,72.00,0.00,0.00,0.00,0.00,0.00,208.00,176.00,0.00,0.00,14.00,
Total Counts,15.00,380.00,9.00,369.00,40.00,100.00,325.00,294.00,258.00,31.00,13.00,14.00,

 17:54:48
Interval Count,2.00,78.00,0.00,156.00,0.00,0.00,1.00,36.00,211.00,0.00,1.00,0.00,
Total Counts,17.00,458.00,9.00,525.00,40.00,100.00,326.00,330.00,469.00,31.00,14.00,14.00,

 17:55:18
Interval Count,4.00,91.00,0.00,157.00,0.00,0.00,0.00,206.00,149.00,1.00,0.00,0.00,
Total Counts,21.00,549.00,9.00,682.00,40.00,100.00,326.00,536.00,618.00,32.00,14.00,14.00,

 17:55:48
Interval Count,2.00,54.00,3.00,49.00,0.00,0.00,29.00,3.00,59.00,0.00,0.00,0.00,
Total Counts,23.00,603.00,12.00,731.00,40.00,100.00,355.00,539.00,677.00,32.00,14.00,14.00,

 17:56:18
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,8.00,0.00,6.00,
Total Counts,23.00,603.00,12.00,731.00,40.00,100.00,357.00,539.00,677.00,40.00,14.00,20.00,

 17:56:48
Interval Count,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,23.00,692.00,12.00,731.00,40.00,100.00,357.00,539.00,677.00,42.00,14.00,20.00,

 17:57:18
Interval Count,0.00,0.00,0.00,87.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,692.00,12.00,818.00,43.00,106.00,357.00,539.00,677.00,42.00,14.00,20.00,

 17:57:48
Interval Count,0.00,98.00,0.00,16.00,1.00,0.00,7.00,0.00,1.00,1.00,1.00,0.00,
Total Counts,23.00,790.00,12.00,834.00,44.00,106.00,364.00,539.00,678.00,43.00,15.00,20.00,

 17:58:18
Interval Count,0.00,17.00,0.00,0.00,0.00,0.00,48.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,807.00,12.00,834.00,44.00,106.00,412.00,542.00,678.00,43.00,15.00,20.00,

 17:58:48
Interval Count,0.00,0.00,2.00,0.00,30.00,119.00,240.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,23.00,807.00,14.00,834.00,74.00,225.00,652.00,542.00,678.00,43.00,15.00,20.00,

 17:59:18
Interval Count,0.00,128.00,0.00,76.00,7.00,0.00,240.00,0.00,112.00,0.00,1.00,0.00,
Total Counts,23.00,935.00,14.00,910.00,81.00,225.00,892.00,542.00,790.00,43.00,16.00,20.00,

 17:59:48
Interval Count,3.00,0.00,0.00,140.00,0.00,0.00,153.00,0.00,178.00,0.00,0.00,0.00,
Total Counts,26.00,935.00,14.00,1050.00,81.00,225.00,1045.00,542.00,968.00,43.00,16.00,20.00,

 18:00:18
Interval Count,0.00,54.00,0.00,162.00,0.00,0.00,1.00,0.00,74.00,3.00,0.00,0.00,
Total Counts,26.00,989.00,14.00,1212.00,81.00,225.00,1046.00,542.00,1042.00,46.00,16.00,20.00,

 18:00:48
Interval Count,0.00,79.00,0.00,162.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,26.00,1068.00,14.00,1374.00,81.00,282.00,1046.00,542.00,1042.00,46.00,16.00,20.00,

 18:01:18
Interval Count,0.00,0.00,0.00,183.00,0.00,22.00,0.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,26.00,1068.00,14.00,1557.00,81.00,304.00,1046.00,546.00,1042.00,46.00,16.00,20.00,

 18:01:48
Interval Count,0.00,108.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,
Total Counts,26.00,1176.00,14.00,1680.00,81.00,304.00,1046.00,546.00,1042.00,46.00,21.00,20.00,

 18:02:18
Interval Count,0.00,11.00,0.00,111.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,10.00,
