,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/8/2018 12:52:36
,     Stop Time: ~1/8/2018 13:52:36


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/8/2018 12:52:36
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:53:06
Interval Count,73.00,0.00,21.00,0.00,138.00,0.00,0.00,4.00,0.00,2.00,0.00,5.00,
Total Counts,73.00,0.00,21.00,0.00,138.00,0.00,0.00,4.00,0.00,2.00,0.00,5.00,

 12:53:36
Interval Count,179.00,0.00,99.00,1.00,105.00,0.00,0.00,1.00,12.00,0.00,0.00,0.00,
Total Counts,252.00,0.00,120.00,1.00,243.00,0.00,0.00,5.00,12.00,2.00,0.00,5.00,

 12:54:06
Interval Count,82.00,4.00,54.00,0.00,68.00,2.00,2.00,118.00,0.00,101.00,0.00,0.00,
Total Counts,334.00,4.00,174.00,1.00,311.00,2.00,2.00,123.00,12.00,103.00,0.00,5.00,

 12:54:36
Interval Count,181.00,0.00,111.00,1.00,84.00,0.00,2.00,0.00,0.00,24.00,0.00,13.00,
Total Counts,515.00,4.00,285.00,2.00,395.00,2.00,4.00,123.00,12.00,127.00,0.00,18.00,

 12:55:06
Interval Count,95.00,0.00,11.00,0.00,70.00,0.00,0.00,59.00,0.00,112.00,0.00,10.00,
Total Counts,610.00,4.00,296.00,2.00,465.00,2.00,4.00,182.00,12.00,239.00,0.00,28.00,

 12:55:36
Interval Count,68.00,0.00,73.00,4.00,117.00,0.00,0.00,194.00,7.00,87.00,1.00,70.00,
Total Counts,678.00,4.00,369.00,6.00,582.00,2.00,4.00,376.00,19.00,326.00,1.00,98.00,

 12:56:06
Interval Count,78.00,0.00,4.00,0.00,78.00,0.00,0.00,0.00,1.00,183.00,0.00,6.00,
Total Counts,756.00,4.00,373.00,6.00,660.00,2.00,4.00,376.00,20.00,509.00,1.00,104.00,

 12:56:36
Interval Count,5.00,0.00,49.00,0.00,68.00,0.00,0.00,0.00,0.00,17.00,0.00,36.00,
Total Counts,761.00,4.00,422.00,6.00,728.00,2.00,4.00,376.00,20.00,526.00,1.00,140.00,

 12:57:06
Interval Count,1.00,0.00,5.00,0.00,15.00,1.00,4.00,0.00,0.00,0.00,0.00,4.00,
Total Counts,762.00,4.00,427.00,6.00,743.00,3.00,8.00,376.00,20.00,526.00,1.00,144.00,

 12:57:36
Interval Count,74.00,0.00,118.00,0.00,66.00,1.00,1.00,0.00,0.00,59.00,0.00,27.00,
Total Counts,836.00,4.00,545.00,6.00,809.00,4.00,9.00,376.00,20.00,585.00,1.00,171.00,

 12:58:06
Interval Count,120.00,0.00,148.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,
Total Counts,956.00,4.00,693.00,6.00,809.00,4.00,9.00,376.00,23.00,585.00,1.00,171.00,

 12:58:36
Interval Count,0.00,0.00,30.00,0.00,56.00,0.00,0.00,206.00,0.00,140.00,1.00,0.00,
Total Counts,956.00,4.00,723.00,6.00,865.00,4.00,9.00,582.00,23.00,725.00,2.00,171.00,

 12:59:06
Interval Count,0.00,0.00,142.00,0.00,13.00,0.00,0.00,27.00,0.00,3.00,0.00,0.00,
Total Counts,956.00,4.00,865.00,6.00,878.00,4.00,9.00,609.00,23.00,728.00,2.00,171.00,

 12:59:36
Interval Count,51.00,0.00,160.00,0.00,5.00,0.00,0.00,76.00,0.00,0.00,0.00,0.00,
Total Counts,1007.00,4.00,1025.00,6.00,883.00,4.00,9.00,685.00,23.00,728.00,2.00,171.00,

 13:00:06
Interval Count,5.00,0.00,90.00,3.00,97.00,0.00,1.00,10.00,0.00,0.00,0.00,0.00,
Total Counts,1012.00,4.00,1115.00,9.00,980.00,4.00,10.00,695.00,23.00,728.00,2.00,171.00,

 13:00:36
Interval Count,0.00,0.00,130.00,0.00,63.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,
