,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2006 19:58:57
,     Stop Time: ~1/9/2006 20:58:57


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq11_H, Dq11_S, Dq12_H, Dq12_S, Dq13_H, Dq13_S, Dq14_S, Dq14_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,167.00,165.00,101.00,709.00,19.00,137.00,828.00,112.00,0.00,0.00,0.00,0.00,

 20:10:57
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,167.00,165.00,101.00,709.00,20.00,137.00,830.00,112.00,0.00,0.00,0.00,0.00,

 20:11:28
Interval Count,98.00,0.00,0.00,0.00,0.00,202.00,2.00,3.00,0.00,0.00,0.00,0.00,
Total Counts,265.00,165.00,101.00,709.00,20.00,339.00,832.00,115.00,0.00,0.00,0.00,0.00,

 20:11:58
Interval Count,64.00,0.00,0.00,0.00,0.00,207.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,165.00,101.00,709.00,20.00,546.00,832.00,115.00,0.00,0.00,0.00,0.00,

 20:12:27
Interval Count,0.00,0.00,0.00,4.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,165.00,101.00,713.00,20.00,638.00,832.00,115.00,0.00,0.00,0.00,0.00,

 20:12:58
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,165.00,101.00,713.00,20.00,638.00,832.00,115.00,0.00,0.00,0.00,0.00,

 20:13:28
Interval Count,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,165.00,101.00,713.00,20.00,643.00,832.00,115.00,0.00,0.00,0.00,0.00,

 20:13:58
Interval Count,0.00,80.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,713.00,20.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:14:27
Interval Count,0.00,0.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,713.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:14:58
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,713.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:15:28
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,713.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:15:58
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,714.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:16:28
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,714.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:16:58
Interval Count,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,719.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:17:28
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,719.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:17:58
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,329.00,245.00,101.00,719.00,144.00,645.00,832.00,116.00,0.00,0.00,0.00,0.00,

 20:18:28
