,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/1/2018 12:22:30
,     Stop Time: ~1/1/2018 13:22:30


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/1/2018 12:22:30
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 12:23:00
Interval Count,0.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,3.00,
Total Counts,0.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,3.00,

 12:23:30
Interval Count,0.00,0.00,0.00,7.00,0.00,0.00,0.00,3.00,3.00,0.00,5.00,0.00,
Total Counts,0.00,8.00,2.00,7.00,0.00,0.00,0.00,3.00,6.00,0.00,9.00,3.00,

 12:24:00
Interval Count,1.00,2.00,0.00,0.00,0.00,0.00,2.00,36.00,1.00,3.00,0.00,39.00,
Total Counts,1.00,10.00,2.00,7.00,0.00,0.00,2.00,39.00,7.00,3.00,9.00,42.00,

 12:24:30
Interval Count,13.00,1.00,2.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,1.00,13.00,
Total Counts,14.00,11.00,4.00,7.00,0.00,0.00,2.00,114.00,7.00,3.00,10.00,55.00,

 12:25:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,14.00,11.00,4.00,7.00,0.00,0.00,2.00,116.00,7.00,3.00,10.00,55.00,

 12:25:30
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,18.00,4.00,6.00,0.00,0.00,2.00,
Total Counts,15.00,11.00,4.00,7.00,0.00,0.00,20.00,120.00,13.00,3.00,10.00,57.00,

 12:26:00
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,2.00,1.00,
Total Counts,15.00,11.00,5.00,7.00,0.00,0.00,21.00,120.00,13.00,7.00,12.00,58.00,

 12:26:30
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,16.00,11.00,5.00,7.00,0.00,0.00,21.00,120.00,13.00,7.00,12.00,58.00,

 12:27:00
Interval Count,0.00,0.00,0.00,9.00,0.00,0.00,1.00,2.00,3.00,0.00,0.00,1.00,
Total Counts,16.00,11.00,5.00,16.00,0.00,0.00,22.00,122.00,16.00,7.00,12.00,59.00,

 12:27:30
Interval Count,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,17.00,12.00,5.00,18.00,0.00,0.00,22.00,122.00,17.00,7.00,12.00,59.00,

 12:28:00
Interval Count,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,17.00,13.00,6.00,18.00,0.00,0.00,22.00,122.00,17.00,7.00,12.00,59.00,

 12:28:30
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,
Total Counts,17.00,15.00,6.00,18.00,0.00,0.00,22.00,122.00,17.00,8.00,12.00,60.00,

 12:29:00
Interval Count,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,125.00,
Total Counts,17.00,21.00,6.00,18.00,0.00,0.00,22.00,122.00,30.00,8.00,12.00,185.00,

 12:29:30
Interval Count,0.00,1.00,0.00,1.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,165.00,
Total Counts,17.00,22.00,6.00,19.00,0.00,0.00,22.00,150.00,30.00,8.00,12.00,350.00,

 12:30:00
Interval Count,5.00,0.00,0.00,0.00,0.00,0.00,0.00,211.00,0.00,0.00,56.00,45.00,
Total Counts,22.00,22.00,6.00,19.00,0.00,0.00,22.00,361.00,30.00,8.00,68.00,395.00,

 12:30:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.00,42.00,0.00,0.00,0.00,
Total Counts,22.00,22.00,6.00,19.00,0.00,0.00,22.00,585.00,72.00,8.00,68.00,395.00,

 12:31:00
Interval Count,0.00,4.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,17.00,1.00,4.00,
Total Counts,22.00,26.00,6.00,19.00,0.00,0.00,22.00,706.00,72.00,25.00,69.00,399.00,

 12:31:30
