,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/30/2017 12:34:18,,,,,,,,,,,
,     Stop Time: ~10/30/2017 13:34:18,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di7_H, Di7_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 10/30/2017 12:34:18,,,,,,,,,,,,
Total Counts,203,241,134,177,35,952,12,138,130,46,10,25
,,,,,,,,,,,,
 12:46:19,,,,,,,,,,,,
Interval Count,1,3,23,55,0,1,0,0,0,0,0,0
Total Counts,204,244,157,232,35,953,12,138,130,46,10,25
,,,,,,,,,,,,
 12:46:49,,,,,,,,,,,,
Interval Count,0,0,1,3,0,0,0,0,0,0,0,1
Total Counts,204,244,158,235,35,953,12,138,130,46,10,26
,,,,,,,,,,,,
 12:47:19,,,,,,,,,,,,
Interval Count,0,1,11,0,0,0,1,0,0,0,0,0
Total Counts,204,245,169,235,35,953,13,138,130,46,10,26
,,,,,,,,,,,,
 12:47:49,,,,,,,,,,,,
Interval Count,0,9,2,1,0,0,0,1,0,0,0,0
Total Counts,204,254,171,236,35,953,13,139,130,46,10,26
,,,,,,,,,,,,
 12:48:19,,,,,,,,,,,,
Interval Count,0,3,0,3,0,0,0,50,0,0,0,0
Total Counts,204,257,171,239,35,953,13,189,130,46,10,26
,,,,,,,,,,,,
 12:48:49,,,,,,,,,,,,
Interval Count,0,7,0,0,1,47,0,43,0,0,0,0
Total Counts,204,264,171,239,36,1000,13,232,130,46,10,26
,,,,,,,,,,,,
 12:49:19,,,,,,,,,,,,
Interval Count,0,6,0,0,0,0,0,0,0,0,0,0
Total Counts,204,270,171,239,36,1000,13,232,130,46,10,26
,,,,,,,,,,,,
 12:49:49,,,,,,,,,,,,
Interval Count,121,0,0,2,0,0,0,0,0,0,0,166
Total Counts,325,270,171,241,36,1000,13,232,130,46,10,192
,,,,,,,,,,,,
 12:50:19,,,,,,,,,,,,
Interval Count,64,5,0,0,0,4,0,0,0,0,0,65
Total Counts,389,275,171,241,36,1004,13,232,130,46,10,257
,,,,,,,,,,,,
 12:50:49,,,,,,,,,,,,
Interval Count,98,1,0,0,15,16,0,0,0,48,25,0
Total Counts,487,276,171,241,51,1020,13,232,130,94,35,257
,,,,,,,,,,,,
 12:51:19,,,,,,,,,,,,
Interval Count,34,0,7,95,0,0,0,0,0,137,0,0
Total Counts,521,276,178,336,51,1020,13,232,130,231,35,257
,,,,,,,,,,,,
 12:51:49,,,,,,,,,,,,
Interval Count,0,2,0,240,0,0,0,0,0,0,0,0
Total Counts,521,278,178,576,51,1020,13,232,130,231,35,257
,,,,,,,,,,,,
 12:52:19,,,,,,,,,,,,
Interval Count,0,0,0,236,0,2,0,0,0,0,0,0
Total Counts,521,278,178,812,51,1022,13,232,130,231,35,257
,,,,,,,,,,,,
 12:52:49,,,,,,,,,,,,
Interval Count,0,1,0,170,0,1,0,0,0,60,7,102
Total Counts,521,279,178,982,51,1023,13,232,130,291,42,359
,,,,,,,,,,,,
 12:53:19,,,,,,,,,,,,
Interval Count,0,0,1,85,103,0,2,0,0,21,0,233
Total Counts,521,279,179,1067,154,1023,15,232,130,312,42,592
,,,,,,,,,,,,
 12:53:49,,,,,,,,,,,,
Interval Count,0,0,0,0,208,0,0,0,0,26,0,0
Total Counts,521,279,179,1067,362,1023,15,232,130,338,42,592
,,,,,,,,,,,,
 12:54:19,,,,,,,,,,,,
Interval Count,0,0,0,0,193,0,0,0,0,0,0,0
Total Counts,521,279,179,1067,555,1023,15,232,130,338,42,592
,,,,,,,,,,,,
 12:54:49,,,,,,,,,,,,
Interval Count,0,0,1,0,188,0,91,3,37,6,0,0
Total Counts,521,279,180,1067,743,1023,106,235,167,344,42,592
,,,,,,,,,,,,
 12:55:19,,,,,,,,,,,,
Interval Count,0,0,2,6,45,1,197,0,18,26,0,0
Total Counts,521,279,182,1073,788,1024,303,235,185,370,42,592
,,,,,,,,,,,,
 12:55:49,,,,,,,,,,,,
Interval Count,0,0,0,1,0,3,203,0,0,0,0,0
Total Counts,521,279,182,1074,788,1027,506,235,185,370,42,592
,,,,,,,,,,,,
 12:56:19,,,,,,,,,,,,
Interval Count,0,1,0,0,45,0,178,0,0,1,0,0
Total Counts,521,280,182,1074,833,1027,684,235,185,371,42,592
,,,,,,,,,,,,
 12:56:49,,,,,,,,,,,,
Interval Count,0,0,1,0,74,0,105,0,0,43,0,0
Total Counts,521,280,183,1074,907,1027,789,235,185,414,42,592
,,,,,,,,,,,,
 12:57:19,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,34,0,0
Total Counts,521,280,183,1074,907,1027,789,235,185,448,42,592
,,,,,,,,,,,,
 12:57:49,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,521,280,183,1074,907,1027,789,235,185,448,42,592
,,,,,,,,,,,,
 12:58:19,,,,,,,,,,,,
Interval Count,0,0,0,6,13,0,25,0,0,0,0,0
Total Counts,521,280,183,1080,920,1027,814,235,185,448,42,592
,,,,,,,,,,,,
 12:58:49,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,521,280,183,1080,920,1027,814,235,185,448,42,592
,,,,,,,,,,,,
 12:59:19,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,521,280,183,1080,920,1027,814,235,185,448,42,592
,,,,,,,,,,,,
 12:59:49,,,,,,,,,,,,
Interval Count,0,0,40,5,0,0,0,0,0,0,0,0
Total Counts,521,280,223,1085,920,1027,814,235,185,448,42,592
,,,,,,,,,,,,
 13:00:19,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,1,0,0,0,0
Total Counts,521,280,223,1085,920,1027,814,236,185,448,42,592
,,,,,,,,,,,,
 13:00:49,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,28,2,0,0,0,0
Total Counts,521,280,223,1085,920,1027,842,238,185,448,42,592
,,,,,,,,,,,,
 13:01:19,,,,,,,,,,,,
Interval Count,0,0,0,1,0,0,39,0,0,0,0,0
Total Counts,521,280,223,1086,920,1027,881,238,185,448,42,592
,,,,,,,,,,,,
 13:01:49,,,,,,,,,,,,
Interval Count,0,0,1,0,0,0,0,0,0,0,0,0
Total Counts,521,280,224,1086,920,1027,881,238,185,448,42,592
,,,,,,,,,,,,
 13:02:19,,,,,,,,,,,,
Interval Count,0,0,0,1,0,3,0,0,0,0,0,0
Total Counts,521,280,224,1087,920,1030,881,238,185,448,42,592
,,,,,,,,,,,,
 13:02:49,,,,,,,,,,,,
Interval Count,0,0,0,0,0,2,0,0,0,0,0,0
Total Counts,521,280,224,1087,920,1032,881,238,185,448,42,592
,,,,,,,,,,,,
 13:03:19,,,,,,,,,,,,
Interval Count,0,0,0,0,0,37,0,0,0,0,0,0
Total Counts,521,280,224,1087,920,1069,881,238,185,448,42,592
,,,,,,,,,,,,
 13:03:49,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,521,280,224,1087,920,1069,881,238,185,448,42,592
,,,,,,,,,,,,
 13:04:19,,,,,,,,,,,,
