,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 15:19:20
,     Stop Time: ~10/30/2017 16:19:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,0.00,0.00,0.00,0.00,39.00,23.00,242.00,5.00,35.00,30.00,31.00,26.00,

 15:31:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,39.00,23.00,242.00,5.00,35.00,30.00,31.00,26.00,

 15:31:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,2.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,39.00,23.00,244.00,10.00,37.00,30.00,31.00,26.00,

 15:32:20
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,40.00,23.00,244.00,10.00,38.00,30.00,31.00,26.00,

 15:32:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,40.00,23.00,244.00,10.00,38.00,30.00,31.00,26.00,

 15:33:20
Interval Count,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,10.00,38.00,30.00,31.00,26.00,

 15:33:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,10.00,43.00,30.00,31.00,26.00,

 15:34:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,49.00,23.00,244.00,10.00,43.00,30.00,31.00,26.00,

 15:34:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,1.00,0.00,0.00,0.00,
