,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG2W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 10/15/2017 12:55:00,,,,,,,,,,,
,     Stop Time: ~10/15/2017 13:55:00,,,,,,,,,,,


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat


 10/15/2017 12:55:00,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,3,0,0,0,0

 12:55:30,,,,,,,,,,,,
Interval Count,0,0,1,1,0,4,0,241,0,215,3,0
Total Counts,0,0,1,1,0,4,0,244,0,215,3,0

 12:56:00,,,,,,,,,,,,
Interval Count,0,4,0,0,1,2,0,240,1,240,0,2
Total Counts,0,4,1,1,1,6,0,484,1,455,3,2

 12:56:30,,,,,,,,,,,,
Interval Count,0,0,38,8,0,1,0,239,8,239,0,0
Total Counts,0,4,39,9,1,7,0,723,9,694,3,2

 12:57:00,,,,,,,,,,,,
Interval Count,12,0,0,1,5,0,12,241,0,241,2,2
Total Counts,12,4,39,10,6,7,12,964,9,935,5,4

 12:57:30,,,,,,,,,,,,
Interval Count,0,4,2,0,0,1,4,240,5,240,0,2
Total Counts,12,8,41,10,6,8,16,1204,14,1175,5,6

 12:58:00,,,,,,,,,,,,
Interval Count,0,2,0,0,0,0,0,241,1,241,1,0
Total Counts,12,10,41,10,6,8,16,1445,15,1416,6,6

 12:58:30,,,,,,,,,,,,
Interval Count,0,0,1,3,0,0,0,239,0,239,0,1
Total Counts,12,10,42,13,6,8,16,1684,15,1655,6,7

 12:59:00,,,,,,,,,,,,
Interval Count,0,4,4,1,0,0,0,240,1,240,0,13
Total Counts,12,14,46,14,6,8,16,1924,16,1895,6,20

 12:59:30,,,,,,,,,,,,
Interval Count,0,1,2,0,0,70,0,241,0,241,0,18
Total Counts,12,15,48,14,6,78,16,2165,16,2136,6,38

 13:00:00,,,,,,,,,,,,
Interval Count,0,0,2,0,0,0,0,240,0,240,2,9
Total Counts,12,15,50,14,6,78,16,2405,16,2376,8,47

 13:00:30,,,,,,,,,,,,
Interval Count,0,1,1,46,0,0,0,240,2,240,0,0
Total Counts,12,16,51,60,6,78,16,2645,18,2616,8,47

 13:01:00,,,,,,,,,,,,
Interval Count,2,0,0,0,11,0,0,240,0,240,4,1
Total Counts,14,16,51,60,17,78,16,2885,18,2856,12,48

 13:01:30,,,,,,,,,,,,
Interval Count,1,1,0,0,0,2,0,240,0,240,23,1
Total Counts,15,17,51,60,17,80,16,3125,18,3096,35,49

 13:02:00,,,,,,,,,,,,
Interval Count,0,0,0,0,3,0,0,241,0,241,0,154
Total Counts,15,17,51,60,20,80,16,3366,18,3337,35,203

 13:02:30,,,,,,,,,,,,
Interval Count,0,0,25,2,0,1,60,240,7,240,0,16
Total Counts,15,17,76,62,20,81,76,3606,25,3577,35,219

 13:03:00,,,,,,,,,,,,
Interval Count,0,15,0,2,0,0,0,239,0,239,18,61
Total Counts,15,32,76,64,20,81,76,3845,25,3816,53,280

 13:03:30,,,,,,,,,,,,
Interval Count,2,0,1,4,0,0,15,240,0,240,1,8
Total Counts,17,32,77,68,20,81,91,4085,25,4056,54,288

 13:04:00,,,,,,,,,,,,
Interval Count,0,5,0,0,0,1,0,241,26,241,4,35
Total Counts,17,37,77,68,20,82,91,4326,51,4297,58,323

 13:04:30,,,,,,,,,,,,
Interval Count,31,45,0,0,80,0,0,240,0,241,0,0
Total Counts,48,82,77,68,100,82,91,4566,51,4538,58,323

 13:05:00,,,,,,,,,,,,
