,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 11:37:19
,     Stop Time: ~10/24/2017 12:37:19


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/24/2017 11:37:19
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 11:37:49
Interval Count,25.00,1.00,38.00,5.00,0.00,2.00,3.00,0.00,0.00,0.00,37.00,0.00,
Total Counts,25.00,1.00,38.00,5.00,0.00,2.00,3.00,0.00,0.00,0.00,37.00,0.00,

 11:38:19
Interval Count,18.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,2.00,
Total Counts,43.00,1.00,165.00,5.00,0.00,2.00,3.00,0.00,0.00,7.00,38.00,2.00,

 11:38:49
Interval Count,3.00,0.00,87.00,4.00,1.00,11.00,78.00,87.00,1.00,0.00,95.00,0.00,
Total Counts,46.00,1.00,252.00,9.00,1.00,13.00,81.00,87.00,1.00,7.00,133.00,2.00,

 11:39:19
Interval Count,21.00,4.00,0.00,1.00,33.00,0.00,157.00,0.00,9.00,1.00,14.00,0.00,
Total Counts,67.00,5.00,252.00,10.00,34.00,13.00,238.00,87.00,10.00,8.00,147.00,2.00,

 11:39:49
Interval Count,6.00,3.00,152.00,0.00,0.00,1.00,159.00,0.00,239.00,0.00,10.00,0.00,
Total Counts,73.00,8.00,404.00,10.00,34.00,14.00,397.00,87.00,249.00,8.00,157.00,2.00,

 11:40:19
Interval Count,2.00,0.00,146.00,0.00,0.00,0.00,25.00,0.00,157.00,0.00,0.00,0.00,
Total Counts,75.00,8.00,550.00,10.00,34.00,14.00,422.00,87.00,406.00,8.00,157.00,2.00,

 11:40:49
Interval Count,31.00,0.00,5.00,1.00,0.00,9.00,89.00,17.00,126.00,0.00,24.00,0.00,
Total Counts,106.00,8.00,555.00,11.00,34.00,23.00,511.00,104.00,532.00,8.00,181.00,2.00,

 11:41:19
Interval Count,32.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,110.00,0.00,0.00,17.00,
Total Counts,138.00,8.00,555.00,19.00,34.00,23.00,511.00,104.00,642.00,8.00,181.00,19.00,

 11:41:49
Interval Count,15.00,2.00,45.00,0.00,0.00,0.00,110.00,5.00,178.00,3.00,0.00,3.00,
Total Counts,153.00,10.00,600.00,19.00,34.00,23.00,621.00,109.00,820.00,11.00,181.00,22.00,

 11:42:19
Interval Count,0.00,0.00,97.00,0.00,0.00,0.00,128.00,3.00,209.00,0.00,1.00,0.00,
Total Counts,153.00,10.00,697.00,19.00,34.00,23.00,749.00,112.00,1029.00,11.00,182.00,22.00,

 11:42:49
Interval Count,37.00,0.00,76.00,0.00,0.00,62.00,75.00,0.00,199.00,0.00,0.00,0.00,
Total Counts,190.00,10.00,773.00,19.00,34.00,85.00,824.00,112.00,1228.00,11.00,182.00,22.00,

 11:43:19
Interval Count,50.00,4.00,89.00,1.00,0.00,1.00,49.00,73.00,175.00,0.00,122.00,0.00,
Total Counts,240.00,14.00,862.00,20.00,34.00,86.00,873.00,185.00,1403.00,11.00,304.00,22.00,

 11:43:49
Interval Count,26.00,1.00,9.00,0.00,8.00,0.00,120.00,0.00,142.00,0.00,172.00,0.00,
Total Counts,266.00,15.00,871.00,20.00,42.00,86.00,993.00,185.00,1545.00,11.00,476.00,22.00,

 11:44:19
Interval Count,8.00,2.00,0.00,0.00,88.00,2.00,92.00,0.00,85.00,1.00,151.00,0.00,
Total Counts,274.00,17.00,871.00,20.00,130.00,88.00,1085.00,185.00,1630.00,12.00,627.00,22.00,

 11:44:49
Interval Count,38.00,19.00,69.00,0.00,35.00,72.00,81.00,4.00,135.00,0.00,93.00,2.00,
Total Counts,312.00,36.00,940.00,20.00,165.00,160.00,1166.00,189.00,1765.00,12.00,720.00,24.00,

 11:45:19
Interval Count,49.00,1.00,86.00,0.00,1.00,0.00,109.00,0.00,70.00,5.00,3.00,0.00,
Total Counts,361.00,37.00,1026.00,20.00,166.00,160.00,1275.00,189.00,1835.00,17.00,723.00,24.00,

 11:45:49
Interval Count,23.00,7.00,63.00,0.00,31.00,0.00,93.00,0.00,108.00,1.00,1.00,1.00,
Total Counts,384.00,44.00,1089.00,20.00,197.00,160.00,1368.00,189.00,1943.00,18.00,724.00,25.00,

 11:46:19
Interval Count,34.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,0.00,0.00,
Total Counts,418.00,44.00,1112.00,20.00,197.00,160.00,1368.00,189.00,1952.00,21.00,724.00,25.00,

 11:46:49
Interval Count,39.00,0.00,52.00,0.00,31.00,23.00,33.00,0.00,58.00,0.00,1.00,4.00,
Total Counts,457.00,44.00,1164.00,20.00,228.00,183.00,1401.00,189.00,2010.00,21.00,725.00,29.00,

 11:47:19
Interval Count,35.00,1.00,0.00,0.00,0.00,0.00,28.00,0.00,37.00,0.00,0.00,1.00,
Total Counts,492.00,45.00,1164.00,20.00,228.00,183.00,1429.00,189.00,2047.00,21.00,725.00,30.00,

 11:47:49
Interval Count,11.00,4.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,97.00,0.00,
Total Counts,503.00,49.00,1164.00,20.00,228.00,183.00,1456.00,189.00,2047.00,21.00,822.00,30.00,

 11:48:19
Interval Count,73.00,0.00,0.00,0.00,0.00,0.00,79.00,2.00,0.00,2.00,0.00,1.00,
Total Counts,576.00,49.00,1164.00,20.00,228.00,183.00,1535.00,191.00,2047.00,23.00,822.00,31.00,

 11:48:49
Interval Count,57.00,1.00,22.00,15.00,11.00,0.00,107.00,0.00,7.00,1.00,86.00,0.00,
Total Counts,633.00,50.00,1186.00,35.00,239.00,183.00,1642.00,191.00,2054.00,24.00,908.00,31.00,

 11:49:19
Interval Count,58.00,3.00,117.00,0.00,0.00,0.00,29.00,0.00,4.00,0.00,54.00,1.00,
Total Counts,691.00,53.00,1303.00,35.00,239.00,183.00,1671.00,191.00,2058.00,24.00,962.00,32.00,

 11:49:49
Interval Count,53.00,0.00,0.00,0.00,77.00,0.00,55.00,3.00,99.00,0.00,98.00,1.00,
Total Counts,744.00,53.00,1303.00,35.00,316.00,183.00,1726.00,194.00,2157.00,24.00,1060.00,33.00,

 11:50:19
Interval Count,27.00,1.00,0.00,0.00,0.00,74.00,113.00,0.00,119.00,0.00,0.00,0.00,
Total Counts,771.00,54.00,1303.00,35.00,316.00,257.00,1839.00,194.00,2276.00,24.00,1060.00,33.00,

 11:50:49
Interval Count,48.00,0.00,3.00,0.00,0.00,23.00,0.00,0.00,1.00,0.00,128.00,0.00,
Total Counts,819.00,54.00,1306.00,35.00,316.00,280.00,1839.00,194.00,2277.00,24.00,1188.00,33.00,

 11:51:19
Interval Count,53.00,1.00,94.00,0.00,0.00,0.00,44.00,1.00,18.00,0.00,10.00,0.00,
Total Counts,872.00,55.00,1400.00,35.00,316.00,280.00,1883.00,195.00,2295.00,24.00,1198.00,33.00,

 11:51:49
Interval Count,12.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,66.00,0.00,0.00,0.00,
Total Counts,884.00,55.00,1400.00,35.00,316.00,280.00,1913.00,195.00,2361.00,24.00,1198.00,33.00,

 11:52:19
Interval Count,122.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,0.00,0.00,0.00,4.00,
Total Counts,1006.00,55.00,1400.00,35.00,316.00,280.00,1959.00,195.00,2361.00,24.00,1198.00,37.00,

 11:52:49
Interval Count,28.00,0.00,93.00,0.00,0.00,17.00,3.00,0.00,70.00,0.00,0.00,0.00,
Total Counts,1034.00,55.00,1493.00,35.00,316.00,297.00,1962.00,195.00,2431.00,24.00,1198.00,37.00,

 11:53:19
Interval Count,57.00,0.00,137.00,0.00,0.00,0.00,5.00,0.00,87.00,0.00,0.00,1.00,
Total Counts,1091.00,55.00,1630.00,35.00,316.00,297.00,1967.00,195.00,2518.00,24.00,1198.00,38.00,

 11:53:49
Interval Count,38.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,84.00,2.00,133.00,1.00,
Total Counts,1129.00,55.00,1634.00,35.00,316.00,297.00,1967.00,195.00,2602.00,26.00,1331.00,39.00,

 11:54:20
Interval Count,47.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,149.00,0.00,
Total Counts,1176.00,69.00,1634.00,35.00,316.00,297.00,1967.00,195.00,2702.00,26.00,1480.00,39.00,

 11:54:49
Interval Count,25.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,
Total Counts,1201.00,69.00,1635.00,35.00,316.00,297.00,1967.00,197.00,2702.00,27.00,1481.00,39.00,

 11:55:19
Interval Count,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,2.00,74.00,0.00,
Total Counts,1236.00,69.00,1635.00,35.00,316.00,297.00,1967.00,197.00,2752.00,29.00,1555.00,39.00,

 11:55:49
Interval Count,35.00,0.00,0.00,0.00,0.00,1.00,21.00,1.00,31.00,0.00,0.00,0.00,
Total Counts,1271.00,69.00,1635.00,35.00,316.00,298.00,1988.00,198.00,2783.00,29.00,1555.00,39.00,

 11:56:20
Interval Count,32.00,1.00,0.00,0.00,0.00,4.00,104.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1303.00,70.00,1635.00,35.00,316.00,302.00,2092.00,198.00,2783.00,29.00,1555.00,39.00,

 11:56:50
Interval Count,36.00,2.00,108.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1339.00,72.00,1743.00,35.00,317.00,306.00,2092.00,198.00,2783.00,29.00,1555.00,39.00,

 11:57:19
