,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/1/2006 17:23:34
,     Stop Time: ~1/1/2006 18:23:34


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq1_H, Dq1_S, Dq2_H, Dq2_S, Dq3_H, Dq3_S, Dq4_S, Dq4_H, Dq5_S, Dq5_H, Dq6_S, Dq6_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/1/2006 17:23:34
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 17:24:05
Interval Count,3.00,0.00,14.00,0.00,7.00,4.00,31.00,5.00,0.00,2.00,0.00,0.00,
Total Counts,3.00,0.00,14.00,0.00,7.00,4.00,31.00,5.00,0.00,2.00,0.00,0.00,

 17:24:35
Interval Count,0.00,1.00,1.00,1.00,3.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,
Total Counts,3.00,1.00,15.00,1.00,10.00,4.00,35.00,5.00,4.00,2.00,0.00,0.00,

 17:25:05
Interval Count,1.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,3.00,0.00,
Total Counts,4.00,1.00,15.00,1.00,11.00,5.00,36.00,7.00,4.00,2.00,3.00,0.00,

 17:25:35
Interval Count,3.00,0.00,1.00,0.00,34.00,0.00,0.00,0.00,4.00,1.00,3.00,0.00,
Total Counts,7.00,1.00,16.00,1.00,45.00,5.00,36.00,7.00,8.00,3.00,6.00,0.00,

 17:26:05
Interval Count,0.00,22.00,0.00,0.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,7.00,23.00,16.00,1.00,48.00,5.00,37.00,7.00,9.00,3.00,6.00,0.00,

 17:26:35
Interval Count,44.00,0.00,0.00,0.00,0.00,0.00,79.00,0.00,6.00,0.00,1.00,0.00,
Total Counts,51.00,23.00,16.00,1.00,48.00,5.00,116.00,7.00,15.00,3.00,7.00,0.00,

 17:27:05
Interval Count,0.00,3.00,0.00,0.00,1.00,30.00,140.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,26.00,16.00,1.00,49.00,35.00,256.00,7.00,15.00,3.00,7.00,0.00,

 17:27:35
Interval Count,0.00,1.00,4.00,0.00,0.00,0.00,1.00,64.00,0.00,0.00,0.00,0.00,
Total Counts,51.00,27.00,20.00,1.00,49.00,35.00,257.00,71.00,15.00,3.00,7.00,0.00,

 17:28:05
Interval Count,2.00,0.00,26.00,0.00,1.00,0.00,0.00,12.00,18.00,49.00,0.00,5.00,
Total Counts,53.00,27.00,46.00,1.00,50.00,35.00,257.00,83.00,33.00,52.00,7.00,5.00,

 17:28:35
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,196.00,0.00,0.00,0.00,
Total Counts,53.00,27.00,46.00,1.00,51.00,35.00,257.00,83.00,229.00,52.00,7.00,5.00,

 17:29:05
Interval Count,3.00,0.00,6.00,0.00,0.00,0.00,1.00,0.00,142.00,0.00,0.00,0.00,
Total Counts,56.00,27.00,52.00,1.00,51.00,35.00,258.00,83.00,371.00,52.00,7.00,5.00,

 17:29:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,3.00,6.00,0.00,0.00,
Total Counts,56.00,27.00,52.00,1.00,51.00,35.00,263.00,86.00,374.00,58.00,7.00,5.00,

 17:30:05
Interval Count,0.00,83.00,0.00,0.00,0.00,0.00,159.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,56.00,110.00,52.00,1.00,51.00,35.00,422.00,86.00,375.00,58.00,7.00,5.00,

 17:30:35
Interval Count,12.00,140.00,0.00,0.00,1.00,0.00,16.00,0.00,1.00,66.00,1.00,0.00,
Total Counts,68.00,250.00,52.00,1.00,52.00,35.00,438.00,86.00,376.00,124.00,8.00,5.00,

 17:31:05
Interval Count,1.00,1.00,3.00,0.00,0.00,0.00,3.00,10.00,0.00,0.00,0.00,0.00,
Total Counts,69.00,251.00,55.00,1.00,52.00,35.00,441.00,96.00,376.00,124.00,8.00,5.00,

 17:31:35
Interval Count,2.00,4.00,0.00,1.00,26.00,0.00,17.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,71.00,255.00,55.00,2.00,78.00,35.00,458.00,97.00,376.00,124.00,8.00,5.00,

 17:32:05
Interval Count,0.00,0.00,0.00,28.00,77.00,0.00,119.00,0.00,1.00,0.00,8.00,0.00,
Total Counts,71.00,255.00,55.00,30.00,155.00,35.00,577.00,97.00,377.00,124.00,16.00,5.00,

 17:32:35
Interval Count,0.00,0.00,0.00,134.00,0.00,37.00,2.00,5.00,0.00,0.00,0.00,0.00,
Total Counts,71.00,255.00,55.00,164.00,155.00,72.00,579.00,102.00,377.00,124.00,16.00,5.00,

 17:33:05
Interval Count,0.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,9.00,
Total Counts,71.00,255.00,55.00,250.00,155.00,72.00,579.00,102.00,377.00,145.00,16.00,14.00,

 17:33:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,7.00,0.00,0.00,
Total Counts,71.00,255.00,55.00,250.00,155.00,72.00,579.00,103.00,379.00,152.00,16.00,14.00,

 17:34:05
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,10.00,0.00,0.00,
Total Counts,71.00,255.00,55.00,250.00,155.00,72.00,579.00,104.00,379.00,162.00,16.00,14.00,

 17:34:35
Interval Count,6.00,1.00,11.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,77.00,256.00,66.00,250.00,158.00,72.00,579.00,104.00,379.00,162.00,16.00,14.00,

 17:35:05
Interval Count,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,
Total Counts,77.00,256.00,66.00,250.00,158.00,74.00,581.00,105.00,379.00,162.00,16.00,14.00,

 17:35:35
Interval Count,0.00,0.00,0.00,76.00,0.00,103.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,77.00,256.00,66.00,326.00,158.00,177.00,581.00,107.00,379.00,162.00,16.00,14.00,

 17:36:05
Interval Count,27.00,0.00,0.00,99.00,0.00,0.00,2.00,148.00,0.00,0.00,0.00,0.00,
Total Counts,104.00,256.00,66.00,425.00,158.00,177.00,583.00,255.00,379.00,162.00,16.00,14.00,

 17:36:35
