,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/2/2018 12:47:51
,     Stop Time: ~1/2/2018 13:47:51


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,1180.00,129.00,1362.00,30.00,987.00,45.00,60.00,343.00,11.00,7.00,10.00,62.00,

 12:59:51
Interval Count,1.00,1.00,0.00,1.00,0.00,0.00,0.00,153.00,0.00,0.00,0.00,0.00,
Total Counts,1181.00,130.00,1362.00,31.00,987.00,45.00,60.00,496.00,11.00,7.00,10.00,62.00,

 13:00:21
Interval Count,89.00,1.00,46.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,
Total Counts,1270.00,131.00,1408.00,31.00,987.00,45.00,60.00,536.00,11.00,7.00,10.00,62.00,

 13:00:51
Interval Count,201.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1471.00,131.00,1408.00,31.00,987.00,45.00,61.00,536.00,11.00,7.00,10.00,62.00,

 13:01:21
Interval Count,76.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1547.00,135.00,1408.00,31.00,987.00,45.00,61.00,536.00,11.00,7.00,10.00,62.00,

 13:01:51
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,
Total Counts,1548.00,135.00,1408.00,31.00,987.00,45.00,61.00,537.00,11.00,8.00,10.00,62.00,

 13:02:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,13.00,0.00,0.00,0.00,0.00,
Total Counts,1548.00,135.00,1408.00,31.00,987.00,45.00,63.00,550.00,11.00,8.00,10.00,62.00,

 13:02:51
Interval Count,0.00,0.00,0.00,0.00,70.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1548.00,135.00,1408.00,31.00,1057.00,45.00,66.00,550.00,11.00,8.00,10.00,62.00,

 13:03:21
Interval Count,0.00,0.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1548.00,135.00,1408.00,31.00,1181.00,45.00,66.00,550.00,11.00,8.00,10.00,62.00,

 13:03:52
Interval Count,73.00,0.00,48.00,0.00,124.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1621.00,135.00,1456.00,31.00,1305.00,47.00,66.00,550.00,11.00,8.00,10.00,62.00,

 13:04:22
Interval Count,0.00,0.00,141.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,1621.00,135.00,1597.00,31.00,1305.00,48.00,66.00,550.00,11.00,8.00,11.00,62.00,

 13:04:51
Interval Count,1.00,0.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1622.00,135.00,1736.00,31.00,1305.00,48.00,66.00,550.00,11.00,8.00,11.00,62.00,

 13:05:21
Interval Count,78.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,1700.00,143.00,1736.00,31.00,1305.00,48.00,66.00,550.00,11.00,8.00,11.00,65.00,

 13:05:52
Interval Count,219.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1919.00,143.00,1771.00,31.00,1305.00,48.00,66.00,550.00,11.00,8.00,11.00,65.00,

 13:06:22
Interval Count,57.00,0.00,136.00,0.00,80.00,9.00,0.00,3.00,0.00,152.00,0.00,0.00,
Total Counts,1976.00,143.00,1907.00,31.00,1385.00,57.00,66.00,553.00,11.00,160.00,11.00,65.00,

 13:06:51
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.00,0.00,0.00,
Total Counts,1976.00,145.00,1907.00,31.00,1385.00,57.00,66.00,553.00,11.00,301.00,11.00,65.00,

 13:07:21
Interval Count,0.00,1.00,0.00,0.00,112.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,
Total Counts,1976.00,146.00,1907.00,31.00,1497.00,57.00,66.00,553.00,11.00,366.00,11.00,65.00,

 13:07:52
Interval Count,0.00,0.00,0.00,0.00,17.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1976.00,146.00,1907.00,31.00,1514.00,66.00,66.00,553.00,11.00,366.00,11.00,65.00,

 13:08:22
Interval Count,80.00,1.00,106.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2056.00,147.00,2013.00,31.00,1514.00,66.00,73.00,553.00,11.00,366.00,11.00,65.00,

 13:08:52
Interval Count,0.00,2.00,186.00,0.00,0.00,0.00,0.00,179.00,0.00,0.00,0.00,0.00,
Total Counts,2056.00,149.00,2199.00,31.00,1514.00,66.00,73.00,732.00,11.00,366.00,11.00,65.00,

 13:09:22
Interval Count,1.00,0.00,175.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,3.00,0.00,
Total Counts,2057.00,149.00,2374.00,31.00,1514.00,66.00,73.00,791.00,11.00,366.00,14.00,65.00,

 13:09:52
Interval Count,0.00,0.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,
Total Counts,2057.00,149.00,2502.00,31.00,1514.00,66.00,73.00,791.00,11.00,367.00,14.00,66.00,

 13:10:22
Interval Count,18.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2075.00,149.00,2551.00,31.00,1514.00,66.00,73.00,791.00,11.00,367.00,14.00,66.00,

 13:10:52
Interval Count,78.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,
Total Counts,2153.00,149.00,2648.00,31.00,1514.00,66.00,73.00,791.00,17.00,367.00,14.00,66.00,

 13:11:22
Interval Count,0.00,1.00,125.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,
Total Counts,2153.00,150.00,2773.00,31.00,1514.00,66.00,73.00,803.00,17.00,367.00,14.00,66.00,

 13:11:52
Interval Count,0.00,0.00,25.00,0.00,0.00,0.00,0.00,67.00,0.00,0.00,0.00,0.00,
Total Counts,2153.00,150.00,2798.00,31.00,1514.00,66.00,73.00,870.00,17.00,367.00,14.00,66.00,

 13:12:22
Interval Count,0.00,0.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2153.00,150.00,2798.00,31.00,1571.00,66.00,73.00,870.00,17.00,367.00,14.00,66.00,

 13:12:52
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2153.00,150.00,2798.00,31.00,1571.00,66.00,74.00,870.00,17.00,367.00,14.00,66.00,

 13:13:22
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2153.00,150.00,2798.00,31.00,1571.00,66.00,76.00,870.00,17.00,367.00,14.00,66.00,

 13:13:52
Interval Count,197.00,0.00,0.00,0.00,5.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,
Total Counts,2350.00,150.00,2798.00,31.00,1576.00,66.00,76.00,955.00,17.00,367.00,14.00,66.00,

 13:14:22
Interval Count,8.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,
Total Counts,2358.00,150.00,2798.00,31.00,1576.00,66.00,76.00,998.00,17.00,367.00,14.00,66.00,

 13:14:52
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,2358.00,150.00,2798.00,31.00,1576.00,66.00,76.00,998.00,17.00,367.00,15.00,66.00,

 13:15:22
Interval Count,77.00,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2435.00,153.00,2798.00,31.00,1578.00,67.00,76.00,998.00,17.00,367.00,15.00,66.00,

 13:15:52
Interval Count,101.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,2536.00,153.00,2798.00,31.00,1578.00,67.00,76.00,1002.00,17.00,367.00,15.00,66.00,

 13:16:22
Interval Count,38.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,
Total Counts,2574.00,157.00,2798.00,31.00,1578.00,67.00,76.00,1002.00,17.00,367.00,15.00,71.00,

 13:16:52
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2574.00,157.00,2800.00,31.00,1578.00,67.00,76.00,1002.00,17.00,367.00,15.00,71.00,

 13:17:22
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2574.00,157.00,2800.00,31.00,1578.00,67.00,76.00,1002.00,17.00,367.00,15.00,71.00,

 13:17:52
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2574.00,157.00,2800.00,31.00,1578.00,67.00,76.00,1002.00,17.00,367.00,15.00,71.00,

 13:18:22
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
