,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2018 11:59:07
,     Stop Time: ~1/9/2018 12:59:07


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di13_S, Di13_H, Di14_S, Di14_H, Vi15_S, Vi15_H, Vi16_H, Vi16_S, Ri13_H, Ri13_S, Ri14_H, Ri14_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,316.00,188.00,29.00,70.00,32.00,33.00,445.00,64.00,15.00,27.00,2.00,225.00,

 12:11:07
Interval Count,0.00,0.00,85.00,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,316.00,188.00,114.00,70.00,32.00,33.00,488.00,64.00,15.00,27.00,2.00,226.00,

 12:11:37
Interval Count,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,
Total Counts,316.00,188.00,147.00,70.00,32.00,33.00,488.00,64.00,15.00,27.00,2.00,274.00,

 12:12:07
Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,316.00,188.00,147.00,73.00,32.00,33.00,539.00,64.00,15.00,27.00,2.00,277.00,

 12:12:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,0.00,0.00,0.00,77.00,
Total Counts,316.00,188.00,147.00,73.00,32.00,33.00,603.00,64.00,15.00,27.00,2.00,354.00,

 12:13:07
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,316.00,188.00,147.00,73.00,32.00,33.00,603.00,64.00,15.00,27.00,2.00,354.00,

 12:13:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,316.00,188.00,147.00,73.00,32.00,33.00,603.00,64.00,15.00,27.00,2.00,354.00,

 12:14:07
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,316.00,188.00,148.00,73.00,32.00,33.00,688.00,64.00,15.00,27.00,2.00,354.00,

 12:14:38
Interval Count,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,
Total Counts,318.00,188.00,148.00,73.00,32.00,33.00,688.00,64.00,15.00,118.00,2.00,354.00,

 12:15:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,4.00,
Total Counts,318.00,188.00,148.00,73.00,32.00,33.00,728.00,64.00,15.00,118.00,2.00,358.00,

 12:15:37
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,318.00,188.00,148.00,73.00,32.00,33.00,778.00,64.00,15.00,118.00,2.00,358.00,

 12:16:07
Interval Count,0.00,0.00,1.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,318.00,188.00,149.00,73.00,51.00,33.00,778.00,64.00,15.00,118.00,2.00,358.00,

 12:16:38
Interval Count,0.00,7.00,72.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,318.00,195.00,221.00,73.00,53.00,34.00,778.00,64.00,15.00,118.00,2.00,358.00,

 12:17:08
Interval Count,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,318.00,195.00,261.00,73.00,53.00,34.00,778.00,64.00,15.00,118.00,2.00,358.00,

 12:17:38
Interval Count,120.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,48.00,
Total Counts,438.00,432.00,261.00,73.00,53.00,34.00,778.00,64.00,17.00,118.00,2.00,406.00,

 12:18:08
Interval Count,91.00,206.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,529.00,638.00,261.00,73.00,53.00,34.00,778.00,64.00,17.00,118.00,2.00,407.00,

 12:18:38
Interval Count,0.00,241.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,
Total Counts,529.00,879.00,266.00,73.00,53.00,34.00,778.00,64.00,17.00,118.00,91.00,407.00,

 12:19:08
Interval Count,0.00,240.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,529.00,1119.00,266.00,85.00,53.00,34.00,778.00,64.00,17.00,118.00,91.00,407.00,

 12:19:38
Interval Count,0.00,240.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,63.00,6.00,
Total Counts,529.00,1359.00,266.00,85.00,53.00,34.00,783.00,64.00,17.00,118.00,154.00,413.00,

 12:20:08
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,
Total Counts,529.00,1359.00,266.00,86.00,53.00,34.00,783.00,64.00,17.00,118.00,187.00,413.00,

 12:20:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,529.00,1359.00,266.00,86.00,53.00,34.00,850.00,64.00,17.00,118.00,187.00,413.00,

 12:21:08
Interval Count,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,
Total Counts,529.00,1359.00,268.00,86.00,53.00,34.00,850.00,64.00,17.00,118.00,187.00,482.00,

 12:21:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,
Total Counts,529.00,1359.00,268.00,86.00,53.00,34.00,850.00,64.00,17.00,118.00,187.00,510.00,

 12:22:08
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,529.00,1360.00,268.00,86.00,53.00,34.00,850.00,64.00,17.00,118.00,187.00,510.00,

 12:22:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,529.00,1360.00,268.00,86.00,53.00,34.00,890.00,64.00,17.00,118.00,187.00,510.00,

 12:23:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,1.00,
Total Counts,529.00,1360.00,268.00,86.00,53.00,34.00,890.00,64.00,17.00,118.00,240.00,511.00,

 12:23:38
Interval Count,81.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,23.00,0.00,
Total Counts,610.00,1360.00,268.00,86.00,54.00,34.00,890.00,65.00,17.00,118.00,263.00,511.00,

 12:24:08
Interval Count,10.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,620.00,1360.00,270.00,86.00,54.00,34.00,890.00,65.00,17.00,118.00,263.00,511.00,

 12:24:38
Interval Count,0.00,1.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,620.00,1361.00,270.00,86.00,54.00,76.00,890.00,65.00,17.00,119.00,263.00,511.00,

 12:25:08
Interval Count,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,8.00,
Total Counts,620.00,1361.00,270.00,86.00,54.00,154.00,890.00,65.00,17.00,119.00,263.00,519.00,

 12:25:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,620.00,1361.00,270.00,86.00,54.00,154.00,890.00,65.00,17.00,119.00,263.00,519.00,

 12:26:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,2.00,
Total Counts,620.00,1361.00,270.00,86.00,54.00,154.00,890.00,65.00,17.00,119.00,327.00,521.00,

 12:26:38
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,
Total Counts,620.00,1361.00,270.00,87.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:27:08
Interval Count,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,620.00,1361.00,270.00,95.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:27:38
Interval Count,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,621.00,1362.00,270.00,95.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:28:08
Interval Count,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,621.00,1362.00,273.00,95.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:28:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,621.00,1362.00,273.00,95.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:29:08
Interval Count,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,625.00,1369.00,273.00,95.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:29:38
Interval Count,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,625.00,1369.00,280.00,95.00,54.00,154.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:30:08
Interval Count,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,625.00,1369.00,280.00,95.00,54.00,160.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:30:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,625.00,1369.00,280.00,95.00,54.00,160.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:31:08
Interval Count,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,160.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:31:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,160.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:32:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,160.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:32:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,160.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:33:08
Interval Count,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,163.00,890.00,65.00,17.00,119.00,359.00,521.00,

 12:33:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,163.00,943.00,65.00,17.00,119.00,359.00,521.00,

 12:34:08
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,163.00,943.00,65.00,17.00,119.00,359.00,521.00,

 12:34:38
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,637.00,1369.00,280.00,95.00,54.00,163.00,943.00,65.00,17.00,119.00,359.00,521.00,

 12:35:08
Interval Count,0.00,0.00,0.00,4.00,0.00,0.00,74.00,0.00,0.00,1.00,0.00,0.00,
