,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/9/2006 18:18:42
,     Stop Time: ~1/9/2006 19:18:42


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/9/2006 18:18:42
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 18:19:12
Interval Count,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 18:19:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 18:20:12
Interval Count,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,

 18:20:42
Interval Count,0.00,31.00,4.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,32.00,4.00,31.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,

 18:21:12
Interval Count,0.00,1.00,0.00,0.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,4.00,31.00,1.00,7.00,5.00,0.00,0.00,0.00,0.00,0.00,

 18:21:42
Interval Count,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,4.00,31.00,1.00,25.00,5.00,0.00,0.00,0.00,0.00,0.00,

 18:22:12
Interval Count,0.00,0.00,51.00,0.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,55.00,31.00,3.00,25.00,8.00,0.00,0.00,0.00,0.00,0.00,

 18:22:42
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,55.00,31.00,3.00,25.00,8.00,0.00,0.00,0.00,0.00,0.00,

 18:23:12
Interval Count,0.00,0.00,1.00,8.00,1.00,2.00,34.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,56.00,39.00,4.00,27.00,42.00,0.00,0.00,0.00,0.00,0.00,

 18:23:43
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,56.00,39.00,4.00,27.00,42.00,0.00,0.00,0.00,0.00,0.00,

 18:24:12
Interval Count,0.00,0.00,5.00,24.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,33.00,61.00,63.00,4.00,28.00,42.00,0.00,0.00,0.00,0.00,0.00,

 18:24:42
Interval Count,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,33.00,61.00,63.00,4.00,28.00,42.00,0.00,0.00,0.00,0.00,0.00,

 18:25:12
Interval Count,0.00,0.00,0.00,1.00,9.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1.00,33.00,61.00,64.00,13.00,48.00,42.00,0.00,0.00,0.00,0.00,0.00,

 18:25:42
Interval Count,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
