,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,
,Version 10.2.2966.20953,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,
,,USB Interface REV 1 [1],,,,,,,,,,
,     Experiment Name: SaccharinPrefG4W2,,,,,,,,,,,
,     Experiment Length: 1 Hour,,,,,,,,,,,
,     Download Interval(Active Cycle): 30 Seconds,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,
,     Start Time: 1/4/2006 17:10:31,,,,,,,,,,,
,     Stop Time: ~1/4/2006 18:10:31,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12
Counter/Animal ID, Dq9_H, Dq9_S, Dq10_H, Dq10_S, Dq12_H, Dq12_S, Dq11_S, Dq11_H, , , , 
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat
,,,,,,,,,,,,
,,,,,,,,,,,,
 1/4/2006 17:10:31,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
 17:11:01,,,,,,,,,,,,
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
 17:11:31,,,,,,,,,,,,
Interval Count,0,2,0,3,0,0,0,0,0,0,0,0
Total Counts,0,2,0,3,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
 17:12:01,,,,,,,,,,,,
Interval Count,0,0,0,7,0,105,1,10,0,0,0,0
Total Counts,0,2,0,10,0,105,1,10,0,0,0,0
,,,,,,,,,,,,
 17:12:31,,,,,,,,,,,,
Interval Count,0,11,0,1,0,10,1,0,0,0,0,0
Total Counts,0,13,0,11,0,115,2,10,0,0,0,0
,,,,,,,,,,,,
 17:13:01,,,,,,,,,,,,
Interval Count,0,11,0,0,0,0,2,0,0,0,0,0
Total Counts,0,24,0,11,0,115,4,10,0,0,0,0
,,,,,,,,,,,,
 17:13:31,,,,,,,,,,,,
Interval Count,0,0,15,0,3,4,0,0,0,0,0,0
Total Counts,0,24,15,11,3,119,4,10,0,0,0,0
,,,,,,,,,,,,
 17:14:01,,,,,,,,,,,,
Interval Count,0,0,0,0,1,2,0,0,0,0,0,0
Total Counts,0,24,15,11,4,121,4,10,0,0,0,0
,,,,,,,,,,,,
 17:14:31,,,,,,,,,,,,
Interval Count,0,0,0,0,0,31,1,0,0,0,0,0
Total Counts,0,24,15,11,4,152,5,10,0,0,0,0
,,,,,,,,,,,,
 17:15:01,,,,,,,,,,,,
Interval Count,0,0,0,0,3,114,0,0,0,0,0,0
Total Counts,0,24,15,11,7,266,5,10,0,0,0,0
,,,,,,,,,,,,
 17:15:31,,,,,,,,,,,,
Interval Count,5,94,0,0,2,26,0,0,0,0,0,0
Total Counts,5,118,15,11,9,292,5,10,0,0,0,0
,,,,,,,,,,,,
 17:16:01,,,,,,,,,,,,
Interval Count,0,11,1,0,0,0,0,0,0,0,0,0
Total Counts,5,129,16,11,9,292,5,10,0,0,0,0
,,,,,,,,,,,,
 17:16:31,,,,,,,,,,,,
Interval Count,0,0,0,0,0,7,0,0,0,0,0,0
Total Counts,5,129,16,11,9,299,5,10,0,0,0,0
,,,,,,,,,,,,
 17:17:01,,,,,,,,,,,,
Interval Count,0,0,0,1,0,1,0,0,0,0,0,0
Total Counts,5,129,16,12,9,300,5,10,0,0,0,0
,,,,,,,,,,,,
 17:17:31,,,,,,,,,,,,
Interval Count,0,1,0,109,2,73,0,0,0,0,0,0
Total Counts,5,130,16,121,11,373,5,10,0,0,0,0
,,,,,,,,,,,,
 17:18:01,,,,,,,,,,,,
Interval Count,1,0,0,65,0,31,0,0,0,0,0,0
Total Counts,6,130,16,186,11,404,5,10,0,0,0,0
,,,,,,,,,,,,
 17:18:31,,,,,,,,,,,,
Interval Count,0,2,0,0,0,2,0,0,0,0,0,0
Total Counts,6,132,16,186,11,406,5,10,0,0,0,0
,,,,,,,,,,,,
 17:19:01,,,,,,,,,,,,
Interval Count,0,0,0,0,66,6,0,0,0,0,0,0
