,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG4W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/2/2006 19:11:09
,     Stop Time: ~1/2/2006 20:11:09


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Dq7_H, Dq7_S, Dq8_H, Dq8_S, Dq9_H, Dq9_S, Dq10_S, Dq10_H, , , , ,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 1/2/2006 19:11:09
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 19:11:39
Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,

 19:12:09
Interval Count,18.00,0.00,7.00,0.00,6.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,0.00,7.00,3.00,6.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,

 19:12:39
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,
Total Counts,18.00,2.00,7.00,3.00,6.00,0.00,56.00,7.00,0.00,0.00,0.00,0.00,

 19:13:09
Interval Count,4.00,1.00,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,22.00,3.00,7.00,4.00,18.00,0.00,56.00,7.00,0.00,0.00,0.00,0.00,

 19:13:39
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,22.00,3.00,7.00,4.00,18.00,0.00,156.00,7.00,0.00,0.00,0.00,0.00,

 19:14:09
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,22.00,3.00,7.00,4.00,19.00,0.00,166.00,7.00,0.00,0.00,0.00,0.00,

 19:14:39
Interval Count,0.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,22.00,4.00,7.00,4.00,19.00,5.00,166.00,7.00,0.00,0.00,0.00,0.00,

 19:15:09
Interval Count,0.00,45.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,22.00,49.00,8.00,6.00,19.00,5.00,166.00,7.00,0.00,0.00,0.00,0.00,

 19:15:39
Interval Count,0.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,22.00,257.00,8.00,6.00,19.00,5.00,166.00,7.00,0.00,0.00,0.00,0.00,

 19:16:09
Interval Count,11.00,124.00,0.00,0.00,0.00,1.00,0.00,16.00,0.00,0.00,0.00,0.00,
Total Counts,33.00,381.00,8.00,6.00,19.00,6.00,166.00,23.00,0.00,0.00,0.00,0.00,

 19:16:39
Interval Count,0.00,11.00,0.00,0.00,1.00,6.00,115.00,6.00,0.00,0.00,0.00,0.00,
Total Counts,33.00,392.00,8.00,6.00,20.00,12.00,281.00,29.00,0.00,0.00,0.00,0.00,

 19:17:09
Interval Count,0.00,65.00,0.00,0.00,16.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,33.00,457.00,8.00,6.00,36.00,12.00,350.00,29.00,0.00,0.00,0.00,0.00,

 19:17:39
Interval Count,0.00,104.00,0.00,0.00,7.00,96.00,76.00,8.00,0.00,0.00,0.00,0.00,
Total Counts,33.00,561.00,8.00,6.00,43.00,108.00,426.00,37.00,0.00,0.00,0.00,0.00,

 19:18:09
Interval Count,11.00,0.00,8.00,0.00,0.00,56.00,32.00,0.00,0.00,0.00,0.00,0.00,
