,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/15/2017 16:04:45
,     Stop Time: ~10/15/2017 17:04:45


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/15/2017 16:04:45
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,

 16:05:15
Interval Count,0.00,0.00,0.00,0.00,7.00,1.00,2.00,9.00,126.00,0.00,241.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,7.00,1.00,2.00,9.00,126.00,0.00,243.00,0.00,

 16:05:45
Interval Count,0.00,0.00,0.00,0.00,4.00,0.00,0.00,8.00,188.00,30.00,240.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,11.00,1.00,2.00,17.00,314.00,30.00,483.00,0.00,

 16:06:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,115.00,0.00,241.00,4.00,
Total Counts,0.00,0.00,0.00,0.00,11.00,1.00,5.00,23.00,429.00,30.00,724.00,4.00,

 16:06:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,1.00,239.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,11.00,1.00,6.00,28.00,429.00,31.00,963.00,4.00,

 16:07:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,240.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,11.00,1.00,7.00,28.00,431.00,31.00,1203.00,4.00,

 16:07:45
