,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/16/2017 9:29:35
,     Stop Time: ~10/16/2017 10:29:35


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 10/16/2017 9:29:35
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

 9:30:05
Interval Count,55.00,0.00,9.00,0.00,5.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,
Total Counts,55.00,0.00,9.00,0.00,5.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,

 9:30:35
Interval Count,15.00,5.00,0.00,0.00,4.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,70.00,5.00,9.00,0.00,9.00,2.00,4.00,1.00,1.00,2.00,0.00,0.00,

 9:31:05
Interval Count,0.00,1.00,0.00,0.00,0.00,6.00,32.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,70.00,6.00,9.00,0.00,9.00,8.00,36.00,1.00,1.00,2.00,0.00,0.00,

 9:31:35
Interval Count,3.00,0.00,1.00,0.00,1.00,1.00,66.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,73.00,6.00,10.00,0.00,10.00,9.00,102.00,1.00,1.00,3.00,0.00,0.00,

 9:32:05
Interval Count,0.00,68.00,55.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,
Total Counts,73.00,74.00,65.00,0.00,10.00,9.00,103.00,1.00,3.00,3.00,0.00,0.00,

 9:32:35
Interval Count,16.00,0.00,41.00,6.00,0.00,0.00,6.00,1.00,0.00,13.00,0.00,21.00,
Total Counts,89.00,74.00,106.00,6.00,10.00,9.00,109.00,2.00,3.00,16.00,0.00,21.00,

 9:33:05
Interval Count,56.00,2.00,64.00,0.00,2.00,3.00,0.00,0.00,0.00,7.00,0.00,0.00,
Total Counts,145.00,76.00,170.00,6.00,12.00,12.00,109.00,2.00,3.00,23.00,0.00,21.00,

 9:33:35
Interval Count,56.00,0.00,2.00,0.00,0.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,
Total Counts,201.00,76.00,172.00,6.00,12.00,12.00,116.00,2.00,3.00,25.00,0.00,21.00,

 9:34:05
Interval Count,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,201.00,78.00,172.00,6.00,13.00,12.00,116.00,2.00,3.00,26.00,0.00,21.00,

 9:34:35
Interval Count,55.00,17.00,0.00,6.00,1.00,13.00,6.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,256.00,95.00,172.00,12.00,14.00,25.00,122.00,2.00,3.00,26.00,0.00,21.00,

 9:35:05
Interval Count,0.00,44.00,0.00,5.00,0.00,0.00,2.00,0.00,4.00,0.00,0.00,0.00,
Total Counts,256.00,139.00,172.00,17.00,14.00,25.00,124.00,2.00,7.00,26.00,0.00,21.00,

 9:35:35
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,151.00,0.00,23.00,0.00,0.00,0.00,
Total Counts,256.00,139.00,172.00,17.00,14.00,25.00,275.00,2.00,30.00,26.00,0.00,21.00,

 9:36:05
Interval Count,123.00,0.00,0.00,0.00,34.00,57.00,118.00,0.00,14.00,0.00,0.00,0.00,
Total Counts,379.00,139.00,172.00,17.00,48.00,82.00,393.00,2.00,44.00,26.00,0.00,21.00,

 9:36:35
Interval Count,62.00,1.00,3.00,0.00,68.00,0.00,42.00,0.00,5.00,0.00,0.00,0.00,
Total Counts,441.00,140.00,175.00,17.00,116.00,82.00,435.00,2.00,49.00,26.00,0.00,21.00,

 9:37:05
Interval Count,0.00,0.00,90.00,0.00,0.00,0.00,102.00,38.00,0.00,0.00,0.00,0.00,
Total Counts,441.00,140.00,265.00,17.00,116.00,82.00,537.00,40.00,49.00,26.00,0.00,21.00,

 9:37:35
Interval Count,24.00,0.00,0.00,0.00,4.00,0.00,74.00,0.00,72.00,0.00,1.00,0.00,
Total Counts,465.00,140.00,265.00,17.00,120.00,82.00,611.00,40.00,121.00,26.00,1.00,21.00,

 9:38:05
Interval Count,16.00,0.00,102.00,0.00,35.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,481.00,140.00,367.00,17.00,155.00,82.00,616.00,40.00,121.00,27.00,1.00,21.00,

 9:38:35
Interval Count,0.00,0.00,155.00,0.00,30.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,
Total Counts,481.00,140.00,522.00,17.00,185.00,82.00,616.00,40.00,200.00,27.00,1.00,21.00,

 9:39:05
Interval Count,0.00,0.00,107.00,0.00,0.00,0.00,55.00,0.00,117.00,0.00,0.00,0.00,
Total Counts,481.00,140.00,629.00,17.00,185.00,82.00,671.00,40.00,317.00,27.00,1.00,21.00,

 9:39:35
Interval Count,57.00,0.00,92.00,0.00,1.00,6.00,61.00,1.00,90.00,0.00,0.00,0.00,
Total Counts,538.00,140.00,721.00,17.00,186.00,88.00,732.00,41.00,407.00,27.00,1.00,21.00,

 9:40:05
Interval Count,0.00,1.00,0.00,0.00,1.00,0.00,45.00,0.00,27.00,13.00,0.00,0.00,
Total Counts,538.00,141.00,721.00,17.00,187.00,88.00,777.00,41.00,434.00,40.00,1.00,21.00,

 9:40:35
Interval Count,27.00,0.00,0.00,0.00,8.00,0.00,59.00,1.00,154.00,0.00,0.00,0.00,
Total Counts,565.00,141.00,721.00,17.00,195.00,88.00,836.00,42.00,588.00,40.00,1.00,21.00,

 9:41:06
Interval Count,125.00,0.00,0.00,0.00,1.00,0.00,40.00,3.00,20.00,0.00,0.00,0.00,
Total Counts,690.00,141.00,721.00,17.00,196.00,88.00,876.00,45.00,608.00,40.00,1.00,21.00,

 9:41:36
Interval Count,38.00,7.00,0.00,0.00,55.00,1.00,28.00,0.00,0.00,0.00,2.00,0.00,
Total Counts,728.00,148.00,721.00,17.00,251.00,89.00,904.00,45.00,608.00,40.00,3.00,21.00,

 9:42:05
Interval Count,0.00,0.00,0.00,20.00,0.00,0.00,23.00,1.00,111.00,0.00,0.00,0.00,
Total Counts,728.00,148.00,721.00,37.00,251.00,89.00,927.00,46.00,719.00,40.00,3.00,21.00,

 9:42:35
Interval Count,3.00,4.00,0.00,0.00,40.00,0.00,63.00,0.00,127.00,0.00,2.00,1.00,
Total Counts,731.00,152.00,721.00,37.00,291.00,89.00,990.00,46.00,846.00,40.00,5.00,22.00,

 9:43:06
Interval Count,66.00,0.00,0.00,0.00,68.00,0.00,92.00,27.00,41.00,0.00,0.00,0.00,
Total Counts,797.00,152.00,721.00,37.00,359.00,89.00,1082.00,73.00,887.00,40.00,5.00,22.00,

 9:43:36
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,5.00,0.00,0.00,
Total Counts,797.00,154.00,721.00,37.00,359.00,89.00,1101.00,73.00,887.00,45.00,5.00,22.00,

 9:44:06
Interval Count,17.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,
Total Counts,814.00,154.00,721.00,37.00,414.00,89.00,1101.00,73.00,918.00,45.00,5.00,22.00,

 9:44:36
Interval Count,4.00,0.00,0.00,0.00,130.00,0.00,2.00,5.00,0.00,0.00,0.00,0.00,
Total Counts,818.00,154.00,721.00,37.00,544.00,89.00,1103.00,78.00,918.00,45.00,5.00,22.00,

 9:45:06
Interval Count,12.00,0.00,54.00,0.00,0.00,0.00,104.00,0.00,1.00,5.00,0.00,0.00,
Total Counts,830.00,154.00,775.00,37.00,544.00,89.00,1207.00,78.00,919.00,50.00,5.00,22.00,

 9:45:36
Interval Count,47.00,0.00,51.00,0.00,0.00,40.00,0.00,1.00,0.00,1.00,0.00,0.00,
Total Counts,877.00,154.00,826.00,37.00,544.00,129.00,1207.00,79.00,919.00,51.00,5.00,22.00,

 9:46:06
Interval Count,0.00,0.00,21.00,0.00,100.00,4.00,0.00,0.00,92.00,0.00,0.00,0.00,
Total Counts,877.00,154.00,847.00,37.00,644.00,133.00,1207.00,79.00,1011.00,51.00,5.00,22.00,

 9:46:36
Interval Count,0.00,0.00,101.00,0.00,2.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,877.00,154.00,948.00,37.00,646.00,133.00,1332.00,79.00,1011.00,51.00,5.00,22.00,

 9:47:06
Interval Count,28.00,0.00,12.00,0.00,57.00,3.00,66.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,905.00,154.00,960.00,37.00,703.00,136.00,1398.00,79.00,1011.00,51.00,5.00,22.00,

 9:47:36
Interval Count,0.00,1.00,19.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,905.00,155.00,979.00,37.00,706.00,136.00,1398.00,79.00,1011.00,51.00,5.00,22.00,

 9:48:06
Interval Count,55.00,1.00,0.00,0.00,0.00,0.00,111.00,0.00,0.00,3.00,0.00,0.00,
Total Counts,960.00,156.00,979.00,37.00,706.00,136.00,1509.00,79.00,1011.00,54.00,5.00,22.00,

 9:48:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,
Total Counts,960.00,156.00,979.00,37.00,706.00,136.00,1509.00,79.00,1029.00,54.00,5.00,22.00,

 9:49:06
Interval Count,31.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,103.00,0.00,0.00,0.00,
Total Counts,991.00,156.00,979.00,37.00,706.00,136.00,1510.00,79.00,1132.00,54.00,5.00,22.00,

 9:49:36
Interval Count,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,90.00,0.00,52.00,0.00,
Total Counts,991.00,156.00,979.00,37.00,706.00,137.00,1510.00,79.00,1222.00,54.00,57.00,22.00,

